date,mp3 download,YouTube,Tubidy download,Netflix,Goojara movies,Netnaija movies,Disney+,canvas prints,digital art,We Buy Cars,AutoTrader,Toyota,BMW,Mercedes Benz,Cars for Sale,Hyundai,Volkswagen Polo,Cars,Renault Kiger,Clicks,Dischem,Avon,CeraVe,Perfume,Hair,Makeup,Cosmetics,Beauty Salon,Exclusive Books,Download,Wattpad,textbook,ebook,poetry,Amazon books,novel,Hollywoodbets,The Courier Guy,ShopRite,Steers,Betway,Buffalo Logistics,Uber Eats,Bolt,60 sixty,PaymeNow,DStv Stream,Download,Mr Price,Makro,Microsoft,Apple,Samsung,computer,laptop,monitor stand,Online banking,Capitec Bank,Standard Bank,FNB (First National Bank),Nedbank,Loan,Investment app,trading platforms,mutual funds,stocks,KFC,beverage,McDonalds,Checkers,Woolworths,Pick n Pay,Nandos,Burger King,Debonairs Pizza,Grocery delivery,PS5 games,Powerball,Xbox games,video games,Mobile app,Genshin Impact,Lotto,Game,Betfred,Medicine,Tablets,Pharmaceutical drugs,COVID-19 vaccine,Insurance plan,Vitamins online,Immune booster,Physician,Netcare,mediclinic,Lottostar (Pty) Ltd,Daily Lotto,DIY kits,art supplies,Takealot.com,Mr Price Home,Decofurn,furniture,Makro,Builders,paints,Defy Appliances,Pep Home,plant,iPhone,Vodacom,MTN,Telkom,Samsung,Huawei,Mobile app,Download,Gmail,Cell C,magazines,news subscription,Facebook,Online Marketplace,Dog Food,Puppies for Sale,Pet shop,Property24,Private Property,Remax Hub,Houses for Sale,Flats to rent,Room to rent,The Parks Lifestyle Apartments,Eazi Real Estate,Property sales,Real Estate,Sales,Black friday,Sneakers,Online Shopping,Shein,Adidas,Puma,Nike,sportscene,clothing,Kaizer Chiefs,Orlando Pirates,Sundowns,Premier League,Soccer Laduma,FIFA World Cup,Gambling,Tickets,Arsenal Store,Football,Lodging,Flight,Hotel,Guest House,Booking,FlySafair,Lift Airline,Car Rental
2018-12-30,80,59,6,18,0,0,39,0,0,7,17,67,66,26,25,21,0,70,0,54,36,34,0,57,78,11,0,0,0,52,26,0,0,75,0,0,0,0,28,24,0,0,0,0,0,0,0,80,21,31,8,35,59,13,34,0,17,4,30,0,25,51,0,0,0,0,54,0,26,11,17,8,36,9,11,0,0,13,0,0,0,0,82,11,0,31,61,0,0,0,0,0,0,29,28,0,4,0,0,0,8,0,83,23,74,0,0,0,38,37,46,29,61,24,19,0,15,17,9,0.0,0.0,90,0,0,67,0,23,26,0,77,28,49,0,0,0,59,17,0,55,34,0,36,19,55,30,63,13,4,3,55,12,0,0,19,0,82,0,63,100,37,22,7,0,9
2018-12-31,91,73,8,15,0,0,21,0,0,5,15,56,58,22,20,24,0,62,0,45,36,29,0,65,70,8,4,0,23,70,0,0,0,60,0,0,0,0,39,29,0,0,0,0,0,0,0,84,18,29,7,32,59,11,31,0,28,5,55,0,45,60,0,0,0,0,55,0,37,26,12,16,42,0,16,0,0,11,0,0,0,0,43,13,0,26,71,0,0,0,0,0,0,26,44,0,0,0,0,0,9,0,56,28,56,0,0,0,27,33,58,32,72,29,18,0,16,20,8,0.0,0.0,100,0,48,65,0,22,27,0,67,19,77,0,0,0,0,15,0,63,25,0,33,16,49,22,53,14,5,3,18,12,0,0,24,0,53,0,57,98,36,23,8,0,12
2019-01-01,76,59,6,24,0,0,36,0,0,9,20,59,53,22,27,18,0,72,0,38,23,39,0,47,66,11,0,0,0,60,22,0,0,60,0,0,0,0,27,55,0,0,0,0,0,0,0,84,16,27,7,24,62,12,30,0,18,4,33,0,27,40,0,0,0,0,89,0,52,11,17,11,69,18,29,0,0,16,1,0,0,0,34,13,0,28,59,0,0,0,0,0,0,40,41,0,3,0,0,0,11,0,58,25,64,0,0,0,26,38,54,29,58,26,15,0,17,17,8,0.0,0.0,99,0,26,82,0,30,36,0,91,35,51,0,0,0,0,0,18,63,36,0,39,12,49,26,50,15,5,3,34,12,0,0,16,0,78,0,73,92,27,31,8,0,8
2019-01-02,65,57,5,17,0,0,32,0,0,11,22,71,66,24,30,29,3,79,0,67,33,42,0,50,79,9,3,2,0,56,0,0,21,0,0,0,0,0,26,46,0,0,0,0,0,0,0,75,22,29,6,42,67,14,47,0,26,5,53,0,43,92,0,0,0,5,43,0,25,6,9,0,38,9,11,0,0,19,0,0,0,0,61,13,0,35,71,0,0,0,0,0,0,45,68,0,2,0,0,0,14,9,72,28,60,0,0,0,49,39,67,42,81,31,21,0,15,27,11,0.0,0.0,85,0,35,100,18,31,45,0,89,37,67,0,0,0,46,24,13,55,39,0,35,9,54,28,58,16,7,4,31,16,0,0,18,0,64,0,64,89,28,27,9,0,8
2019-01-03,58,56,5,14,0,0,23,0,0,13,23,68,70,27,27,30,0,77,0,55,42,45,0,63,84,9,3,0,0,66,22,0,28,60,0,0,0,0,38,23,0,0,0,35,0,0,0,76,21,33,7,40,64,17,38,0,25,5,52,0,44,94,0,0,0,0,43,0,21,10,10,7,29,10,7,0,0,10,0,0,0,0,56,12,0,28,83,0,0,0,0,0,0,58,49,0,0,0,0,0,9,5,69,29,79,0,0,0,27,41,65,35,71,30,20,0,17,32,11,0.0,0.0,82,0,0,71,0,34,40,0,81,42,62,0,0,0,48,19,15,60,35,0,40,10,43,24,53,18,6,5,33,16,0,0,18,0,64,0,56,94,25,28,8,0,11
2019-01-04,66,59,5,14,0,0,25,0,0,12,21,71,68,27,28,30,0,81,0,53,37,45,0,52,77,10,2,3,17,69,17,0,0,47,0,0,0,0,30,34,0,0,0,33,0,0,0,79,23,26,8,42,61,21,36,0,22,5,48,0,38,85,0,0,0,0,47,0,32,5,15,7,35,12,7,0,0,25,0,0,0,0,31,11,0,28,77,0,0,0,0,0,0,67,53,0,2,0,0,0,12,9,65,26,80,17,0,0,48,41,58,35,66,35,22,0,14,32,11,0.0,0.0,85,0,23,65,0,35,34,0,77,38,66,0,0,0,49,23,9,55,30,0,33,10,45,22,52,18,7,6,24,17,0,0,18,0,50,0,60,91,28,23,9,0,13
2019-01-05,73,62,5,18,0,0,21,0,0,11,21,62,67,23,29,29,0,80,0,58,46,24,0,63,86,11,2,0,18,97,20,0,0,45,0,35,0,0,29,35,0,0,0,0,0,0,0,80,21,31,6,35,64,15,32,0,17,4,31,0,28,76,0,0,0,0,41,0,25,7,16,5,31,10,14,0,0,31,0,0,0,0,70,11,0,27,75,0,0,0,0,0,0,20,29,0,3,0,0,0,11,6,77,30,68,0,0,0,53,39,50,27,60,30,20,0,18,23,9,0.0,0.0,89,0,31,72,24,32,37,0,85,34,78,0,0,0,44,24,10,55,25,0,41,15,58,16,45,36,17,39,21,19,0,0,18,0,69,0,61,84,24,22,6,0,9
2019-01-06,72,58,5,20,0,0,32,0,0,9,28,65,63,24,32,27,0,80,0,63,30,21,0,54,80,12,2,0,23,91,0,0,0,52,0,0,0,0,27,21,0,0,0,0,0,0,0,76,18,31,8,34,69,15,39,0,12,2,25,0,23,44,0,0,0,0,40,0,19,7,10,6,36,8,10,0,0,13,0,0,0,0,69,14,0,34,70,0,0,0,0,0,0,31,36,0,3,0,0,0,14,6,68,25,76,0,0,0,47,38,48,25,52,24,19,0,13,24,8,0.0,0.0,86,0,0,66,0,33,43,0,88,35,55,0,0,0,45,17,0,62,29,0,40,12,51,22,54,13,7,9,14,14,0,0,15,0,62,0,61,83,22,20,7,0,8
2019-01-07,56,57,4,13,0,0,17,0,0,14,27,73,59,25,28,31,0,76,0,62,44,51,0,52,73,9,3,2,22,63,22,0,21,46,0,0,0,0,31,18,0,0,0,37,0,0,0,74,21,27,10,36,61,12,47,0,27,5,56,0,43,100,0,0,0,5,28,0,19,8,16,7,21,7,5,0,0,11,0,0,0,0,38,10,0,30,75,0,0,0,0,0,0,62,64,0,2,0,0,0,14,7,64,23,62,19,0,0,40,37,66,36,80,33,20,0,12,42,12,0.0,0.0,81,0,28,47,0,39,43,0,81,47,76,0,0,0,52,25,8,45,31,0,34,10,42,18,47,13,6,6,8,12,0,0,10,0,49,0,61,82,24,25,7,0,13
2019-01-08,56,61,4,13,0,0,28,0,0,13,32,73,66,25,24,30,0,77,0,59,38,36,0,46,77,9,2,2,19,72,0,0,19,50,0,35,0,0,29,25,0,0,0,37,0,0,0,86,19,30,13,39,59,16,46,0,24,5,53,0,43,89,0,0,0,5,41,0,17,6,14,6,20,10,5,4,0,21,0,0,0,0,35,10,0,26,73,0,0,0,0,0,0,54,72,0,0,0,0,0,9,0,59,24,72,0,0,0,39,37,65,33,79,30,22,0,15,43,11,0.0,0.0,79,0,0,49,0,45,42,0,81,42,61,0,0,0,62,20,10,57,30,0,31,12,48,16,50,15,15,8,10,15,0,0,13,0,61,0,62,85,24,23,7,0,11
