date,We Buy Cars,AutoTrader,Toyota,BMW,Mercedes Benz,Cars for Sale,Hyundai,Volkswagen Polo,Cars,Renault Kiger
2018-12-30,7,17,67,66,26,25,21,0,70,0
2018-12-31,5,15,56,58,22,20,24,0,62,0
2019-01-01,9,20,59,53,22,27,18,0,72,0
2019-01-02,11,22,71,66,24,30,29,3,79,0
2019-01-03,13,23,68,70,27,27,30,0,77,0
2019-01-04,12,21,71,68,27,28,30,0,81,0
2019-01-05,11,21,62,67,23,29,29,0,80,0
2019-01-06,9,28,65,63,24,32,27,0,80,0
2019-01-07,14,27,73,59,25,28,31,0,76,0
2019-01-08,13,32,73,66,25,24,30,0,77,0
2019-01-09,16,32,71,65,25,24,30,0,75,0
2019-01-10,11,31,72,63,24,28,35,0,78,0
2019-01-11,12,26,74,69,28,28,31,0,76,0
2019-01-12,10,28,75,75,29,24,25,3,79,0
2019-01-13,10,31,72,74,24,28,24,0,84,0
2019-01-14,13,28,69,68,24,23,30,0,72,0
2019-01-15,13,29,78,67,24,26,31,2,80,0
2019-01-16,13,27,77,72,21,30,29,2,82,0
2019-01-17,11,26,77,67,26,25,32,3,79,0
2019-01-18,10,27,78,72,29,28,27,0,81,0
2019-01-19,13,23,69,73,26,32,29,3,81,0
2019-01-20,12,30,77,71,20,27,27,0,81,0
2019-01-21,16,26,79,65,30,30,33,3,84,0
2019-01-22,15,29,73,65,25,27,28,2,79,0
2019-01-23,15,24,72,66,25,27,30,2,83,0
2019-01-24,13,28,78,77,27,26,29,2,74,0
2019-01-25,14,30,68,69,24,29,31,0,80,0
2019-01-26,13,35,67,75,28,25,25,0,81,0
2019-01-27,9,38,61,73,22,31,23,0,85,0
2019-01-28,16,32,73,68,24,28,32,0,85,0
2019-01-29,14,34,75,66,25,28,33,0,84,0
2019-01-30,12,30,72,61,24,23,25,0,76,0
2019-01-31,12,27,78,65,24,26,30,0,78,0
2019-02-01,10,24,65,59,22,24,26,0,78,0
2019-02-02,11,29,71,69,21,29,28,0,79,0
2019-02-03,12,37,62,66,28,27,24,0,82,0
2019-02-04,15,31,71,63,23,26,30,0,75,0
2019-02-05,14,33,70,61,25,20,30,2,74,0
2019-02-06,14,33,77,60,23,23,24,3,75,0
2019-02-07,12,34,73,69,26,28,28,0,78,0
2019-02-08,15,29,74,68,28,26,30,0,80,0
2019-02-09,12,30,70,78,25,26,28,0,85,0
2019-02-10,11,33,62,64,28,26,26,0,81,0
2019-02-11,13,30,70,64,26,22,28,0,76,0
2019-02-12,12,31,65,69,28,24,26,0,71,0
2019-02-13,11,29,65,59,23,26,27,0,72,0
2019-02-14,13,30,68,56,24,25,24,0,73,0
2019-02-15,12,30,81,70,23,27,25,0,76,0
2019-02-16,14,30,75,71,23,27,30,0,83,0
2019-02-17,9,35,81,75,25,29,25,0,79,0
2019-02-18,14,33,90,65,22,25,31,0,77,0
2019-02-19,13,30,100,59,26,22,29,0,75,0
2019-02-20,13,29,90,61,28,25,29,0,72,0
2019-02-21,16,28,92,60,25,25,25,0,81,0
2019-02-22,12,28,86,66,26,23,28,0,74,0
2019-02-23,11,34,91,77,31,29,27,0,81,0
2019-02-24,11,34,74,70,22,26,24,0,79,0
2019-02-25,17,28,73,60,25,22,27,0,74,0
2019-02-26,14,30,67,62,20,25,24,0,79,0
2019-02-27,13,29,74,57,22,27,29,0,76,0
2019-02-28,12,22,75,65,24,23,27,2,74,0
2019-03-01,14,24,70,67,26,28,29,0,73,0
2019-03-02,10,24,70,72,26,24,28,0,68,0
2019-03-03,11,28,71,67,19,30,24,0,81,0
2019-03-04,13,26,69,61,22,26,26,0,72,0
2019-03-05,14,27,68,65,21,23,26,0,74,0
2019-03-06,13,27,73,65,25,24,24,0,76,0
2019-03-07,13,25,81,69,23,25,26,2,74,0
2019-03-08,12,25,69,66,24,24,26,0,72,0
2019-03-09,10,28,66,74,22,26,25,0,78,0
2019-03-10,12,26,69,64,21,27,25,0,76,0
2019-03-11,16,27,71,65,25,27,26,0,77,0
2019-03-12,12,26,68,65,21,24,26,0,72,0
2019-03-13,14,24,66,69,22,25,26,0,76,0
2019-03-14,15,25,72,69,25,25,28,0,79,0
2019-03-15,10,18,68,72,21,25,28,0,75,0
2019-03-16,12,25,78,75,24,25,23,0,80,0
2019-03-17,9,26,67,67,18,32,24,0,78,0
2019-03-18,15,24,73,67,27,29,31,0,81,0
2019-03-19,15,26,74,67,22,26,29,0,76,0
2019-03-20,17,23,71,69,21,27,26,0,79,0
2019-03-21,15,29,76,69,26,32,29,0,89,0
2019-03-22,16,31,68,66,28,29,28,0,82,0
2019-03-23,13,25,68,69,28,32,25,0,82,0
2019-03-24,9,25,75,76,28,27,23,0,78,0
2019-03-25,17,24,72,63,22,24,33,0,79,0
2019-03-26,15,26,75,75,25,27,30,3,82,0
2019-03-27,11,23,72,66,26,26,28,0,82,0
2019-03-28,14,25,73,73,27,24,27,0,76,0
2019-03-29,15,22,76,67,22,24,28,0,73,0
2019-03-30,12,24,70,71,20,27,21,0,77,0
2019-03-31,7,26,72,73,24,28,22,0,75,0
2019-04-01,13,21,75,61,22,27,24,0,72,0
2019-04-02,15,22,72,64,22,26,27,3,76,0
2019-04-03,15,23,72,67,23,26,30,0,76,0
2019-04-04,13,25,66,64,26,28,26,0,77,0
2019-04-05,16,27,74,66,27,30,27,0,79,0
2019-04-06,14,23,65,76,24,27,25,0,80,0
2019-04-07,13,22,67,72,26,33,24,0,86,0
2019-04-08,17,22,69,63,27,29,32,0,80,2
2019-04-09,18,23,69,67,24,27,30,2,87,0
2019-04-10,15,20,65,65,23,28,28,2,79,0
2019-04-11,17,25,72,67,24,28,35,0,84,0
2019-04-12,16,24,67,68,22,29,29,0,82,0
2019-04-13,12,20,70,74,26,34,28,2,77,0
2019-04-14,12,24,64,62,27,30,23,0,79,0
2019-04-15,15,23,73,67,23,26,32,0,77,0
2019-04-16,15,23,79,66,25,23,27,0,79,0
2019-04-17,15,25,73,63,21,23,30,0,74,0
2019-04-18,14,27,64,74,22,26,28,0,76,0
2019-04-19,14,23,81,67,22,25,26,0,82,0
2019-04-20,12,27,66,66,24,33,25,0,83,3
2019-04-21,13,22,67,70,25,29,25,0,82,0
2019-04-22,16,23,68,66,20,30,23,0,83,0
2019-04-23,18,21,67,61,21,25,27,3,75,0
2019-04-24,15,27,74,61,24,24,29,0,75,0
2019-04-25,16,22,69,67,21,24,26,2,75,0
2019-04-26,15,20,66,63,28,21,26,0,71,0
2019-04-27,13,21,65,74,27,25,26,0,80,0
2019-04-28,11,21,64,69,22,25,28,0,75,0
2019-04-29,15,23,73,62,24,27,32,0,73,0
2019-04-30,14,22,67,58,23,29,24,0,76,0
2019-05-01,16,22,64,69,23,27,25,0,77,0
2019-05-02,15,22,71,68,24,26,29,0,76,0
2019-05-03,13,23,68,66,27,21,27,0,70,0
2019-05-04,15,19,69,70,22,28,23,0,77,0
2019-05-05,12,24,58,70,21,25,22,0,75,0
2019-05-06,17,18,65,61,25,25,27,0,76,0
2019-05-07,15,20,63,59,22,23,26,0,69,0
2019-05-08,14,23,61,62,23,26,24,0,74,0
2019-05-09,12,16,61,60,18,24,27,0,66,0
2019-05-10,15,19,65,61,23,22,26,0,72,0
2019-05-11,14,23,72,73,22,30,24,0,85,0
2019-05-12,16,24,57,67,27,26,19,0,75,0
2019-05-13,19,24,76,61,27,25,27,0,78,0
2019-05-14,18,24,74,61,23,28,27,0,84,0
2019-05-15,17,24,76,65,25,28,30,2,82,0
2019-05-16,18,22,79,67,25,29,30,0,85,0
2019-05-17,14,22,80,73,27,31,30,0,85,0
2019-05-18,14,24,74,70,26,26,27,0,81,0
2019-05-19,12,26,77,67,27,28,23,0,82,0
2019-05-20,18,22,73,60,26,27,30,3,76,0
2019-05-21,19,22,75,64,25,28,32,2,79,0
2019-05-22,19,21,71,65,28,29,31,0,82,0
2019-05-23,19,22,74,65,26,28,28,0,81,0
2019-05-24,16,24,70,70,29,28,26,0,79,0
2019-05-25,18,24,71,78,28,27,30,0,79,0
2019-05-26,16,25,74,68,22,33,29,0,87,0
2019-05-27,18,22,75,69,26,26,27,0,80,0
2019-05-28,19,19,77,80,27,25,31,0,78,0
2019-05-29,20,21,66,67,25,25,28,0,77,0
