date,Clicks,Dischem,Avon,CeraVe,Perfume,Hair,Makeup,Cosmetics,Beauty Salon
2018-12-30,54,36,34,0,57,78,11,0,0
2018-12-31,45,36,29,0,65,70,8,4,0
2019-01-01,38,23,39,0,47,66,11,0,0
2019-01-02,67,33,42,0,50,79,9,3,2
2019-01-03,55,42,45,0,63,84,9,3,0
2019-01-04,53,37,45,0,52,77,10,2,3
2019-01-05,58,46,24,0,63,86,11,2,0
2019-01-06,63,30,21,0,54,80,12,2,0
2019-01-07,62,44,51,0,52,73,9,3,2
2019-01-08,59,38,36,0,46,77,9,2,2
2019-01-09,55,28,36,0,46,66,10,2,0
2019-01-10,56,36,56,0,51,71,10,3,0
2019-01-11,54,42,43,0,63,73,9,2,0
2019-01-12,54,32,29,0,40,85,11,3,3
2019-01-13,56,36,26,0,51,77,11,3,0
2019-01-14,47,29,53,0,41,68,9,2,0
2019-01-15,56,46,49,0,54,78,10,2,2
2019-01-16,51,35,57,0,47,69,9,2,1
2019-01-17,52,35,63,0,48,66,9,4,0
2019-01-18,50,34,60,0,50,70,8,3,2
2019-01-19,55,42,32,0,64,83,12,0,0
2019-01-20,61,37,41,0,60,77,11,2,0
2019-01-21,60,37,63,0,43,67,10,2,2
2019-01-22,52,37,57,0,48,63,11,2,2
2019-01-23,68,24,57,0,56,67,9,2,2
2019-01-24,68,42,58,0,52,71,9,2,0
2019-01-25,61,44,46,0,74,82,12,3,2
2019-01-26,47,39,33,0,47,84,12,5,2
2019-01-27,68,48,33,0,60,85,12,2,2
2019-01-28,59,39,71,0,40,67,9,3,0
2019-01-29,56,28,66,0,58,67,8,3,0
2019-01-30,57,35,67,0,67,73,9,2,2
2019-01-31,79,31,80,0,65,69,12,3,2
2019-02-01,56,35,75,0,62,71,9,2,0
2019-02-02,64,48,42,0,62,93,10,2,0
2019-02-03,61,24,44,0,60,80,13,3,0
2019-02-04,56,30,65,0,60,64,9,3,2
2019-02-05,67,39,55,0,62,66,8,2,0
2019-02-06,67,41,66,0,60,65,11,2,2
2019-02-07,52,29,58,0,49,62,8,2,0
2019-02-08,55,32,66,0,71,70,12,2,2
2019-02-09,70,34,43,0,57,80,12,3,0
2019-02-10,74,44,29,0,63,74,11,3,0
2019-02-11,57,23,51,0,47,60,9,2,2
2019-02-12,51,25,55,0,74,60,7,1,0
2019-02-13,58,29,61,0,60,61,9,3,0
2019-02-14,37,21,47,0,87,55,9,2,0
2019-02-15,58,40,55,0,63,68,12,3,0
2019-02-16,54,29,33,0,65,78,9,3,0
2019-02-17,57,41,32,0,72,75,11,3,0
2019-02-18,48,35,63,0,50,62,9,3,0
2019-02-19,51,37,55,0,54,66,9,2,0
2019-02-20,61,23,63,0,62,62,8,0,2
2019-02-21,54,34,52,0,47,74,13,2,2
2019-02-22,61,54,47,0,47,73,10,3,0
2019-02-23,54,42,46,0,54,87,13,3,0
2019-02-24,65,45,34,0,48,83,10,3,0
2019-02-25,48,48,59,0,72,68,10,3,0
2019-02-26,42,35,61,0,75,70,9,2,0
2019-02-27,67,48,52,0,57,74,9,2,2
2019-02-28,63,43,83,0,68,69,12,4,0
2019-03-01,49,44,73,0,61,82,11,3,2
2019-03-02,70,45,42,0,41,80,12,3,0
2019-03-03,56,32,24,0,38,85,12,2,0
2019-03-04,50,31,55,0,56,68,7,2,2
2019-03-05,63,49,59,0,60,69,9,4,2
2019-03-06,62,32,57,0,63,64,10,3,4
2019-03-07,59,39,51,0,49,68,11,3,0
2019-03-08,54,34,51,0,54,76,11,3,2
2019-03-09,59,31,30,0,62,95,13,2,0
2019-03-10,54,34,41,0,46,73,10,2,0
2019-03-11,52,39,72,0,50,62,9,2,2
2019-03-12,48,28,64,0,59,61,11,2,2
2019-03-13,54,35,71,0,47,67,11,3,1
2019-03-14,52,36,59,0,70,68,9,3,2
2019-03-15,59,43,57,0,53,75,12,2,2
2019-03-16,57,41,38,0,68,82,10,2,0
2019-03-17,63,42,47,0,50,78,11,0,0
2019-03-18,59,38,69,0,50,69,10,2,0
2019-03-19,57,37,54,0,58,75,9,5,2
2019-03-20,42,43,60,0,56,74,11,2,0
2019-03-21,64,19,57,0,67,89,12,2,0
2019-03-22,69,34,55,0,55,86,13,4,0
2019-03-23,65,25,42,0,76,88,9,2,0
2019-03-24,77,41,40,0,68,85,13,5,0
2019-03-25,71,39,67,0,61,78,11,3,2
2019-03-26,80,40,65,0,59,79,12,3,0
2019-03-27,59,40,59,0,61,83,11,5,2
2019-03-28,69,47,72,0,82,90,14,3,0
2019-03-29,72,44,71,0,82,84,12,3,0
2019-03-30,56,31,59,0,89,100,12,3,0
2019-03-31,69,37,49,0,52,87,11,2,0
2019-04-01,60,34,64,0,60,73,9,3,2
2019-04-02,49,43,73,0,52,67,11,4,2
2019-04-03,56,30,58,0,69,76,10,3,2
2019-04-04,57,33,62,0,65,73,11,3,0
2019-04-05,53,31,49,0,78,69,11,5,2
2019-04-06,63,50,29,0,54,80,10,0,0
2019-04-07,63,49,38,0,45,73,12,3,0
2019-04-08,55,34,68,0,51,64,8,2,0
2019-04-09,60,31,72,0,49,64,11,3,2
2019-04-10,55,36,52,0,66,66,10,2,0
2019-04-11,63,39,63,0,39,70,9,3,2
2019-04-12,56,35,62,0,59,71,10,3,2
2019-04-13,52,37,27,0,63,83,12,0,0
2019-04-14,55,50,38,0,54,67,11,0,0
2019-04-15,55,28,70,0,61,65,9,3,0
2019-04-16,47,31,64,0,55,67,10,2,1
2019-04-17,49,29,70,0,61,68,9,2,2
2019-04-18,48,33,61,12,48,68,8,2,0
2019-04-19,61,37,30,0,64,75,13,3,0
2019-04-20,64,41,27,0,48,78,13,3,0
2019-04-21,47,31,17,0,69,72,11,3,0
2019-04-22,77,51,50,0,55,77,12,2,0
2019-04-23,53,31,75,0,60,67,10,3,0
2019-04-24,60,42,67,0,58,68,9,2,0
2019-04-25,74,34,82,0,55,71,12,3,0
