date,KFC,beverage,McDonalds,Checkers,Woolworths,Pick n Pay,Nandos,Burger King,Debonairs Pizza,Grocery delivery
2018-12-30,54,0,26,11,17,8,36,9,11,0
2018-12-31,55,0,37,26,12,16,42,0,16,0
2019-01-01,89,0,52,11,17,11,69,18,29,0
2019-01-02,43,0,25,6,9,0,38,9,11,0
2019-01-03,43,0,21,10,10,7,29,10,7,0
2019-01-04,47,0,32,5,15,7,35,12,7,0
2019-01-05,41,0,25,7,16,5,31,10,14,0
2019-01-06,40,0,19,7,10,6,36,8,10,0
2019-01-07,28,0,19,8,16,7,21,7,5,0
2019-01-08,41,0,17,6,14,6,20,10,5,4
2019-01-09,30,0,15,5,13,7,19,4,6,0
2019-01-10,29,0,15,5,16,0,27,4,5,0
2019-01-11,55,5,19,7,12,9,41,9,11,0
2019-01-12,45,0,21,8,13,6,35,7,11,0
2019-01-13,44,0,21,5,14,8,27,9,6,0
2019-01-14,31,0,19,6,14,7,23,5,0,0
2019-01-15,46,0,45,7,15,5,25,0,10,0
2019-01-16,30,0,34,4,14,5,26,6,0,0
2019-01-17,39,0,22,7,17,6,26,6,5,0
2019-01-18,46,0,27,6,14,6,42,10,10,0
2019-01-19,48,0,27,8,12,8,31,12,12,0
2019-01-20,34,0,17,12,15,10,32,10,7,0
2019-01-21,22,0,19,8,16,6,21,4,4,0
2019-01-22,36,0,15,6,14,7,28,8,4,0
2019-01-23,30,0,24,6,13,8,28,8,0,0
2019-01-24,48,0,20,8,20,7,34,9,8,0
2019-01-25,72,0,36,8,13,6,69,13,16,0
2019-01-26,63,0,37,6,15,6,46,14,16,0
2019-01-27,50,0,31,8,23,7,40,11,7,0
2019-01-28,30,0,17,5,15,8,30,5,6,0
2019-01-29,38,0,23,8,15,4,25,6,5,0
2019-01-30,33,0,21,6,12,7,31,10,8,0
2019-01-31,46,0,30,6,13,6,38,9,13,0
2019-02-01,61,0,39,5,12,8,54,13,19,0
2019-02-02,53,0,44,5,15,0,40,13,17,0
2019-02-03,47,0,24,7,14,6,40,12,14,0
2019-02-04,30,0,16,9,16,8,24,5,6,0
2019-02-05,43,0,17,5,15,5,29,7,7,0
2019-02-06,28,0,17,8,15,6,26,7,0,0
2019-02-07,40,0,33,5,14,8,35,8,4,0
2019-02-08,54,0,36,10,13,9,43,15,11,0
2019-02-09,52,0,30,10,16,7,36,11,16,0
2019-02-10,34,0,34,9,19,8,39,9,7,0
2019-02-11,33,0,22,6,12,7,23,6,6,0
2019-02-12,53,0,22,7,16,7,24,6,6,0
2019-02-13,30,0,19,10,16,4,26,8,6,0
2019-02-14,52,0,29,9,16,6,49,10,13,0
2019-02-15,58,0,29,6,13,6,46,12,10,0
2019-02-16,50,0,33,12,17,7,40,10,13,0
2019-02-17,46,0,31,10,14,7,35,11,10,0
2019-02-18,34,0,16,7,13,7,25,6,0,0
