date,Facebook,Online Marketplace
2018-12-30,90,0
2018-12-31,100,0
2019-01-01,99,0
2019-01-02,85,0
2019-01-03,82,0
2019-01-04,85,0
2019-01-05,89,0
2019-01-06,86,0
2019-01-07,81,0
2019-01-08,79,0
2019-01-09,81,0
2019-01-10,86,0
2019-01-11,84,0
2019-01-12,85,0
2019-01-13,86,0
2019-01-14,81,0
2019-01-15,81,0
2019-01-16,80,0
2019-01-17,78,0
2019-01-18,83,0
2019-01-19,81,0
2019-01-20,80,0
2019-01-21,82,0
2019-01-22,76,0
2019-01-23,79,0
2019-01-24,77,0
2019-01-25,79,0
2019-01-26,81,0
2019-01-27,78,0
2019-01-28,83,0
2019-01-29,75,0
2019-01-30,76,0
2019-01-31,75,0
2019-02-01,81,0
2019-02-02,80,0
2019-02-03,80,0
2019-02-04,77,0
2019-02-05,79,0
2019-02-06,75,0
2019-02-07,80,0
2019-02-08,83,0
2019-02-09,80,0
2019-02-10,78,0
2019-02-11,77,0
2019-02-12,71,0
2019-02-13,72,0
2019-02-14,82,0
2019-02-15,79,0
2019-02-16,76,0
2019-02-17,76,0
2019-02-18,78,0
2019-02-19,77,0
2019-02-20,71,0
2019-02-21,75,0
2019-02-22,78,0
2019-02-23,79,0
2019-02-24,73,0
2019-02-25,73,0
2019-02-26,80,0
2019-02-27,73,0
2019-02-28,74,0
2019-03-01,83,0
2019-03-02,75,0
2019-03-03,79,0
2019-03-04,77,0
2019-03-05,75,0
2019-03-06,75,0
2019-03-07,75,0
2019-03-08,75,0
2019-03-09,76,0
2019-03-10,73,0
2019-03-11,76,0
2019-03-12,76,0
2019-03-13,77,0
2019-03-14,76,0
2019-03-15,77,0
2019-03-16,75,0
2019-03-17,77,0
2019-03-18,78,0
2019-03-19,67,0
2019-03-20,80,0
2019-03-21,79,0
2019-03-22,74,0
2019-03-23,78,0
2019-03-24,73,0
2019-03-25,76,0
2019-03-26,74,0
2019-03-27,76,0
2019-03-28,80,0
2019-03-29,79,0
2019-03-30,80,0
2019-03-31,75,0
2019-04-01,74,0
2019-04-02,75,0
2019-04-03,77,0
2019-04-04,77,0
2019-04-05,75,0
2019-04-06,77,0
2019-04-07,80,0
2019-04-08,80,0
2019-04-09,74,0
2019-04-10,71,0
2019-04-11,75,0
2019-04-12,78,0
2019-04-13,76,0
2019-04-14,78,0
2019-04-15,73,0
2019-04-16,75,0
2019-04-17,72,0
2019-04-18,78,0
2019-04-19,81,0
2019-04-20,77,0
2019-04-21,80,0
2019-04-22,81,0
2019-04-23,74,0
2019-04-24,73,0
2019-04-25,74,0
2019-04-26,77,0
2019-04-27,71,0
2019-04-28,77,0
2019-04-29,74,0
2019-04-30,74,0
2019-05-01,76,0
2019-05-02,77,0
2019-05-03,75,0
2019-05-04,72,0
2019-05-05,76,0
2019-05-06,78,0
2019-05-07,76,0
2019-05-08,80,0
2019-05-09,69,0
2019-05-10,80,0
2019-05-11,79,0
2019-05-12,80,0
2019-05-13,80,0
2019-05-14,77,0
2019-05-15,76,0
2019-05-16,76,0
2019-05-17,81,0
2019-05-18,77,0
2019-05-19,78,0
2019-05-20,74,0
2019-05-21,75,0
2019-05-22,75,0
2019-05-23,73,0
2019-05-24,77,0
2019-05-25,78,0
2019-05-26,76,0
2019-05-27,76,0
2019-05-28,75,0
2019-05-29,76,0
2019-05-30,74,0
2019-05-31,78,0
2019-06-01,77,0
2019-06-02,76,0
2019-06-03,74,0
2019-06-04,72,0
2019-06-05,75,0
2019-06-06,75,0
2019-06-07,78,0
2019-06-08,75,0
2019-06-09,75,0
2019-06-10,75,0
2019-06-11,72,0
2019-06-12,75,0
2019-06-13,75,0
2019-06-14,79,0
2019-06-15,77,0
2019-06-16,79,0
2019-06-17,75,0
2019-06-18,77,0
2019-06-19,76,0
2019-06-20,72,0
2019-06-21,77,0
2019-06-22,77,0
2019-06-23,76,0
2019-06-24,76,0
2019-06-25,77,0
2019-06-26,72,0
2019-06-27,71,0
2019-06-28,77,0
2019-06-29,75,0
2019-06-30,79,0
2019-07-01,91,0
2019-07-02,82,0
2019-07-03,88,0
2019-07-04,87,0
2019-07-05,89,0
2019-07-06,88,0
2019-07-07,89,0
2019-07-08,84,0
2019-07-09,83,0
2019-07-10,80,0
2019-07-11,82,0
2019-07-12,90,0
2019-07-13,86,0
2019-07-14,85,0
2019-07-15,82,0
2019-07-16,80,0
2019-07-17,86,0
2019-07-18,87,0
2019-07-19,85,0
2019-07-20,86,0
2019-07-21,82,0
2019-07-22,83,0
2019-07-23,84,0
2019-07-24,86,0
2019-07-25,81,0
2019-07-26,90,0
2019-07-27,83,0
2019-07-28,83,0
2019-07-29,80,0
2019-07-30,78,0
2019-07-31,83,0
2019-08-01,81,0
2019-08-02,87,0
2019-08-03,84,0
2019-08-04,82,0
2019-08-05,86,0
2019-08-06,85,0
2019-08-07,81,0
2019-08-08,84,0
2019-08-09,82,0
2019-08-10,83,0
2019-08-11,83,0
2019-08-12,83,0
2019-08-13,84,0
2019-08-14,78,0
2019-08-15,83,0
2019-08-16,88,0
2019-08-17,87,0
2019-08-18,82,0
2019-08-19,80,0
2019-08-20,84,0
2019-08-21,80,0
2019-08-22,83,0
2019-08-23,87,0
2019-08-24,83,0
2019-08-25,82,0
2019-08-26,81,0
2019-08-27,77,0
2019-08-28,78,0
2019-08-29,80,0
2019-08-30,82,0
2019-08-31,81,0
2019-09-01,86,0
2019-09-02,83,0
2019-09-03,82,0
2019-09-04,89,0
2019-09-05,81,0
2019-09-06,85,0
2019-09-07,87,0
2019-09-08,86,0
2019-09-09,85,0
2019-09-10,82,0
2019-09-11,81,0
2019-09-12,85,0
2019-09-13,88,0
2019-09-14,81,0
2019-09-15,81,0
2019-09-16,80,0
2019-09-17,84,0
2019-09-18,79,0
2019-09-19,90,0
2019-09-20,85,0
2019-09-21,85,0
2019-09-22,84,0
2019-09-23,83,0
2019-09-24,87,0
2019-09-25,81,0
2019-09-26,82,0
2019-09-27,84,0
2019-09-28,80,0
2019-09-29,84,0
2019-09-30,79,0
2019-10-01,85,0
2019-10-02,81,0
2019-10-03,82,0
2019-10-04,83,0
2019-10-05,80,0
2019-10-06,84,0
2019-10-07,85,0
2019-10-08,80,0
2019-10-09,81,0
2019-10-10,81,0
2019-10-11,89,0
2019-10-12,87,0
2019-10-13,84,0
2019-10-14,82,0
2019-10-15,84,0
2019-10-16,77,0
2019-10-17,83,0
2019-10-18,85,0
2019-10-19,80,0
2019-10-20,78,0
2019-10-21,85,0
2019-10-22,81,0
2019-10-23,77,0
2019-10-24,81,0
2019-10-25,84,0
2019-10-26,78,0
2019-10-27,78,0
2019-10-28,82,0
2019-10-29,80,0
2019-10-30,81,0
2019-10-31,79,0
2019-11-01,84,0
2019-11-02,78,0
2019-11-03,84,0
2019-11-04,88,0
2019-11-05,81,0
2019-11-06,82,0
2019-11-07,79,0
2019-11-08,85,0
2019-11-09,82,0
2019-11-10,79,0
2019-11-11,82,0
2019-11-12,83,0
2019-11-13,85,0
2019-11-14,81,0
2019-11-15,87,0
2019-11-16,88,0
2019-11-17,84,0
2019-11-18,84,0
2019-11-19,83,0
2019-11-20,84,0
2019-11-21,85,0
2019-11-22,86,0
2019-11-23,83,0
2019-11-24,82,0
2019-11-25,80,0
2019-11-26,80,0
2019-11-27,79,0
2019-11-28,81,0
2019-11-29,81,0
2019-11-30,83,0
2019-12-01,82,0
2019-12-02,84,0
2019-12-03,83,0
2019-12-04,82,0
2019-12-05,85,0
2019-12-06,86,0
2019-12-07,82,0
2019-12-08,85,0
2019-12-09,83,0
2019-12-10,83,0
2019-12-11,78,0
2019-12-12,83,0
2019-12-13,82,0
2019-12-14,85,0
2019-12-15,84,0
2019-12-16,88,0
2019-12-17,83,0
2019-12-18,80,0
2019-12-19,83,0
2019-12-20,87,0
2019-12-21,79,0
2019-12-22,78,0
2019-12-23,87,0
2019-12-24,87,0
2019-12-25,100,0
2019-12-26,86,0
2019-12-27,82,0
2019-12-28,83,0
2019-12-29,81,0
2019-12-30,82,0
2019-12-31,94,0
2020-01-01,91,0
2020-01-02,92,0
2020-01-03,86,0
2020-01-04,84,0
2020-01-05,87,0
2020-01-06,83,0
2020-01-07,81,0
2020-01-08,82,0
2020-01-09,86,0
2020-01-10,86,0
2020-01-11,85,0
2020-01-12,86,0
2020-01-13,76,0
2020-01-14,79,0
2020-01-15,81,0
2020-01-16,83,0
2020-01-17,84,0
2020-01-18,78,0
2020-01-19,73,0
2020-01-20,80,0
2020-01-21,83,0
2020-01-22,80,0
2020-01-23,83,0
2020-01-24,83,0
2020-01-25,80,0
2020-01-26,77,0
2020-01-27,75,0
2020-01-28,82,0
2020-01-29,80,0
2020-01-30,87,0
2020-01-31,79,0
2020-02-01,74,0
2020-02-02,79,0
2020-02-03,77,0
2020-02-04,80,0
2020-02-05,77,0
2020-02-06,80,0
2020-02-07,81,0
2020-02-08,78,0
2020-02-09,75,0
2020-02-10,77,0
2020-02-11,80,0
2020-02-12,78,0
2020-02-13,80,0
2020-02-14,90,0
2020-02-15,81,0
2020-02-16,78,0
2020-02-17,84,0
2020-02-18,80,0
2020-02-19,81,0
2020-02-20,82,0
2020-02-21,85,0
2020-02-22,78,0
2020-02-23,80,0
2020-02-24,81,0
2020-02-25,77,0
2020-02-26,71,0
2020-02-27,80,0
2020-02-28,82,0
2020-02-29,71,0
2020-03-01,78,0
2020-03-02,82,0
2020-03-03,80,0
2020-03-04,77,0
2020-03-05,76,0
2020-03-06,82,0
2020-03-07,77,0
2020-03-08,77,0
2020-03-09,83,0
2020-03-10,77,0
2020-03-11,76,0
2020-03-12,76,0
2020-03-13,81,0
2020-03-14,80,0
2020-03-15,79,0
2020-03-16,82,0
2020-03-17,84,0
2020-03-18,91,0
2020-03-19,85,0
2020-03-20,87,0
2020-03-21,86,0
2020-03-22,85,0
2020-03-23,81,0
2020-03-24,88,0
2020-03-25,81,0
2020-03-26,88,0
2020-03-27,91,0
2020-03-28,95,0
2020-03-29,100,0
2020-03-30,90,0
2020-03-31,84,0
2020-04-01,87,0
2020-04-02,85,0
2020-04-03,90,0
2020-04-04,88,0
2020-04-05,93,0
2020-04-06,86,0
2020-04-07,87,0
2020-04-08,86,0
2020-04-09,92,0
2020-04-10,98,0
2020-04-11,94,0
2020-04-12,98,0
2020-04-13,89,0
2020-04-14,87,0
2020-04-15,88,0
2020-04-16,88,0
2020-04-17,85,0
2020-04-18,94,0
2020-04-19,95,0
2020-04-20,84,0
2020-04-21,78,0
2020-04-22,80,0
2020-04-23,85,0
2020-04-24,85,0
2020-04-25,89,0
2020-04-26,92,0
2020-04-27,85,0
2020-04-28,82,0
2020-04-29,81,0
2020-04-30,82,0
2020-05-01,86,0
2020-05-02,86,0
2020-05-03,86,0
2020-05-04,76,0
2020-05-05,80,0
2020-05-06,81,0
2020-05-07,80,0
2020-05-08,83,0
2020-05-09,87,0
2020-05-10,94,0
2020-05-11,83,0
2020-05-12,87,0
2020-05-13,81,0
2020-05-14,81,0
2020-05-15,84,0
2020-05-16,88,0
2020-05-17,84,0
2020-05-18,83,0
2020-05-19,81,0
2020-05-20,78,0
2020-05-21,81,0
2020-05-22,80,0
2020-05-23,83,0
2020-05-24,86,0
2020-05-25,81,0
2020-05-26,78,0
2020-05-27,77,0
2020-05-28,76,0
2020-05-29,78,0
2020-05-30,78,0
2020-05-31,78,0
2020-06-01,80,0
2020-06-02,77,0
2020-06-03,79,0
2020-06-04,79,0
2020-06-05,81,0
2020-06-06,83,0
2020-06-07,84,0
2020-06-08,75,0
2020-06-09,72,0
2020-06-10,75,0
2020-06-11,76,0
2020-06-12,79,0
2020-06-13,78,0
2020-06-14,82,0
2020-06-15,81,0
2020-06-16,73,0
2020-06-17,75,0
2020-06-18,76,0
2020-06-19,75,0
2020-06-20,81,0
2020-06-21,83,0
2020-06-22,77,0
2020-06-23,76,0
2020-06-24,76,0
2020-06-25,75,0
2020-06-26,81,0
2020-06-27,74,0
2020-06-28,76,0
2020-06-29,77,0
2020-06-30,74,0
2020-07-01,77,0
2020-07-02,78,0
2020-07-03,92,0
2020-07-04,94,0
2020-07-05,92,0
2020-07-06,94,0
2020-07-07,94,0
2020-07-08,85,0
2020-07-09,86,0
2020-07-10,94,0
2020-07-11,89,0
2020-07-12,92,0
2020-07-13,89,0
2020-07-14,87,0
2020-07-15,89,0
2020-07-16,91,0
2020-07-17,90,0
2020-07-18,91,0
2020-07-19,89,0
2020-07-20,85,0
2020-07-21,86,0
2020-07-22,87,0
2020-07-23,88,0
2020-07-24,88,0
2020-07-25,90,0
2020-07-26,89,0
2020-07-27,86,0
2020-07-28,88,0
2020-07-29,88,0
2020-07-30,87,0
2020-07-31,87,0
2020-08-01,86,0
2020-08-02,92,0
2020-08-03,86,0
2020-08-04,88,0
2020-08-05,80,0
2020-08-06,84,0
2020-08-07,84,0
2020-08-08,85,0
2020-08-09,87,0
2020-08-10,84,0
2020-08-11,79,0
2020-08-12,81,0
2020-08-13,82,0
2020-08-14,80,0
2020-08-15,83,0
2020-08-16,83,0
2020-08-17,80,0
2020-08-18,83,0
2020-08-19,82,0
2020-08-20,83,0
2020-08-21,84,0
2020-08-22,85,0
2020-08-23,81,0
2020-08-24,78,0
2020-08-25,78,0
2020-08-26,78,0
2020-08-27,81,0
2020-08-28,79,0
2020-08-29,82,0
2020-08-30,78,0
2020-08-31,79,0
2020-09-01,81,0
2020-09-02,78,0
2020-09-03,82,0
2020-09-04,84,0
2020-09-05,80,0
2020-09-06,84,0
2020-09-07,81,0
2020-09-08,84,0
2020-09-09,82,0
2020-09-10,84,0
2020-09-11,92,0
2020-09-12,88,0
2020-09-13,83,0
2020-09-14,79,0
2020-09-15,76,0
2020-09-16,79,0
2020-09-17,81,0
2020-09-18,86,0
2020-09-19,84,0
2020-09-20,79,0
2020-09-21,85,0
2020-09-22,82,0
2020-09-23,85,0
2020-09-24,88,0
2020-09-25,87,0
2020-09-26,83,0
