date,Dog Food,Puppies for Sale,Pet shop
2018-12-30,0,67,0
2018-12-31,48,65,0
2019-01-01,26,82,0
2019-01-02,35,100,18
2019-01-03,0,71,0
2019-01-04,23,65,0
2019-01-05,31,72,24
2019-01-06,0,66,0
2019-01-07,28,47,0
2019-01-08,0,49,0
2019-01-09,25,45,0
2019-01-10,17,58,0
2019-01-11,0,43,0
2019-01-12,0,77,0
2019-01-13,31,60,0
2019-01-14,25,46,0
2019-01-15,27,38,0
2019-01-16,22,33,0
2019-01-17,33,57,0
2019-01-18,32,51,0
2019-01-19,28,69,0
2019-01-20,37,84,0
2019-01-21,29,58,0
2019-01-22,28,49,0
2019-01-23,34,46,16
2019-01-24,40,54,0
2019-01-25,27,62,0
2019-01-26,21,71,0
2019-01-27,0,62,0
2019-01-28,25,48,0
2019-01-29,34,37,0
2019-01-30,38,41,0
2019-01-31,28,41,0
2019-02-01,22,42,0
2019-02-02,22,45,0
2019-02-03,21,67,0
2019-02-04,40,53,0
2019-02-05,21,34,0
2019-02-06,24,38,0
2019-02-07,19,48,0
2019-02-08,21,35,0
2019-02-09,36,81,0
2019-02-10,38,49,0
2019-02-11,30,31,0
2019-02-12,22,36,0
2019-02-13,16,39,0
2019-02-14,25,34,0
2019-02-15,33,39,0
2019-02-16,21,57,0
2019-02-17,24,68,0
2019-02-18,31,27,0
2019-02-19,35,43,0
2019-02-20,22,40,0
2019-02-21,30,47,0
2019-02-22,25,44,0
2019-02-23,28,61,0
2019-02-24,40,57,0
2019-02-25,26,32,0
2019-02-26,29,29,0
2019-02-27,18,23,0
2019-02-28,30,37,0
2019-03-01,18,40,0
2019-03-02,25,45,0
2019-03-03,29,57,0
2019-03-04,0,34,0
2019-03-05,29,44,0
2019-03-06,17,42,0
2019-03-07,16,22,0
2019-03-08,18,51,0
2019-03-09,25,66,0
2019-03-10,30,48,0
2019-03-11,22,52,0
2019-03-12,23,31,0
2019-03-13,17,27,0
2019-03-14,16,31,0
2019-03-15,0,32,0
2019-03-16,41,45,0
2019-03-17,32,46,0
2019-03-18,18,51,0
2019-03-19,20,23,0
2019-03-20,23,43,17
2019-03-21,35,65,0
2019-03-22,45,52,0
2019-03-23,37,51,0
2019-03-24,0,71,0
2019-03-25,0,55,0
2019-03-26,0,50,0
2019-03-27,37,49,0
2019-03-28,0,46,0
2019-03-29,29,51,0
2019-03-30,23,83,0
2019-03-31,24,78,21
2019-04-01,22,46,0
2019-04-02,19,48,0
2019-04-03,18,34,0
2019-04-04,24,49,0
2019-04-05,29,41,0
2019-04-06,30,46,0
2019-04-07,32,63,21
2019-04-08,22,56,0
2019-04-09,39,48,0
2019-04-10,0,36,0
2019-04-11,19,37,0
2019-04-12,31,44,0
2019-04-13,23,40,28
2019-04-14,28,52,0
2019-04-15,25,52,0
2019-04-16,21,46,0
2019-04-17,18,39,0
2019-04-18,22,39,0
2019-04-19,0,46,0
2019-04-20,25,61,0
2019-04-21,23,57,0
2019-04-22,20,56,0
2019-04-23,24,44,0
2019-04-24,0,49,0
2019-04-25,36,34,0
2019-04-26,41,47,0
2019-04-27,26,68,0
2019-04-28,33,64,0
2019-04-29,21,47,0
2019-04-30,29,47,0
2019-05-01,39,45,0
2019-05-02,30,50,0
2019-05-03,21,42,0
2019-05-04,0,57,0
2019-05-05,27,69,0
2019-05-06,21,49,0
2019-05-07,28,39,0
2019-05-08,22,73,18
2019-05-09,17,32,0
2019-05-10,0,32,0
2019-05-11,0,50,0
2019-05-12,29,59,0
2019-05-13,28,54,0
2019-05-14,18,34,0
2019-05-15,32,52,0
2019-05-16,24,36,0
2019-05-17,22,36,0
2019-05-18,0,56,0
2019-05-19,33,78,0
2019-05-20,28,40,0
2019-05-21,24,47,0
2019-05-22,38,50,0
2019-05-23,34,66,0
2019-05-24,27,49,0
2019-05-25,40,70,0
2019-05-26,27,63,0
2019-05-27,30,37,20
2019-05-28,24,56,0
2019-05-29,23,45,0
2019-05-30,0,49,0
2019-05-31,26,42,0
2019-06-01,34,53,0
2019-06-02,39,53,0
2019-06-03,19,37,0
2019-06-04,27,43,0
2019-06-05,17,54,0
2019-06-06,18,63,0
2019-06-07,0,30,0
2019-06-08,0,60,0
2019-06-09,25,58,0
2019-06-10,15,38,0
2019-06-11,32,47,0
2019-06-12,28,66,0
2019-06-13,27,60,0
2019-06-14,0,52,0
2019-06-15,32,57,0
2019-06-16,36,78,0
2019-06-17,29,64,0
2019-06-18,33,48,0
2019-06-19,33,59,0
2019-06-20,34,45,0
2019-06-21,22,40,0
2019-06-22,26,72,0
2019-06-23,0,62,0
2019-06-24,29,68,0
2019-06-25,42,47,0
2019-06-26,37,57,0
2019-06-27,30,44,0
2019-06-28,31,67,0
2019-06-29,58,50,0
2019-06-30,35,90,0
2019-07-01,43,68,0
2019-07-02,27,50,0
2019-07-03,19,59,0
2019-07-04,26,55,0
2019-07-05,37,41,0
2019-07-06,31,73,0
2019-07-07,34,66,0
2019-07-08,32,55,0
2019-07-09,37,69,0
2019-07-10,43,56,0
2019-07-11,32,63,0
2019-07-12,20,45,0
2019-07-13,57,92,0
2019-07-14,22,68,0
2019-07-15,30,53,0
2019-07-16,22,45,0
2019-07-17,24,45,0
2019-07-18,0,43,0
2019-07-19,27,47,0
2019-07-20,35,63,0
2019-07-21,37,85,0
2019-07-22,31,51,0
2019-07-23,34,56,0
2019-07-24,29,42,0
2019-07-25,31,59,0
2019-07-26,29,54,0
2019-07-27,24,84,0
2019-07-28,0,82,24
2019-07-29,23,45,0
2019-07-30,33,52,0
2019-07-31,36,58,0
2019-08-01,24,54,0
2019-08-02,24,56,0
2019-08-03,0,56,0
2019-08-04,25,89,0
2019-08-05,25,59,0
2019-08-06,26,53,0
2019-08-07,27,51,0
2019-08-08,20,51,0
2019-08-09,28,91,0
2019-08-10,33,70,24
2019-08-11,23,63,0
2019-08-12,36,52,0
2019-08-13,23,41,0
2019-08-14,35,45,0
2019-08-15,34,63,0
2019-08-16,20,56,0
2019-08-17,0,70,0
2019-08-18,24,72,0
2019-08-19,27,41,0
2019-08-20,24,53,0
2019-08-21,25,52,16
2019-08-22,23,62,0
2019-08-23,31,43,18
2019-08-24,31,50,0
2019-08-25,37,78,0
2019-08-26,20,45,0
2019-08-27,37,40,0
2019-08-28,24,48,20
2019-08-29,24,33,0
2019-08-30,0,63,0
2019-08-31,28,50,32
2019-09-01,21,71,0
2019-09-02,18,41,0
2019-09-03,24,43,0
2019-09-04,0,53,0
2019-09-05,39,39,0
2019-09-06,23,39,0
2019-09-07,23,67,0
2019-09-08,31,69,0
2019-09-09,32,53,0
2019-09-10,18,39,0
2019-09-11,31,52,0
2019-09-12,16,61,0
2019-09-13,25,34,0
2019-09-14,26,58,0
2019-09-15,25,48,0
2019-09-16,32,47,0
2019-09-17,32,82,0
2019-09-18,20,46,0
2019-09-19,19,44,0
2019-09-20,34,53,0
2019-09-21,25,60,0
2019-09-22,24,64,0
2019-09-23,24,84,18
2019-09-24,26,78,0
2019-09-25,23,56,0
2019-09-26,26,44,0
2019-09-27,31,51,19
2019-09-28,22,58,0
2019-09-29,42,74,0
2019-09-30,35,41,0
2019-10-01,24,60,18
2019-10-02,37,56,0
2019-10-03,42,54,0
2019-10-04,35,35,0
2019-10-05,41,50,0
2019-10-06,37,80,0
2019-10-07,29,52,0
2019-10-08,40,48,0
2019-10-09,31,41,0
2019-10-10,39,43,0
2019-10-11,29,63,0
2019-10-12,38,60,0
2019-10-13,35,75,0
2019-10-14,32,57,22
2019-10-15,28,49,0
2019-10-16,29,47,0
2019-10-17,32,52,0
2019-10-18,25,65,0
2019-10-19,36,48,0
2019-10-20,33,59,0
2019-10-21,46,53,15
2019-10-22,37,55,0
2019-10-23,32,48,0
2019-10-24,35,46,0
2019-10-25,33,38,0
2019-10-26,0,56,0
2019-10-27,39,58,0
2019-10-28,36,51,0
2019-10-29,37,45,0
2019-10-30,33,44,0
2019-10-31,23,47,0
2019-11-01,33,32,0
2019-11-02,24,48,0
2019-11-03,51,83,34
2019-11-04,26,47,0
2019-11-05,30,42,15
2019-11-06,33,48,0
2019-11-07,28,48,0
2019-11-08,23,42,0
2019-11-09,32,100,0
2019-11-10,34,86,0
2019-11-11,35,45,0
2019-11-12,25,44,0
2019-11-13,27,39,0
2019-11-14,21,53,0
2019-11-15,20,65,0
2019-11-16,27,76,0
2019-11-17,37,64,0
2019-11-18,39,45,0
2019-11-19,37,41,0
2019-11-20,42,54,0
2019-11-21,46,65,0
2019-11-22,23,56,0
2019-11-23,27,60,0
2019-11-24,34,87,0
2019-11-25,43,57,0
2019-11-26,35,51,0
2019-11-27,20,41,0
2019-11-28,42,51,0
2019-11-29,34,27,26
2019-11-30,30,70,0
2019-12-01,33,66,0
2019-12-02,39,51,0
2019-12-03,21,42,0
2019-12-04,33,57,0
2019-12-05,18,37,0
2019-12-06,29,31,0
2019-12-07,20,44,0
2019-12-08,35,73,0
2019-12-09,28,34,0
2019-12-10,0,37,0
2019-12-11,29,33,0
2019-12-12,31,62,0
2019-12-13,28,39,0
2019-12-14,32,76,0
2019-12-15,37,87,0
2019-12-16,31,78,0
2019-12-17,29,60,0
2019-12-18,34,54,0
2019-12-19,40,67,0
2019-12-20,27,74,0
2019-12-21,41,50,0
2019-12-22,0,81,0
2019-12-23,32,72,0
2019-12-24,35,47,0
2019-12-25,0,56,0
2019-12-26,29,87,0
2019-12-27,23,78,0
2019-12-28,32,61,0
2019-12-29,42,89,0
2019-12-30,26,82,0
2019-12-31,32,57,22
2020-01-01,34,70,0
2020-01-02,27,46,0
2020-01-03,22,49,0
2020-01-04,20,51,0
2020-01-05,25,58,22
2020-01-06,33,42,13
2020-01-07,22,39,0
2020-01-08,23,39,0
2020-01-09,27,41,0
2020-01-10,27,37,0
2020-01-11,26,49,0
2020-01-12,21,53,0
2020-01-13,19,47,0
2020-01-14,23,36,11
2020-01-15,22,46,0
2020-01-16,23,35,0
2020-01-17,17,46,0
2020-01-18,27,58,0
2020-01-19,35,62,0
2020-01-20,32,35,0
2020-01-21,22,38,0
2020-01-22,25,41,0
2020-01-23,14,47,15
2020-01-24,24,51,0
2020-01-25,24,36,0
2020-01-26,20,48,0
2020-01-27,21,31,12
2020-01-28,22,37,0
2020-01-29,22,33,0
2020-01-30,18,24,0
2020-01-31,12,22,0
2020-02-01,31,42,0
2020-02-02,28,64,0
2020-02-03,22,35,0
2020-02-04,14,37,0
2020-02-05,15,39,0
2020-02-06,17,31,0
2020-02-07,16,42,0
2020-02-08,14,37,0
2020-02-09,21,44,0
2020-02-10,23,33,17
2020-02-11,19,37,0
2020-02-12,24,38,0
2020-02-13,19,19,0
2020-02-14,0,31,0
2020-02-15,17,43,15
2020-02-16,23,49,0
2020-02-17,24,31,0
2020-02-18,27,22,0
2020-02-19,17,39,0
2020-02-20,37,27,0
2020-02-21,17,33,0
2020-02-22,23,50,0
2020-02-23,24,48,14
2020-02-24,19,30,0
2020-02-25,28,36,0
2020-02-26,17,43,0
2020-02-27,22,33,0
2020-02-28,18,29,0
2020-02-29,23,45,0
2020-03-01,14,47,0
2020-03-02,22,31,0
2020-03-03,24,27,11
2020-03-04,33,25,0
2020-03-05,16,25,0
2020-03-06,14,37,0
2020-03-07,25,37,16
2020-03-08,13,41,0
2020-03-09,19,32,0
2020-03-10,13,29,0
2020-03-11,16,30,0
