date,Property24,Private Property,Remax Hub,Houses for Sale,Flats to rent,Room to rent,The Parks Lifestyle Apartments,Eazi Real Estate,Property sales,Real Estate
2018-12-30,23,26,0,77,28,49,0,0,0,59
2018-12-31,22,27,0,67,19,77,0,0,0,0
2019-01-01,30,36,0,91,35,51,0,0,0,0
2019-01-02,31,45,0,89,37,67,0,0,0,46
2019-01-03,34,40,0,81,42,62,0,0,0,48
2019-01-04,35,34,0,77,38,66,0,0,0,49
2019-01-05,32,37,0,85,34,78,0,0,0,44
2019-01-06,33,43,0,88,35,55,0,0,0,45
2019-01-07,39,43,0,81,47,76,0,0,0,52
2019-01-08,45,42,0,81,42,61,0,0,0,62
2019-01-09,42,43,0,82,43,87,0,0,0,59
2019-01-10,38,45,0,84,47,80,0,0,0,55
2019-01-11,35,41,0,78,40,44,0,0,0,42
2019-01-12,41,35,0,94,36,74,0,0,0,36
2019-01-13,44,43,0,100,33,91,0,0,0,49
2019-01-14,41,50,0,85,42,79,0,0,0,51
2019-01-15,42,42,0,87,39,76,0,0,0,44
2019-01-16,41,43,0,85,38,65,0,0,21,42
2019-01-17,39,45,0,83,43,55,0,0,0,71
2019-01-18,39,44,0,78,33,62,0,0,0,47
2019-01-19,41,45,0,85,32,49,0,0,0,44
2019-01-20,52,48,0,93,39,86,0,0,0,53
2019-01-21,31,48,0,86,47,85,0,0,0,66
2019-01-22,30,46,0,89,44,82,0,0,0,63
2019-01-23,31,40,0,85,42,71,0,0,0,47
2019-01-24,29,39,0,82,40,74,0,0,0,65
2019-01-25,25,34,0,72,32,65,0,0,0,33
2019-01-26,26,34,0,81,31,79,0,0,0,47
2019-01-27,26,42,0,92,34,100,0,0,0,31
2019-01-28,26,43,0,84,42,89,0,0,0,31
2019-01-29,23,41,0,76,38,83,0,0,0,59
2019-01-30,26,35,0,78,34,71,0,0,0,39
2019-01-31,23,35,0,78,35,87,0,0,0,26
2019-02-01,21,36,0,75,30,72,0,0,0,45
2019-02-02,21,38,0,78,31,50,0,0,0,56
2019-02-03,21,38,0,82,32,69,0,0,0,32
2019-02-04,29,43,0,81,38,74,0,0,0,47
2019-02-05,27,40,0,74,35,62,24,0,26,58
2019-02-06,22,43,0,78,32,53,0,0,0,50
2019-02-07,24,39,0,76,32,56,0,0,0,59
2019-02-08,23,38,0,76,29,48,0,0,0,53
2019-02-09,20,37,0,86,26,63,0,0,0,46
2019-02-10,21,48,0,92,32,62,0,0,0,32
2019-02-11,21,38,0,81,36,48,0,0,0,68
2019-02-12,25,38,0,79,37,52,0,0,0,59
2019-02-13,19,29,0,76,27,62,0,0,0,42
2019-02-14,21,37,0,65,24,34,0,0,0,43
2019-02-15,19,37,0,80,27,48,0,0,0,38
2019-02-16,18,28,0,81,31,76,0,0,0,35
2019-02-17,23,43,0,95,30,61,0,0,0,39
2019-02-18,23,44,0,76,37,50,0,0,0,57
2019-02-19,25,39,0,84,30,78,0,0,0,54
2019-02-20,23,43,0,75,33,49,0,0,0,75
2019-02-21,22,36,0,80,30,57,0,0,0,38
2019-02-22,23,35,0,80,26,70,0,0,0,57
2019-02-23,25,34,0,93,31,70,0,0,0,30
2019-02-24,21,35,0,88,29,60,0,0,0,47
2019-02-25,25,37,0,72,30,83,0,0,0,52
2019-02-26,22,37,0,76,35,84,0,0,0,37
2019-02-27,19,35,0,73,31,69,0,0,0,55
2019-02-28,17,33,0,64,29,60,0,0,0,33
2019-03-01,18,33,0,65,26,81,0,0,0,36
2019-03-02,15,23,0,74,22,43,0,0,0,41
2019-03-03,23,31,0,82,27,51,0,0,0,35
2019-03-04,23,39,0,67,31,55,0,0,0,48
2019-03-05,17,37,0,73,28,61,0,0,0,42
2019-03-06,15,32,0,73,36,45,0,0,20,42
2019-03-07,21,33,0,75,28,61,0,0,0,46
2019-03-08,20,26,0,80,22,46,0,0,0,45
2019-03-09,18,28,0,77,23,47,0,0,0,36
2019-03-10,20,35,0,89,26,58,0,0,0,43
2019-03-11,21,34,0,75,26,53,0,0,0,52
2019-03-12,16,34,0,79,30,40,0,0,0,34
2019-03-13,24,30,0,70,27,41,0,0,0,36
2019-03-14,16,34,0,74,31,70,0,0,0,55
2019-03-15,16,30,0,67,27,60,0,0,0,54
2019-03-16,15,34,0,78,29,45,0,0,0,27
2019-03-17,22,32,0,81,25,52,0,0,0,36
2019-03-18,17,37,0,77,32,61,0,0,0,44
2019-03-19,19,33,0,72,27,57,0,0,0,53
2019-03-20,15,31,0,69,29,65,0,0,0,33
2019-03-21,13,32,0,90,31,90,0,0,0,48
2019-03-22,17,32,0,76,28,81,0,0,0,40
2019-03-23,18,35,0,85,25,61,0,0,0,31
2019-03-24,19,31,0,89,30,65,0,0,0,43
2019-03-25,22,33,0,79,33,64,0,0,0,56
