date,Kaizer Chiefs,Orlando Pirates,Sundowns,Premier League,Soccer Laduma,FIFA World Cup,Gambling,Tickets,Arsenal Store,Football
2018-12-30,13,4,3,55,12,0,0,19,0,82
2018-12-31,14,5,3,18,12,0,0,24,0,53
2019-01-01,15,5,3,34,12,0,0,16,0,78
2019-01-02,16,7,4,31,16,0,0,18,0,64
2019-01-03,18,6,5,33,16,0,0,18,0,64
2019-01-04,18,7,6,24,17,0,0,18,0,50
2019-01-05,36,17,39,21,19,0,0,18,0,69
2019-01-06,13,7,9,14,14,0,0,15,0,62
2019-01-07,13,6,6,8,12,0,0,10,0,49
2019-01-08,15,15,8,10,15,0,0,13,0,61
2019-01-09,30,10,6,11,15,0,0,11,0,53
2019-01-10,21,7,5,9,14,3,0,14,0,51
2019-01-11,18,8,13,10,13,0,0,17,0,50
2019-01-12,22,22,10,44,16,3,0,15,0,88
2019-01-13,63,8,4,42,19,0,0,12,0,84
2019-01-14,18,6,4,18,13,0,0,14,0,53
2019-01-15,17,10,5,14,14,0,0,9,0,51
2019-01-16,28,9,13,9,16,0,0,12,0,52
2019-01-17,20,8,8,9,14,0,0,13,0,53
2019-01-18,17,20,7,12,14,0,0,17,0,52
2019-01-19,47,12,22,55,18,0,0,16,0,92
2019-01-20,19,7,15,40,12,0,0,14,0,77
2019-01-21,12,7,6,13,13,0,0,16,0,45
2019-01-22,13,16,15,10,14,0,3,13,0,52
2019-01-23,15,8,8,9,13,0,0,11,0,55
2019-01-24,12,6,5,7,11,0,0,14,0,56
2019-01-25,12,6,5,9,12,0,0,17,0,54
2019-01-26,15,28,22,13,16,0,0,22,0,71
2019-01-27,36,8,6,10,13,0,0,19,0,63
2019-01-28,13,6,5,9,11,0,0,13,0,48
2019-01-29,13,7,28,22,16,0,0,12,0,58
2019-01-30,27,7,13,33,17,0,0,15,0,68
2019-01-31,28,10,9,22,17,0,0,17,0,55
2019-02-01,20,9,16,12,15,0,0,17,0,46
2019-02-02,15,23,16,41,15,0,0,19,0,70
2019-02-03,12,12,7,50,13,0,0,20,0,69
2019-02-04,12,6,7,22,13,0,0,20,0,50
2019-02-05,12,7,8,21,12,3,0,13,0,46
2019-02-06,12,6,19,17,13,4,0,14,0,49
2019-02-07,12,6,10,21,12,0,0,14,0,45
2019-02-08,13,7,5,13,11,0,0,12,0,44
2019-02-09,50,35,9,58,16,0,0,17,0,78
2019-02-10,10,7,8,61,11,0,0,11,0,79
2019-02-11,9,6,6,20,10,0,0,9,0,45
2019-02-12,9,21,19,11,12,0,0,9,0,53
2019-02-13,8,6,8,7,10,0,0,8,0,46
2019-02-14,8,5,5,6,10,3,0,11,0,42
2019-02-15,8,4,4,8,8,0,0,14,0,42
2019-02-16,10,5,4,16,10,0,0,13,0,60
2019-02-17,35,5,4,11,11,0,0,16,0,68
2019-02-18,11,5,4,8,9,0,0,13,0,48
2019-02-19,9,5,15,9,11,0,0,11,0,52
2019-02-20,8,15,7,9,11,0,0,11,0,41
2019-02-21,8,7,3,8,10,0,0,11,0,41
2019-02-22,9,5,4,13,9,0,0,13,0,46
2019-02-23,25,20,21,41,15,0,0,16,0,68
2019-02-24,7,10,7,50,10,0,0,13,0,100
2019-02-25,7,6,5,15,9,0,0,14,0,42
2019-02-26,7,5,6,16,10,0,0,16,0,47
2019-02-27,8,5,21,30,11,0,0,14,0,59
2019-02-28,8,4,11,28,11,0,0,14,0,53
2019-03-01,8,5,5,14,9,0,0,20,0,44
2019-03-02,27,18,23,60,16,0,0,20,0,73
2019-03-03,11,10,6,53,11,0,0,17,0,74
2019-03-04,8,6,5,16,9,0,0,15,0,43
2019-03-05,8,16,22,12,11,0,0,12,0,49
2019-03-06,9,9,9,12,11,0,0,14,0,64
2019-03-07,9,6,4,11,10,0,0,13,0,59
2019-03-08,9,22,6,12,11,0,0,15,0,54
2019-03-09,27,17,20,51,14,0,0,18,0,66
2019-03-10,11,6,13,68,11,0,0,14,0,80
2019-03-11,9,5,6,16,9,0,0,11,0,42
2019-03-12,8,6,20,11,11,0,0,9,0,52
2019-03-13,9,6,10,11,11,0,0,10,0,51
2019-03-14,9,5,6,10,10,0,0,11,0,54
2019-03-15,24,8,6,14,13,0,0,14,0,53
2019-03-16,11,37,21,37,13,0,0,16,0,81
2019-03-17,6,10,9,43,9,0,0,13,0,79
2019-03-18,7,6,5,14,9,0,0,11,0,43
2019-03-19,8,4,4,7,8,0,0,15,0,47
2019-03-20,9,4,5,6,10,0,0,18,0,49
2019-03-21,9,4,5,6,10,0,0,15,0,59
2019-03-22,7,4,3,5,8,0,0,17,0,63
2019-03-23,7,4,3,8,10,0,0,29,0,72
2019-03-24,5,3,4,6,11,0,0,17,0,75
2019-03-25,6,4,4,5,9,3,0,14,0,58
2019-03-26,8,5,5,6,8,0,0,13,0,51
2019-03-27,7,5,4,7,9,0,0,15,0,40
2019-03-28,8,4,5,7,8,0,0,15,0,42
2019-03-29,8,5,5,10,6,0,0,15,0,46
2019-03-30,11,5,5,44,8,0,0,14,0,72
2019-03-31,34,5,6,52,9,0,0,19,0,72
2019-04-01,12,21,32,21,9,0,0,15,0,41
2019-04-02,10,8,14,25,7,0,0,9,0,47
2019-04-03,9,5,8,28,7,0,0,20,0,48
2019-04-04,9,4,7,21,7,0,0,33,0,44
2019-04-05,9,5,7,22,7,0,0,18,0,43
2019-04-06,25,22,49,41,11,0,0,14,0,79
2019-04-07,10,7,16,37,7,0,0,11,0,63
2019-04-08,8,6,10,17,7,0,0,10,0,50
2019-04-09,8,6,9,14,7,0,0,11,0,52
2019-04-10,7,17,8,12,9,0,0,9,0,54
2019-04-11,8,10,9,12,7,0,0,13,0,53
2019-04-12,8,7,14,16,7,0,0,11,0,42
2019-04-13,24,23,40,49,11,0,0,16,0,67
2019-04-14,7,12,15,56,8,0,0,16,0,77
2019-04-15,8,6,9,23,6,0,0,18,0,43
2019-04-16,7,5,9,16,7,0,0,14,0,54
2019-04-17,8,7,36,14,9,0,0,15,0,62
2019-04-18,7,7,15,14,7,0,0,14,0,53
2019-04-19,8,5,7,18,6,0,0,14,0,56
2019-04-20,40,8,40,54,11,0,0,16,0,82
2019-04-21,20,5,10,59,8,0,0,13,0,82
2019-04-22,11,4,7,26,7,0,0,16,0,52
2019-04-23,22,8,40,25,9,0,0,17,0,45
2019-04-24,11,23,12,44,8,0,0,16,0,59
2019-04-25,10,11,10,29,7,0,0,14,0,48
2019-04-26,13,8,35,30,8,0,0,19,0,52
2019-04-27,26,10,22,56,9,0,0,17,0,63
2019-04-28,13,7,9,71,7,0,0,15,0,66
2019-04-29,9,7,13,17,7,0,0,18,0,42
2019-04-30,9,8,42,15,10,0,0,19,0,48
2019-05-01,10,8,16,15,9,4,0,13,0,59
2019-05-02,10,7,9,11,8,0,0,10,0,49
2019-05-03,10,7,10,15,8,0,0,13,0,42
2019-05-04,24,37,61,62,12,0,0,15,0,77
2019-05-05,10,7,12,61,7,0,0,12,0,75
2019-05-06,9,6,10,30,7,0,0,8,0,46
2019-05-07,9,6,45,26,8,0,0,20,0,60
2019-05-08,8,5,19,17,9,0,0,16,0,72
2019-05-09,8,4,13,11,7,0,0,14,0,54
2019-05-10,9,6,22,14,8,0,0,18,0,46
2019-05-11,21,25,79,38,11,0,0,10,0,63
2019-05-12,10,6,11,100,9,0,0,11,0,84
2019-05-13,11,5,7,18,8,0,0,10,0,45
2019-05-14,9,4,6,7,7,0,0,12,0,44
2019-05-15,10,4,5,7,8,0,0,10,0,52
2019-05-16,9,5,4,7,6,0,0,13,0,49
2019-05-17,12,4,5,7,7,0,0,12,0,42
2019-05-18,63,4,5,11,10,0,0,13,0,68
2019-05-19,26,4,5,10,10,0,0,9,0,59
2019-05-20,17,5,5,5,8,0,0,10,0,45
2019-05-21,14,5,4,5,9,0,0,9,0,44
2019-05-22,14,5,4,4,9,3,0,9,0,47
2019-05-23,15,6,4,4,9,8,0,11,0,42
2019-05-24,16,6,4,5,8,7,0,12,0,48
2019-05-25,15,4,3,6,10,11,0,13,0,65
2019-05-26,14,4,4,7,7,8,0,12,0,63
2019-05-27,15,5,4,4,8,6,0,11,0,51
2019-05-28,15,5,3,5,9,12,0,10,0,45
2019-05-29,15,5,3,5,9,7,0,12,0,59
2019-05-30,14,5,4,4,8,8,0,14,0,49
2019-05-31,14,6,3,4,8,10,0,11,0,49
2019-06-01,13,5,4,7,8,6,0,16,0,76
2019-06-02,12,5,3,5,7,8,0,12,0,73
2019-06-03,15,7,4,3,9,8,0,10,0,42
2019-06-04,16,7,4,3,10,7,0,8,0,49
2019-06-05,20,7,4,2,10,7,0,11,0,51
2019-06-06,21,8,4,3,11,5,0,11,0,53
2019-06-07,19,7,4,3,11,13,0,16,0,62
2019-06-08,16,6,4,3,9,44,0,12,0,76
2019-06-09,15,6,4,3,9,24,0,16,0,84
2019-06-10,18,6,4,2,9,15,0,15,0,59
2019-06-11,19,9,3,2,10,22,0,13,0,53
2019-06-12,19,9,3,3,11,26,0,18,0,52
2019-06-13,17,8,4,6,10,33,0,19,0,56
2019-06-14,16,8,4,4,11,26,0,18,0,60
2019-06-15,15,8,4,5,11,22,0,25,0,64
2019-06-16,15,7,3,5,8,19,0,14,0,71
2019-06-17,16,8,3,3,10,31,0,17,0,69
2019-06-18,17,8,3,3,11,20,0,15,0,50
2019-06-19,17,9,4,3,12,21,0,11,0,53
2019-06-20,20,9,4,2,13,22,0,12,0,59
2019-06-21,21,9,5,3,13,14,0,11,0,59
2019-06-22,16,7,3,4,13,18,0,8,0,67
2019-06-23,15,6,3,3,10,22,0,11,0,72
2019-06-24,17,9,3,2,12,18,0,11,0,61
2019-06-25,19,9,4,3,13,18,0,11,0,53
2019-06-26,22,10,4,3,14,11,0,10,0,52
2019-06-27,22,10,5,3,14,14,0,12,0,59
2019-06-28,18,11,4,4,15,19,0,11,0,62
2019-06-29,17,9,4,5,13,22,0,9,0,67
2019-06-30,15,8,4,4,12,11,0,8,0,68
2019-07-01,10,5,2,2,8,8,0,14,0,69
2019-07-02,12,4,2,2,8,18,0,14,0,71
2019-07-03,13,5,3,2,9,25,0,16,0,60
2019-07-04,12,5,3,2,9,13,0,21,0,60
2019-07-05,12,5,2,3,8,8,0,24,0,61
2019-07-06,10,4,2,3,9,18,0,32,0,92
2019-07-07,8,4,2,2,8,37,0,23,0,100
2019-07-08,11,4,2,2,8,7,0,11,0,74
2019-07-09,11,4,2,1,8,4,0,14,0,64
2019-07-10,9,5,2,2,8,4,0,13,0,70
2019-07-11,9,4,3,2,7,3,0,13,0,65
2019-07-12,11,5,2,2,7,3,0,21,0,58
2019-07-13,9,5,2,3,6,0,0,25,0,62
2019-07-14,8,4,2,2,5,5,0,37,0,75
2019-07-15,10,5,2,2,6,3,0,19,0,63
2019-07-16,9,5,2,2,6,0,0,12,0,54
2019-07-17,10,5,3,2,6,0,0,17,0,60
2019-07-18,11,5,3,2,7,0,0,16,0,60
2019-07-19,11,6,3,2,6,0,0,16,0,66
2019-07-20,12,5,3,3,6,4,0,22,0,76
2019-07-21,9,5,3,3,5,0,0,15,0,71
2019-07-22,13,9,4,2,6,3,0,13,0,61
2019-07-23,16,8,4,2,6,0,0,12,0,60
2019-07-24,14,8,4,2,6,0,0,11,0,60
2019-07-25,13,7,4,2,6,0,0,18,0,63
2019-07-26,13,7,4,2,6,0,0,17,0,61
2019-07-27,36,30,4,3,6,0,0,26,0,73
2019-07-28,9,7,4,4,5,0,0,15,0,76
2019-07-29,9,6,4,3,6,0,0,11,0,55
2019-07-30,9,5,4,3,5,0,0,12,0,56
2019-07-31,11,5,4,3,7,0,0,15,0,64
2019-08-01,10,5,4,3,7,3,0,12,0,62
2019-08-02,11,5,4,4,6,0,0,10,0,66
2019-08-03,10,17,16,7,8,0,0,16,0,85
2019-08-04,28,6,4,7,6,0,0,14,0,92
2019-08-05,11,5,4,5,6,0,0,10,0,63
2019-08-06,10,4,3,5,6,0,0,12,0,67
2019-08-07,10,5,4,5,7,4,0,13,0,76
2019-08-08,9,5,3,8,6,0,0,15,0,95
2019-08-09,9,5,4,21,6,0,0,17,0,88
2019-08-10,24,19,6,33,7,0,0,18,0,95
2019-08-11,11,6,20,30,6,0,0,11,0,82
2019-08-12,9,4,6,10,5,0,0,9,0,60
2019-08-13,8,4,4,5,5,0,0,11,0,47
2019-08-14,9,14,11,6,7,0,0,16,0,60
2019-08-15,9,7,5,5,5,0,0,16,0,57
2019-08-16,9,6,3,7,6,3,0,18,0,57
2019-08-17,8,28,17,32,8,0,0,23,0,88
2019-08-18,7,8,8,23,5,0,0,11,0,74
2019-08-19,7,6,4,11,5,0,0,11,0,55
2019-08-20,8,15,12,9,6,0,0,15,0,51
2019-08-21,8,7,5,6,5,0,0,12,0,52
2019-08-22,7,5,3,5,5,0,0,13,0,46
2019-08-23,7,6,4,8,5,0,0,17,0,53
2019-08-24,25,19,15,33,6,0,0,22,0,87
2019-08-25,8,11,8,26,5,0,0,15,0,77
2019-08-26,7,4,4,8,4,0,0,16,0,46
2019-08-27,22,4,4,6,6,0,0,15,0,44
2019-08-28,12,11,9,5,6,0,0,13,0,51
2019-08-29,7,6,5,5,5,0,0,12,0,54
2019-08-30,7,3,3,7,4,0,0,16,0,52
2019-08-31,7,3,5,32,5,0,0,19,0,79
2019-09-01,6,3,12,22,4,0,0,21,0,77
2019-09-02,7,4,4,6,6,0,0,21,0,47
2019-09-03,7,4,4,3,6,0,0,20,0,43
2019-09-04,6,3,3,2,4,0,0,50,0,41
2019-09-05,5,3,2,2,4,0,0,16,0,50
2019-09-06,5,2,3,3,4,0,0,13,0,55
2019-09-07,5,2,3,5,4,0,0,18,0,78
2019-09-08,5,2,3,4,4,0,0,11,0,69
2019-09-09,6,3,3,3,4,0,0,11,0,45
2019-09-10,6,3,3,3,4,0,0,12,0,49
2019-09-11,5,3,3,3,4,0,0,11,0,48
2019-09-12,6,3,3,4,4,3,0,11,0,42
2019-09-13,6,3,3,6,4,0,0,14,0,47
2019-09-14,18,13,12,37,5,0,0,16,0,99
2019-09-15,5,4,6,24,4,0,0,15,0,71
2019-09-16,5,3,4,8,3,0,0,10,0,43
2019-09-17,4,3,3,5,4,0,0,11,0,55
2019-09-18,5,2,14,3,4,0,0,15,0,48
2019-09-19,4,3,6,4,4,0,0,13,0,47
2019-09-20,5,3,2,8,4,4,0,25,0,48
2019-09-21,6,13,10,30,4,0,0,21,0,79
2019-09-22,6,7,4,32,4,0,0,21,0,79
2019-09-23,6,3,3,9,3,3,0,18,0,55
2019-09-24,24,3,3,7,4,0,0,11,0,65
2019-09-25,7,2,2,5,4,0,0,16,0,54
2019-09-26,6,3,2,5,3,0,0,14,0,52
2019-09-27,5,3,12,7,4,0,0,12,0,49
2019-09-28,18,19,10,33,6,0,0,18,0,88
2019-09-29,7,4,5,18,4,4,0,11,0,69
2019-09-30,6,3,4,11,4,3,0,14,0,46
2019-10-01,18,3,3,9,4,0,0,9,0,54
2019-10-02,10,5,14,6,4,0,0,15,0,56
2019-10-03,6,3,6,5,4,0,0,15,0,51
2019-10-04,5,2,3,7,3,0,0,18,0,50
2019-10-05,5,3,3,28,3,3,0,16,0,74
2019-10-06,5,2,3,34,3,0,0,14,0,81
2019-10-07,5,3,3,8,3,4,0,14,2,51
2019-10-08,5,2,2,4,3,0,0,11,0,42
2019-10-09,5,2,3,3,3,0,0,15,0,49
2019-10-10,5,2,3,3,3,3,0,12,0,47
2019-10-11,5,2,4,3,3,0,0,16,0,52
2019-10-12,40,3,50,5,5,0,0,20,0,70
2019-10-13,17,2,9,3,4,3,0,11,0,68
2019-10-14,7,2,5,3,3,0,0,13,0,55
2019-10-15,5,2,3,3,3,3,0,14,0,46
2019-10-16,5,2,3,3,3,0,0,12,0,39
2019-10-17,6,2,2,4,3,0,0,15,0,41
2019-10-18,7,2,2,7,3,0,0,14,0,49
2019-10-19,60,25,5,28,5,0,0,17,0,81
2019-10-20,10,6,24,27,4,5,0,19,0,79
2019-10-21,6,3,5,9,3,0,0,20,0,48
2019-10-22,6,3,4,6,4,0,0,18,0,49
2019-10-23,7,4,19,4,4,0,0,20,0,45
