date,mp3 download,YouTube,Tubidy download,Netflix,Goojara movies,Netnaija movies,Disney+,canvas prints,digital art
2020-01-02,75,56,7,20,0,0,55,0,0
2020-01-03,77,53,7,17,0,0,47,0,0
2020-01-04,78,49,6,19,0,0,55,0,19
2020-01-05,74,50,5,20,0,0,61,0,0
2020-01-06,61,49,4,16,0,0,41,0,0
2020-01-07,58,51,4,15,0,0,65,0,0
2020-01-08,55,51,4,13,0,0,57,0,0
2020-01-09,59,55,5,15,0,0,45,0,0
2020-01-10,74,58,6,16,0,0,43,0,0
2020-01-11,80,58,6,19,0,0,60,0,0
2020-01-12,76,52,6,19,0,0,80,0,0
2020-01-13,59,48,5,13,0,0,48,0,0
2020-01-14,58,48,5,11,0,0,43,0,0
2020-01-15,57,52,4,11,0,0,38,0,0
2020-01-16,60,56,5,11,0,0,37,0,0
2020-01-17,75,57,7,14,0,0,37,0,0
2020-01-18,83,59,7,20,0,0,57,0,0
2020-01-19,90,54,7,20,0,0,48,0,0
2020-01-20,62,50,5,11,0,0,27,0,0
2020-01-21,61,54,6,11,0,0,32,0,15
2020-01-22,63,57,6,12,0,14,27,0,0
2020-01-23,69,56,6,12,0,0,23,0,0
2020-01-24,77,67,7,14,0,0,34,0,0
2020-01-25,85,59,8,18,0,0,53,0,0
2020-01-26,77,53,8,18,0,0,48,0,0
2020-01-27,64,51,5,10,0,0,20,0,0
2020-01-28,67,57,7,11,0,14,36,0,0
2020-01-29,69,53,6,11,0,0,34,0,0
2020-01-30,71,56,6,11,0,0,34,0,0
2020-01-31,84,58,7,12,0,0,35,0,0
2020-02-01,92,58,9,16,0,0,30,0,0
2020-02-02,89,55,9,16,0,0,40,0,0
2020-02-03,69,50,7,10,0,12,35,0,0
2020-02-04,68,55,7,9,0,0,31,0,0
2020-02-05,65,60,6,9,0,0,26,0,0
2020-02-06,75,61,7,11,0,0,32,0,0
2020-02-07,89,63,8,13,0,0,34,0,0
2020-02-08,95,65,8,17,0,0,62,0,0
2020-02-09,100,56,8,17,0,0,42,0,0
2020-02-10,72,55,6,11,0,0,25,0,0
2020-02-11,78,58,6,10,0,0,27,0,0
2020-02-12,70,56,6,11,0,0,20,0,0
2020-02-13,81,60,6,10,0,12,34,0,0
2020-02-14,79,69,7,13,0,0,41,0,0
2020-02-15,85,62,7,20,0,0,45,0,0
2020-02-16,77,56,6,17,0,18,36,0,0
2020-02-17,60,55,4,11,0,0,38,0,0
2020-02-18,65,60,5,11,0,0,32,0,0
2020-02-19,63,61,5,12,0,0,29,0,0
2020-02-20,62,61,6,11,0,0,42,0,0
2020-02-21,76,66,7,14,0,0,35,0,0
2020-02-22,82,65,7,18,0,0,33,0,0
2020-02-23,74,60,7,19,0,0,47,0,0
2020-02-24,60,56,6,11,0,0,36,0,0
2020-02-25,60,58,5,11,0,0,31,0,0
2020-02-26,59,61,6,10,0,0,28,0,0
2020-02-27,66,59,6,12,0,0,35,0,0
2020-02-28,78,68,6,15,0,0,35,0,0
2020-02-29,84,62,7,18,0,18,37,0,0
2020-03-01,82,58,6,18,0,0,36,0,0
2020-03-02,67,56,5,13,0,0,32,0,0
2020-03-03,68,59,6,13,0,23,38,0,0
2020-03-04,66,62,4,12,0,0,44,0,0
2020-03-05,66,58,5,11,0,0,33,0,0
2020-03-06,76,64,7,15,0,0,35,0,0
2020-03-07,87,63,7,17,0,0,43,0,0
2020-03-08,81,56,6,18,0,0,47,0,0
2020-03-09,72,57,5,11,0,0,38,0,0
2020-03-10,59,56,6,13,0,0,30,0,0
2020-03-11,55,59,5,12,0,0,33,0,0
2020-03-12,59,59,5,11,0,0,39,0,0
2020-03-13,73,68,6,15,0,0,36,0,0
2020-03-14,87,66,7,18,0,0,41,0,0
2020-03-15,76,61,7,18,0,0,51,0,15
2020-03-16,58,58,4,13,0,0,32,0,0
2020-03-17,62,63,5,17,0,0,38,0,0
2020-03-18,74,62,6,19,0,0,40,0,0
2020-03-19,73,62,6,19,0,0,33,0,0
2020-03-20,76,62,7,23,0,16,45,0,0
2020-03-21,86,68,8,28,0,0,49,0,0
2020-03-22,80,65,7,28,0,0,44,0,0
2020-03-23,58,58,4,18,0,0,36,0,0
2020-03-24,71,61,5,26,0,0,63,0,0
2020-03-25,67,58,5,26,0,14,48,0,0
2020-03-26,78,64,6,28,0,0,74,0,0
2020-03-27,82,73,6,43,0,0,72,0,0
2020-03-28,89,71,7,48,0,0,76,0,0
2020-03-29,88,75,9,44,0,16,63,0,0
2020-03-30,70,68,7,33,0,0,62,0,0
2020-03-31,70,68,6,33,0,16,55,0,0
2020-04-01,79,70,7,31,0,0,56,0,0
2020-04-02,74,64,8,31,0,18,59,0,0
2020-04-03,93,77,9,37,0,0,58,0,0
2020-04-04,93,80,9,43,0,0,71,0,0
2020-04-05,89,69,9,41,0,16,73,0,0
2020-04-06,77,70,8,32,0,0,48,0,0
2020-04-07,74,65,7,29,0,0,49,0,0
2020-04-08,72,68,6,29,0,0,46,0,0
2020-04-09,70,70,7,29,0,0,75,0,0
2020-04-10,86,78,10,41,0,0,81,0,0
2020-04-11,84,71,8,40,0,0,84,0,0
2020-04-12,79,80,9,37,0,0,69,0,0
2020-04-13,80,66,7,34,0,21,73,0,0
2020-04-14,64,64,6,28,0,0,65,0,0
2020-04-15,68,64,7,28,0,0,57,0,0
2020-04-16,67,65,7,26,0,0,58,0,0
2020-04-17,79,68,9,32,0,16,62,0,0
2020-04-18,91,74,9,37,0,0,74,0,0
