date,Exclusive Books,Download,Wattpad,textbook,ebook,poetry,Amazon books,novel
2020-01-02,0,51,16,0,0,76,0,0
2020-01-03,15,54,22,0,0,28,0,32
2020-01-04,0,50,13,0,13,37,0,0
2020-01-05,16,53,0,0,0,30,0,0
2020-01-06,0,43,0,0,0,44,0,0
2020-01-07,0,45,10,0,0,36,0,0
2020-01-08,13,52,9,0,0,30,0,0
2020-01-09,13,45,10,0,0,59,0,0
2020-01-10,14,62,14,0,12,53,0,0
2020-01-11,0,55,16,0,0,42,0,0
2020-01-12,0,39,16,0,0,47,0,0
2020-01-13,0,45,11,0,9,43,0,0
2020-01-14,18,67,9,0,0,59,0,0
2020-01-15,0,43,12,0,0,54,0,25
2020-01-16,0,46,14,0,15,51,0,0
2020-01-17,0,62,17,0,0,25,0,0
2020-01-18,14,65,13,0,0,57,0,0
2020-01-19,16,51,18,0,0,74,0,0
2020-01-20,10,49,0,0,0,62,0,0
2020-01-21,0,51,0,12,0,50,0,0
2020-01-22,12,57,12,10,0,58,0,23
2020-01-23,15,51,17,0,10,42,0,0
2020-01-24,12,53,22,0,0,32,0,0
2020-01-25,15,32,15,0,0,65,0,30
2020-01-26,0,45,13,0,0,51,0,0
2020-01-27,9,53,12,15,12,83,0,35
2020-01-28,0,56,0,0,0,53,0,0
2020-01-29,0,50,10,0,9,69,0,28
2020-01-30,10,45,0,10,10,46,0,0
2020-01-31,0,56,12,0,12,41,0,0
2020-02-01,0,57,12,0,0,56,0,0
2020-02-02,0,64,16,0,0,66,0,0
2020-02-03,0,57,0,0,0,76,0,22
2020-02-04,0,55,14,0,18,42,0,0
2020-02-05,0,54,0,11,11,61,0,0
2020-02-06,11,48,12,10,0,49,0,0
2020-02-07,0,61,13,0,0,38,0,0
2020-02-08,0,58,15,0,0,67,0,0
2020-02-09,0,62,0,0,14,53,0,0
2020-02-10,12,74,0,0,11,55,0,24
2020-02-11,0,66,0,16,13,58,0,0
2020-02-12,0,41,0,0,0,52,0,0
2020-02-13,0,61,12,0,0,47,0,0
2020-02-14,0,57,11,0,0,54,0,26
2020-02-15,0,44,0,0,0,34,0,0
2020-02-16,0,62,0,0,0,62,0,30
2020-02-17,0,71,9,0,0,50,0,24
2020-02-18,12,48,0,12,11,66,0,25
2020-02-19,0,60,11,0,0,55,0,0
2020-02-20,0,62,13,10,0,52,0,0
2020-02-21,0,42,14,0,0,51,0,0
2020-02-22,0,49,0,0,14,48,0,0
2020-02-23,13,67,0,0,0,57,0,0
