date,Hollywoodbets,The Courier Guy,ShopRite,Steers,Betway,Buffalo Logistics,Uber Eats,Bolt,sixty60 ,PaymeNow
2020-01-02,0,0,38,30,0,0,0,62,0,0
2020-01-03,0,0,42,30,0,0,0,51,0,0
2020-01-04,0,0,43,38,0,0,0,51,0,0
2020-01-05,0,0,41,28,0,0,0,40,0,0
2020-01-06,0,0,41,24,0,0,0,74,0,0
2020-01-07,0,0,37,23,0,0,0,64,0,0
2020-01-08,0,0,25,52,0,0,0,51,0,0
2020-01-09,9,0,34,22,0,0,0,79,0,0
2020-01-10,0,0,33,34,0,0,0,63,0,0
2020-01-11,0,0,36,30,0,0,0,53,0,0
2020-01-12,0,0,27,37,0,0,0,46,0,0
2020-01-13,0,0,30,16,0,0,0,72,0,0
2020-01-14,0,0,28,14,0,0,0,86,0,0
2020-01-15,0,0,40,49,0,0,0,73,0,0
2020-01-16,0,0,29,18,0,0,0,57,0,0
2020-01-17,0,9,29,33,0,0,0,55,0,0
2020-01-18,0,0,23,22,0,0,0,50,0,0
2020-01-19,0,0,27,24,0,0,0,60,0,0
2020-01-20,0,0,32,21,0,0,0,76,0,0
2020-01-21,0,0,41,20,0,0,0,63,0,0
2020-01-22,0,0,35,52,0,0,0,53,0,0
2020-01-23,0,7,34,21,0,0,0,69,0,0
2020-01-24,0,0,50,40,0,0,0,59,0,0
2020-01-25,8,0,39,33,0,0,0,75,0,0
2020-01-26,0,0,34,34,0,0,0,50,0,0
2020-01-27,0,0,37,14,0,0,0,58,0,0
2020-01-28,0,7,42,19,7,0,0,81,0,0
2020-01-29,0,7,32,68,0,0,0,68,0,0
2020-01-30,0,7,32,26,0,0,0,80,0,0
2020-01-31,0,0,38,51,0,0,0,68,0,0
2020-02-01,0,0,36,39,0,0,0,88,0,0
2020-02-02,0,0,37,38,0,0,0,59,0,0
2020-02-03,0,0,35,19,0,0,0,93,0,0
2020-02-04,0,0,39,25,0,0,0,91,0,0
2020-02-05,0,0,34,76,0,0,0,60,0,0
2020-02-06,0,9,33,28,0,0,0,76,0,0
2020-02-07,0,0,31,40,0,0,0,81,0,0
2020-02-08,0,0,30,35,0,0,0,45,0,0
2020-02-09,0,0,33,25,0,0,0,56,0,0
2020-02-10,0,0,30,20,0,0,0,78,0,0
2020-02-11,0,0,28,20,0,0,0,59,0,0
2020-02-12,0,0,30,65,0,0,0,76,0,0
2020-02-13,0,9,29,22,0,0,0,51,0,0
2020-02-14,0,0,37,47,0,0,0,73,0,0
2020-02-15,0,0,32,35,0,0,0,85,0,0
2020-02-16,0,0,29,30,0,0,0,40,0,0
2020-02-17,0,0,30,25,0,0,0,85,0,0
2020-02-18,0,7,27,21,0,0,0,93,0,0
2020-02-19,0,8,21,57,0,0,0,91,0,0
2020-02-20,0,0,32,31,0,0,0,69,0,0
2020-02-21,0,0,36,42,0,0,0,87,0,0
2020-02-22,0,0,25,42,0,0,0,63,0,0
2020-02-23,0,0,25,29,0,0,0,49,0,0
2020-02-24,0,6,54,18,0,0,0,77,0,0
2020-02-25,0,0,49,41,0,0,0,71,0,0
2020-02-26,0,10,47,84,0,0,0,74,0,0
2020-02-27,0,10,55,34,0,0,0,56,0,0
