date,Hollywoodbets,The Courier Guy,ShopRite,Steers,Betway
2022-01-06,0,4,28,9,0
2022-01-07,0,6,30,15,4
2022-01-08,5,4,32,13,0
2022-01-09,0,0,30,12,5
2022-01-10,0,5,28,7,0
2022-01-11,0,6,29,8,4
2022-01-12,4,5,29,20,0
2022-01-13,0,8,25,8,0
2022-01-14,0,6,26,17,0
2022-01-15,4,0,27,10,5
2022-01-16,5,0,25,9,0
2022-01-17,4,9,28,7,4
2022-01-18,0,7,24,8,6
2022-01-19,0,7,21,20,0
2022-01-20,0,7,21,8,0
2022-01-21,0,3,22,11,0
2022-01-22,0,0,26,9,5
2022-01-23,0,0,24,10,0
2022-01-24,0,5,29,4,0
2022-01-25,0,0,33,10,4
2022-01-26,3,6,27,29,0
2022-01-27,0,8,27,11,6
2022-01-28,3,5,30,12,0
2022-01-29,0,0,29,13,0
2022-01-30,0,0,33,14,4
2022-01-31,0,7,23,8,0
2022-02-01,0,8,25,11,0
2022-02-02,0,6,29,30,0
2022-02-03,0,8,23,6,0
2022-02-04,0,8,26,17,4
2022-02-05,5,4,26,14,0
2022-02-06,0,0,30,13,0
2022-02-07,0,7,28,7,0
2022-02-08,4,6,27,9,2
2022-02-09,0,4,23,24,0
2022-02-10,0,6,22,12,0
2022-02-11,6,0,24,12,0
2022-02-12,5,0,28,9,4
2022-02-13,4,0,27,9,4
2022-02-14,2,5,21,10,4
2022-02-15,0,4,23,8,3
2022-02-16,3,3,20,24,0
2022-02-17,3,5,23,8,3
2022-02-18,3,4,26,14,0
2022-02-19,0,0,29,14,4
2022-02-20,0,0,25,14,3
2022-02-21,0,4,28,7,3
2022-02-22,3,6,25,8,0
2022-02-23,3,5,25,23,3
2022-02-24,0,3,29,10,0
2022-02-25,0,7,34,22,0
2022-02-26,3,0,37,20,3
2022-02-27,0,0,33,12,0
2022-02-28,2,6,32,10,0
2022-03-01,3,4,33,13,2
2022-03-02,2,6,39,24,3
2022-03-03,0,4,33,13,3
2022-03-04,5,4,33,17,3
2022-03-05,3,0,30,12,3
2022-03-06,0,4,28,8,4
2022-03-07,0,5,29,6,0
2022-03-08,4,6,23,9,4
2022-03-09,3,6,27,25,3
2022-03-10,0,7,27,11,4
2022-03-11,0,3,28,12,3
2022-03-12,3,0,28,14,0
2022-03-13,0,0,27,9,4
2022-03-14,3,4,29,7,3
2022-03-15,3,3,31,10,3
2022-03-16,4,5,25,31,3
2022-03-17,3,6,27,9,0
2022-03-18,3,8,31,18,0
2022-03-19,3,0,31,16,0
2022-03-20,0,0,25,13,0
2022-03-21,0,0,36,8,0
2022-03-22,0,3,36,9,0
2022-03-23,0,4,35,24,3
2022-03-24,0,5,39,14,0
2022-03-25,3,5,37,22,0
2022-03-26,0,0,40,20,0
2022-03-27,0,0,40,12,0
2022-03-28,0,5,30,11,3
2022-03-29,2,4,29,12,0
2022-03-30,3,8,25,34,0
2022-03-31,3,6,33,13,2
2022-04-01,3,4,32,23,0
2022-04-02,4,2,32,19,3
2022-04-03,3,0,31,12,5
2022-04-04,4,4,30,11,2
2022-04-05,4,5,31,8,2
2022-04-06,3,5,30,27,3
2022-04-07,3,5,31,14,3
2022-04-08,4,4,27,17,3
2022-04-09,2,0,29,13,3
2022-04-10,3,0,29,13,5
2022-04-11,0,6,27,10,4
2022-04-12,0,8,27,10,3
2022-04-13,4,5,32,28,3
2022-04-14,0,5,40,15,0
2022-04-15,0,3,48,9,3
2022-04-16,4,3,30,11,3
2022-04-17,0,0,29,14,0
2022-04-18,3,0,33,12,3
2022-04-19,4,7,32,9,3
2022-04-20,3,7,26,28,4
2022-04-21,0,6,30,12,3
2022-04-22,3,5,28,16,2
2022-04-23,3,0,28,14,4
2022-04-24,3,2,31,10,3
2022-04-25,0,5,36,9,0
2022-04-26,3,5,37,15,3
2022-04-27,3,0,38,29,0
2022-04-28,3,5,28,14,4
2022-04-29,4,6,34,18,0
2022-04-30,0,3,41,15,5
2022-05-01,0,0,35,16,0
2022-05-02,3,3,46,12,4
2022-05-03,4,6,31,10,3
2022-05-04,3,6,32,26,2
2022-05-05,4,7,33,11,3
2022-05-06,3,5,31,15,0
2022-05-07,5,3,30,11,3
2022-05-08,3,0,34,9,4
2022-05-09,3,4,29,8,3
2022-05-10,0,6,28,10,2
2022-05-11,0,4,24,26,3
2022-05-12,3,6,26,9,3
2022-05-13,4,0,28,14,3
2022-05-14,4,0,28,13,0
2022-05-15,0,0,29,9,0
2022-05-16,3,4,29,10,3
2022-05-17,3,6,21,8,3
2022-05-18,3,3,32,26,3
2022-05-19,4,6,27,10,4
2022-05-20,5,5,31,20,4
2022-05-21,0,0,47,14,4
2022-05-22,0,0,51,12,0
2022-05-23,3,3,57,7,3
2022-05-24,3,4,52,11,4
2022-05-25,0,6,46,38,0
2022-05-26,4,5,45,18,4
2022-05-27,0,5,40,21,4
2022-05-28,4,0,41,18,0
2022-05-29,0,0,41,13,3
2022-05-30,0,5,38,8,0
2022-05-31,0,7,40,15,0
2022-06-01,0,6,37,28,0
2022-06-02,4,8,36,10,3
2022-06-03,4,5,30,15,3
2022-06-04,0,4,36,13,3
2022-06-05,0,0,36,10,3
2022-06-06,0,4,34,9,0
2022-06-07,3,5,31,9,4
2022-06-08,4,6,30,27,0
2022-06-09,3,6,24,12,4
2022-06-10,3,6,33,15,3
2022-06-11,4,0,37,16,0
2022-06-12,3,0,28,12,0
2022-06-13,3,5,28,8,0
2022-06-14,0,4,49,10,4
