date,Hollywoodbets,The Courier Guy,ShopRite,Steers,Betway,Buffalo Logistics,Uber Eats,Bolt,60 sixty,PaymeNow
2023-01-08,5,0,37,15,4,22,0,67,0,51
2023-01-09,0,4,42,8,5,32,0,56,0,65
2023-01-10,5,6,37,6,5,0,0,69,0,63
2023-01-11,5,5,32,24,6,21,0,64,0,59
2023-01-12,3,5,29,12,5,19,0,67,0,60
2023-01-13,5,5,30,22,0,18,0,64,0,64
2023-01-14,5,0,35,16,6,0,0,64,0,65
2023-01-15,6,0,38,14,6,0,0,62,0,64
2023-01-16,5,5,31,7,3,16,0,60,0,60
2023-01-17,4,6,33,12,4,22,0,57,0,56
2023-01-18,5,5,27,22,4,14,0,64,0,39
2023-01-19,3,4,26,8,4,12,0,66,0,34
2023-01-20,5,0,30,16,3,17,0,56,0,37
2023-01-21,5,0,36,14,4,0,0,52,0,36
2023-01-22,5,0,33,10,7,16,0,44,0,24
2023-01-23,0,6,32,9,6,19,0,66,0,0
2023-01-24,3,5,34,10,3,14,0,64,0,15
2023-01-25,5,3,36,40,6,18,0,73,0,0
2023-01-26,0,7,34,14,5,12,0,61,0,0
2023-01-27,3,4,36,21,6,20,0,64,0,13
2023-01-28,3,0,42,15,5,0,0,68,0,0
2023-01-29,4,0,37,11,4,14,0,60,0,0
2023-01-30,3,5,33,10,3,22,0,83,0,11
2023-01-31,0,3,32,11,6,23,0,61,0,13
2023-02-01,6,6,33,30,4,20,0,63,0,24
2023-02-02,4,5,27,12,4,16,0,64,0,18
2023-02-03,5,5,33,19,6,23,0,81,0,31
2023-02-04,0,3,38,12,5,15,0,52,0,46
2023-02-05,0,0,35,9,6,15,0,59,0,48
2023-02-06,3,5,32,10,4,28,0,67,0,42
2023-02-07,4,5,30,13,4,19,0,72,0,48
2023-02-08,3,7,27,26,4,23,0,65,0,46
2023-02-09,3,5,26,8,3,35,0,69,0,37
2023-02-10,5,5,25,16,0,26,0,55,0,60
2023-02-11,6,3,27,13,5,0,0,61,0,52
2023-02-12,5,0,35,9,0,14,0,40,0,53
2023-02-13,4,5,27,9,6,25,0,59,0,53
2023-02-14,4,4,27,13,6,16,0,83,0,58
2023-02-15,5,6,28,32,5,18,0,76,0,78
