date,DStv Stream,Download,Mr Price,Makro,Microsoft,Apple,Samsung,computer,laptop,monitor stand
2021-01-04,0,44,16,17,6,32,78,17,60,0
2021-01-05,0,48,15,17,6,36,77,19,67,0
2021-01-06,0,45,15,16,5,34,72,19,57,0
2021-01-07,0,46,15,16,6,34,78,17,59,0
2021-01-08,0,48,17,16,5,31,82,19,59,0
2021-01-09,0,45,15,16,4,30,71,13,51,0
2021-01-10,0,47,17,15,4,37,75,15,54,0
2021-01-11,0,48,12,16,7,36,83,15,63,0
2021-01-12,0,55,15,17,8,35,72,18,73,0
2021-01-13,0,50,16,15,7,39,71,21,74,0
2021-01-14,0,51,18,18,8,38,96,20,78,0
2021-01-15,0,50,18,18,6,40,93,26,69,0
2021-01-16,0,43,15,19,3,34,80,18,66,0
2021-01-17,0,46,16,15,5,37,80,18,63,0
2021-01-18,0,49,16,17,8,41,83,29,77,0
2021-01-19,0,50,18,18,8,31,85,26,75,0
2021-01-20,0,47,17,17,8,33,81,19,67,0
2021-01-21,0,52,17,17,9,35,81,24,71,0
2021-01-22,0,49,17,16,7,38,83,19,61,0
2021-01-23,0,49,18,18,4,36,77,13,53,0
2021-01-24,0,43,17,15,5,38,75,21,56,0
2021-01-25,0,52,18,18,9,35,83,24,77,0
2021-01-26,0,52,19,17,8,32,84,22,70,0
2021-01-27,0,52,20,17,8,33,90,23,70,0
2021-01-28,0,48,20,16,8,32,74,30,69,0
2021-01-29,0,49,19,17,6,32,86,21,68,0
2021-01-30,0,47,20,18,5,35,90,15,60,0
2021-01-31,0,51,21,18,5,35,93,13,69,0
2021-02-01,0,51,17,16,6,34,80,21,73,0
2021-02-02,0,52,18,17,8,33,79,26,72,0
2021-02-03,0,51,18,17,7,32,75,25,70,0
2021-02-04,0,52,19,17,10,32,78,26,79,0
2021-02-05,0,51,18,16,7,31,87,22,68,0
2021-02-06,0,49,18,20,5,32,85,22,63,0
2021-02-07,0,43,19,15,5,32,76,20,58,0
2021-02-08,0,51,17,16,9,35,77,25,67,0
2021-02-09,0,50,17,15,8,26,82,26,71,0
2021-02-10,0,50,18,15,10,44,82,25,71,0
2021-02-11,0,49,17,18,9,33,69,20,80,0
2021-02-12,0,53,19,14,8,36,76,21,66,0
2021-02-13,0,46,16,16,6,32,79,16,52,0
2021-02-14,0,47,14,16,5,31,80,17,53,0
2021-02-15,0,49,17,14,8,32,82,24,62,0
2021-02-16,0,50,16,15,9,29,71,26,69,0
2021-02-17,0,50,16,15,10,31,76,30,72,0
2021-02-18,0,51,15,15,9,30,71,23,67,0
2021-02-19,0,50,16,13,6,28,67,23,62,0
2021-02-20,0,48,19,15,5,31,73,23,56,0
2021-02-21,0,45,17,16,5,28,63,19,59,0
2021-02-22,0,48,15,14,9,29,74,29,66,0
2021-02-23,0,47,15,14,8,32,69,26,70,0
2021-02-24,0,44,18,15,8,30,73,23,68,0
2021-02-25,0,48,22,17,9,33,73,22,74,0
2021-02-26,0,50,20,16,7,25,76,25,67,0
2021-02-27,2,44,18,19,4,32,82,19,64,0
2021-02-28,0,45,17,16,5,29,74,21,58,0
2021-03-01,0,48,19,17,8,30,70,23,68,0
2021-03-02,0,48,19,16,7,26,82,23,68,0
2021-03-03,0,50,18,14,9,30,67,24,55,0
2021-03-04,0,50,20,15,8,31,70,31,78,0
2021-03-05,0,57,19,13,7,31,71,20,64,0
2021-03-06,0,46,18,18,4,35,76,18,57,0
2021-03-07,0,50,19,14,6,31,71,18,61,0
2021-03-08,0,49,18,14,8,27,77,31,65,0
2021-03-09,0,54,18,13,7,28,69,26,63,0
2021-03-10,0,49,18,14,8,30,69,26,68,0
2021-03-11,0,53,17,12,8,31,65,29,73,0
2021-03-12,0,58,17,15,8,25,75,20,71,0
2021-03-13,0,53,19,14,6,35,70,16,60,0
