date,Online banking,Capitec Bank,Standard Bank,FNB (First National Bank),Nedbank,Loan,Investment app,trading platforms,mutual funds,stocks
2022-07-07,36,12,80,0,41,72,0,0,0,3
2022-07-08,36,10,70,0,46,62,0,0,0,4
2022-07-09,20,9,45,0,28,53,0,0,0,0
2022-07-10,18,8,37,0,23,45,0,0,0,5
2022-07-11,38,11,80,0,39,80,0,0,0,3
2022-07-12,33,9,97,0,39,71,0,0,0,4
2022-07-13,35,11,80,0,41,70,0,0,0,6
2022-07-14,31,10,67,0,40,69,0,0,0,0
2022-07-15,34,11,73,0,45,66,0,0,0,3
2022-07-16,17,9,43,0,27,55,0,0,0,3
2022-07-17,16,9,34,0,21,47,0,0,0,4
2022-07-18,35,10,74,0,40,76,0,0,0,5
2022-07-19,34,10,74,1,43,73,0,0,0,7
2022-07-20,34,10,68,1,38,71,0,0,0,4
2022-07-21,32,10,69,0,38,73,0,0,0,0
2022-07-22,37,10,74,0,44,65,0,0,0,4
2022-07-23,21,10,44,0,32,51,0,0,0,0
2022-07-24,17,8,33,0,22,44,0,0,0,0
2022-07-25,43,13,88,0,55,76,0,0,0,4
2022-07-26,41,12,85,0,45,85,0,0,0,3
2022-07-27,38,12,82,0,44,79,0,0,0,3
2022-07-28,42,13,82,0,46,83,0,0,0,4
2022-07-29,47,13,85,0,66,76,0,0,0,4
2022-07-30,27,13,60,0,35,63,0,0,0,0
2022-07-31,20,11,44,0,28,50,0,0,0,0
2022-08-01,49,15,100,0,52,96,0,0,0,5
2022-08-02,39,13,79,0,52,85,0,0,0,3
2022-08-03,37,12,75,0,45,76,0,0,0,0
2022-08-04,45,21,79,0,51,81,0,0,0,4
2022-08-05,61,58,83,0,52,66,0,0,0,3
2022-08-06,22,29,47,0,29,56,0,0,0,3
2022-08-07,15,15,32,0,22,41,0,0,0,3
2022-08-08,30,20,63,0,42,81,0,0,0,5
2022-08-09,20,12,41,0,25,50,0,0,0,0
2022-08-10,34,10,69,0,43,78,0,0,0,3
2022-08-11,32,10,70,0,41,72,0,0,0,4
2022-08-12,33,10,69,0,43,74,0,0,0,5
2022-08-13,17,9,38,0,26,44,0,0,0,5
2022-08-14,17,7,35,0,20,44,0,3,0,4
2022-08-15,32,9,73,0,41,73,0,0,0,5
2022-08-16,31,10,68,0,42,73,0,0,0,4
2022-08-17,32,10,64,0,37,67,0,0,0,4
2022-08-18,29,8,60,0,37,72,0,0,0,4
2022-08-19,32,9,65,0,39,66,0,0,0,4
2022-08-20,16,7,39,0,28,54,0,0,0,0
2022-08-21,12,7,29,0,20,44,0,0,0,4
2022-08-22,31,9,66,0,40,67,0,0,0,7
2022-08-23,31,8,60,0,39,63,0,0,0,6
2022-08-24,35,9,62,0,39,58,0,0,0,3
2022-08-25,40,12,79,0,51,75,0,0,0,5
2022-08-26,40,10,86,0,47,69,0,0,0,3
2022-08-27,19,10,46,0,30,59,0,0,0,3
2022-08-28,17,7,33,0,21,42,0,0,0,0
2022-08-29,36,9,76,0,47,78,0,0,0,5
2022-08-30,38,11,80,0,45,82,0,0,0,3
2022-08-31,44,10,87,0,49,84,0,0,0,3
2022-09-01,39,11,81,0,51,84,0,0,0,3
2022-09-02,41,11,81,0,49,78,0,0,0,3
2022-09-03,22,10,45,0,26,58,0,0,0,0
2022-09-04,17,7,35,0,19,47,0,0,0,0
2022-09-05,36,11,74,0,42,87,0,0,0,3
2022-09-06,34,10,68,0,42,80,0,0,0,3
2022-09-07,31,9,69,0,40,76,0,0,0,3
2022-09-08,31,9,59,0,37,73,0,0,0,4
2022-09-09,32,9,65,0,40,70,0,0,0,0
2022-09-10,18,8,38,0,24,47,0,0,0,0
2022-09-11,13,6,33,0,19,39,0,0,0,0
2022-09-12,33,8,63,0,43,78,0,0,0,8
2022-09-13,31,7,63,0,38,73,0,0,0,4
2022-09-14,29,8,63,0,38,70,0,0,0,3
2022-09-15,32,11,66,0,38,70,0,0,0,4
2022-09-16,32,10,67,0,38,71,0,0,0,3
2022-09-17,16,9,38,0,27,50,0,0,3,0
2022-09-18,15,6,33,0,20,36,0,0,0,6
2022-09-19,33,8,61,0,41,65,0,0,0,0
2022-09-20,34,9,69,0,43,76,0,0,0,5
2022-09-21,33,8,63,0,40,73,0,0,0,5
2022-09-22,32,8,62,0,41,70,0,0,0,5
2022-09-23,40,12,85,0,46,66,0,0,0,0
2022-09-24,21,9,52,0,30,50,0,0,0,0
2022-09-25,17,10,36,0,25,43,0,0,0,0
2022-09-26,39,12,81,0,50,78,0,0,0,3
2022-09-27,39,11,86,0,52,86,0,0,0,4
2022-09-28,37,10,79,0,51,89,0,0,0,0
2022-09-29,42,11,84,0,48,83,0,0,0,4
2022-09-30,50,14,99,0,54,80,0,0,0,3
2022-10-01,30,10,63,0,44,67,0,0,0,5
2022-10-02,19,7,38,0,27,48,0,0,0,0
2022-10-03,43,12,86,0,63,86,0,0,0,4
2022-10-04,39,10,72,0,56,91,0,0,0,3
2022-10-05,34,12,70,0,50,86,0,0,0,0
2022-10-06,35,11,68,0,51,85,0,0,0,3
2022-10-07,34,11,65,0,46,79,0,0,0,3
2022-10-08,18,10,40,0,31,53,0,0,0,3
2022-10-09,16,7,33,0,22,46,0,0,0,0
2022-10-10,37,9,67,0,49,84,0,0,0,4
2022-10-11,31,11,60,0,43,76,0,0,0,4
2022-10-12,32,9,59,0,41,67,0,0,0,3
2022-10-13,29,9,59,0,41,73,0,0,0,4
2022-10-14,35,10,62,0,52,65,0,0,0,4
2022-10-15,18,9,43,0,29,53,0,0,0,0
2022-10-16,15,7,32,0,21,40,0,0,0,0
2022-10-17,33,10,68,0,42,65,0,0,0,4
2022-10-18,34,10,70,0,41,73,0,0,0,5
2022-10-19,31,8,63,0,41,70,0,0,0,4
2022-10-20,31,11,65,0,42,66,0,0,0,3
2022-10-21,34,10,67,0,43,69,0,0,0,3
2022-10-22,18,8,41,0,29,48,0,0,0,0
2022-10-23,14,6,30,0,21,42,0,0,0,4
2022-10-24,37,9,68,0,49,72,0,0,0,3
2022-10-25,40,11,81,0,55,73,0,0,0,4
2022-10-26,39,12,75,1,52,80,0,0,0,4
2022-10-27,36,10,75,0,52,73,0,0,0,4
2022-10-28,44,11,80,1,57,78,0,0,0,3
2022-10-29,21,9,42,0,29,51,0,0,0,3
2022-10-30,21,8,38,0,22,48,0,0,0,3
2022-10-31,51,13,93,0,60,93,0,0,0,5
2022-11-01,45,11,88,0,59,90,0,0,0,2
2022-11-02,33,11,75,0,49,85,0,0,0,0
2022-11-03,31,9,71,0,52,86,0,0,0,4
2022-11-04,36,12,78,0,46,80,0,0,0,5
2022-11-05,19,8,45,0,28,55,0,0,0,0
2022-11-06,15,8,33,0,21,43,0,0,0,0
2022-11-07,36,9,72,0,48,85,0,0,0,2
2022-11-08,33,10,67,0,48,86,0,0,0,3
2022-11-09,32,8,58,0,39,69,0,0,0,3
2022-11-10,28,10,60,0,39,69,0,0,0,3
2022-11-11,29,10,60,0,43,69,0,0,0,0
2022-11-12,16,7,36,0,26,49,0,0,0,0
2022-11-13,17,8,29,0,24,42,0,0,0,0
2022-11-14,35,9,68,0,43,74,0,0,0,3
2022-11-15,31,9,73,1,45,80,0,0,0,4
2022-11-16,33,9,65,1,42,78,0,0,0,4
2022-11-17,31,9,62,0,44,70,0,0,0,3
2022-11-18,34,8,66,0,45,73,0,0,0,4
2022-11-19,20,9,41,0,28,52,0,0,0,4
2022-11-20,15,9,35,0,22,46,0,0,0,0
2022-11-21,33,11,63,0,41,70,0,0,0,0
2022-11-22,30,9,63,0,39,66,0,0,0,3
2022-11-23,29,7,61,0,41,64,0,0,0,3
2022-11-24,35,9,66,0,41,65,0,0,0,3
2022-11-25,41,11,90,0,54,62,0,0,0,3
2022-11-26,25,10,58,0,30,53,0,0,0,3
2022-11-27,18,8,38,0,25,48,0,0,0,4
2022-11-28,39,12,87,0,54,83,0,0,0,3
2022-11-29,39,11,78,0,52,89,0,0,0,3
2022-11-30,48,13,91,0,59,89,0,0,0,3
2022-12-01,40,12,89,1,54,93,0,0,0,4
2022-12-02,39,11,84,0,54,75,0,0,0,3
2022-12-03,22,11,52,0,34,61,0,0,0,4
2022-12-04,17,9,38,0,24,55,0,0,0,6
2022-12-05,40,10,78,0,54,79,0,0,0,4
2022-12-06,36,12,72,0,52,78,0,0,0,4
2022-12-07,34,12,77,0,46,87,0,0,0,4
2022-12-08,36,12,71,0,46,80,0,0,0,0
2022-12-09,33,10,66,0,44,61,0,0,0,4
2022-12-10,20,9,46,0,28,50,0,0,0,4
2022-12-11,15,10,35,0,24,44,0,0,0,0
2022-12-12,36,11,69,0,44,70,0,0,0,4
2022-12-13,35,10,66,0,43,64,0,0,0,5
2022-12-14,38,11,77,0,45,73,0,0,0,0
2022-12-15,46,14,99,0,63,69,0,0,0,3
2022-12-16,25,15,57,0,36,48,0,0,0,0
2022-12-17,23,12,54,0,37,50,0,0,0,0
2022-12-18,18,9,33,0,21,38,0,0,0,4
2022-12-19,38,11,85,0,51,87,0,0,0,4
2022-12-20,42,10,84,0,50,92,0,0,0,4
2022-12-21,37,10,78,0,49,79,0,0,0,3
2022-12-22,44,10,79,0,50,78,0,0,0,3
2022-12-23,39,9,77,0,50,89,0,0,0,0
2022-12-24,24,10,50,0,31,55,0,0,0,0
2022-12-25,16,5,25,0,19,29,0,0,0,4
2022-12-26,17,10,39,0,24,56,0,0,0,3
2022-12-27,24,12,48,0,32,73,0,0,0,0
2022-12-28,31,11,65,0,42,91,0,0,0,3
2022-12-29,33,8,68,0,47,84,0,0,0,4
2022-12-30,33,9,66,0,41,82,0,0,0,0
2022-12-31,27,9,53,0,32,63,0,0,0,0
2023-01-01,21,8,43,0,28,55,0,0,0,4
2023-01-02,26,11,48,0,34,78,0,0,0,5
2023-01-03,32,9,78,0,44,100,0,0,0,4
