date,KFC,beverage,McDonalds,Checkers,Woolworths,Pick n Pay,Nandos,Burger King,Debonairs Pizza,Grocery delivery
2023-01-08,48,0,4,18,16,31,51,27,26,0
2023-01-09,38,0,4,12,14,26,48,27,17,0
2023-01-10,36,0,3,11,17,18,51,18,24,0
2023-01-11,38,0,6,10,15,19,38,20,18,0
2023-01-12,42,0,4,12,15,20,53,24,22,0
2023-01-13,60,0,6,12,13,17,83,31,42,0
2023-01-14,55,0,7,15,14,22,53,36,36,0
2023-01-15,40,0,6,15,18,16,48,25,26,0
2023-01-16,34,0,3,10,12,20,47,18,17,0
2023-01-17,33,0,4,13,17,26,41,16,17,0
2023-01-18,34,0,5,11,15,19,49,20,12,0
2023-01-19,33,0,3,9,14,15,48,17,17,0
2023-01-20,53,0,6,11,12,17,65,29,32,0
2023-01-21,46,0,6,15,15,24,50,31,25,0
2023-01-22,41,0,3,16,18,24,51,27,24,0
2023-01-23,31,0,5,11,15,18,50,14,14,0
2023-01-24,40,0,6,13,14,19,44,24,18,0
2023-01-25,51,0,3,14,14,26,71,20,30,0
2023-01-26,52,0,4,13,16,27,76,32,32,0
2023-01-27,70,0,6,16,16,18,100,38,43,0
2023-01-28,54,0,6,16,13,18,67,43,45,0
2023-01-29,46,0,5,17,22,23,60,28,30,0
2023-01-30,36,0,5,13,18,22,50,19,22,0
2023-01-31,48,0,4,13,18,19,51,28,33,0
2023-02-01,48,0,4,15,17,25,66,29,21,0
2023-02-02,49,0,5,11,16,18,62,20,26,0
2023-02-03,65,0,7,14,16,29,81,41,38,0
2023-02-04,56,0,7,18,15,22,73,40,45,0
2023-02-05,43,0,6,17,16,27,58,31,28,0
2023-02-06,37,0,5,12,16,17,41,21,21,0
2023-02-07,41,0,6,11,16,27,46,20,21,0
2023-02-08,39,0,3,12,15,19,56,22,29,0
2023-02-09,43,0,5,15,13,27,52,12,19,0
2023-02-10,59,0,7,15,16,21,77,44,38,0
2023-02-11,48,0,6,17,16,25,61,32,39,0
2023-02-12,46,0,6,13,15,23,50,23,27,0
2023-02-13,36,2,4,15,18,20,40,13,17,0
2023-02-14,48,0,6,11,19,16,68,25,28,0
2023-02-15,42,0,5,10,13,22,51,20,22,0
2023-02-16,44,0,4,10,15,19,52,22,27,0
2023-02-17,55,0,6,14,12,16,68,33,28,0
2023-02-18,55,0,6,15,13,18,51,42,25,0
2023-02-19,45,0,6,14,13,22,51,22,17,0
2023-02-20,37,0,4,12,14,28,43,23,13,0
2023-02-21,40,0,3,9,13,23,54,30,16,0
2023-02-22,40,0,4,11,12,20,60,22,13,0
2023-02-23,48,0,7,10,13,13,62,31,28,0
2023-02-24,70,0,8,17,15,21,95,59,46,0
2023-02-25,68,0,7,18,14,23,64,53,45,0
2023-02-26,48,0,6,16,15,19,65,41,29,0
2023-02-27,43,0,6,13,14,17,49,27,25,0
2023-02-28,52,0,5,12,13,19,68,32,36,0
2023-03-01,45,0,5,11,13,20,54,34,21,0
2023-03-02,52,0,4,12,14,19,56,34,25,0
2023-03-03,62,0,7,16,15,23,75,43,38,0
2023-03-04,61,0,7,19,17,24,57,39,52,0
2023-03-05,51,0,6,14,14,21,56,28,35,0
2023-03-06,37,0,3,8,11,19,51,19,15,0
2023-03-07,43,0,3,10,14,21,48,20,21,0
2023-03-08,39,0,4,11,12,17,51,25,19,0
2023-03-09,45,0,4,13,13,26,57,23,23,0
2023-03-10,56,0,6,12,13,23,52,36,37,0
2023-03-11,49,0,6,17,17,23,55,41,35,0
2023-03-12,41,0,4,15,13,21,48,33,30,0
2023-03-13,31,0,5,12,15,20,39,23,22,0
2023-03-14,36,0,4,11,16,19,41,16,22,0
2023-03-15,41,0,5,11,14,22,53,26,26,0
2023-03-16,46,0,5,11,13,21,52,26,24,0
2023-03-17,58,0,7,15,16,21,69,43,34,0
2023-03-18,50,0,6,18,13,19,42,38,34,0
2023-03-19,43,0,4,16,19,29,51,31,29,0
2023-03-20,46,0,5,14,18,19,51,32,34,0
2023-03-21,48,0,4,18,16,25,47,35,37,0
2023-03-22,38,0,5,15,15,19,43,20,24,0
2023-03-23,48,0,4,16,14,18,58,24,27,0
2023-03-24,64,0,7,17,15,30,80,60,53,0
2023-03-25,69,0,9,18,16,28,69,57,60,0
2023-03-26,59,0,6,17,17,26,66,33,41,0
2023-03-27,47,0,3,15,19,31,57,32,35,0
2023-03-28,51,0,5,14,17,31,53,31,38,0
2023-03-29,50,0,6,14,18,23,56,35,26,0
2023-03-30,52,0,7,17,18,28,72,38,44,0
2023-03-31,75,0,7,18,16,25,84,50,57,0
2023-04-01,69,0,8,17,19,33,69,43,50,0
2023-04-02,52,0,6,15,18,21,57,35,39,0
2023-04-03,43,0,5,15,17,27,52,26,25,0
2023-04-04,50,0,5,13,19,28,43,24,22,0
2023-04-05,50,0,5,16,18,27,58,27,26,0
2023-04-06,67,0,7,17,25,40,73,39,45,0
2023-04-07,61,0,4,22,25,37,60,36,36,0
2023-04-08,50,0,6,20,20,26,61,39,47,0
2023-04-09,46,0,5,18,20,27,50,27,37,0
2023-04-10,48,0,5,13,19,20,60,42,34,0
2023-04-11,40,0,3,14,16,25,37,27,23,0
2023-04-12,39,0,3,10,14,26,51,27,19,0
2023-04-13,41,0,5,10,15,19,55,27,19,0
2023-04-14,57,0,6,15,15,20,79,46,34,0
2023-04-15,57,0,5,16,18,26,65,43,42,0
2023-04-16,39,0,5,16,16,23,60,30,29,0
2023-04-17,33,0,4,12,17,17,42,19,17,0
2023-04-18,35,0,4,12,15,23,46,27,21,0
2023-04-19,34,0,4,11,14,23,47,27,21,0
2023-04-20,42,0,5,12,15,22,43,33,29,0
2023-04-21,56,0,7,14,17,19,80,48,40,0
2023-04-22,50,0,6,17,17,26,51,28,29,0
2023-04-23,42,0,5,16,14,24,46,32,24,7
2023-04-24,36,0,4,20,16,21,51,27,22,0
2023-04-25,55,0,4,18,16,22,64,35,35,0
2023-04-26,62,0,6,21,13,29,67,42,40,0
2023-04-27,66,0,8,22,17,31,72,51,56,0
2023-04-28,66,0,6,19,14,25,81,54,68,0
2023-04-29,67,0,8,22,16,26,65,68,74,0
2023-04-30,59,0,8,22,17,19,63,39,55,0
2023-05-01,51,0,6,40,16,24,51,33,40,0
2023-05-02,45,0,4,21,15,20,50,21,22,0
2023-05-03,42,0,4,15,13,18,40,18,18,0
2023-05-04,49,0,4,14,15,24,48,25,18,0
2023-05-05,67,0,8,17,16,18,73,43,41,0
2023-05-06,50,0,6,16,14,24,59,41,46,0
2023-05-07,42,0,7,15,16,19,47,30,27,0
2023-05-08,44,0,4,12,15,16,51,20,27,0
2023-05-09,36,0,4,12,17,22,49,19,21,0
2023-05-10,41,0,5,15,17,23,60,26,15,0
2023-05-11,46,0,5,13,19,21,55,29,22,0
2023-05-12,60,0,8,16,17,25,67,44,31,0
2023-05-13,48,0,8,17,20,25,47,34,40,0
2023-05-14,49,0,4,13,15,22,62,28,28,0
2023-05-15,41,0,5,11,14,23,48,20,28,0
2023-05-16,55,0,5,12,16,25,54,25,22,0
2023-05-17,50,0,7,13,15,19,44,25,16,0
2023-05-18,67,0,4,11,14,23,42,26,24,0
2023-05-19,100,0,7,14,16,29,69,39,39,0
2023-05-20,83,0,6,16,19,25,53,39,37,0
2023-05-21,61,0,5,15,18,26,45,32,31,0
2023-05-22,50,0,4,11,19,20,53,24,19,0
2023-05-23,53,0,6,14,17,23,56,19,21,0
2023-05-24,57,0,4,13,17,17,72,35,22,0
2023-05-25,82,0,5,14,21,24,76,38,40,0
2023-05-26,82,0,8,19,18,28,94,51,58,0
2023-05-27,73,0,7,20,16,23,62,48,64,0
2023-05-28,62,0,4,20,19,26,66,32,48,0
2023-05-29,53,0,3,13,15,23,57,25,25,0
2023-05-30,54,0,5,11,17,25,63,27,34,0
2023-05-31,62,0,5,13,14,18,70,26,33,0
2023-06-01,59,0,6,15,15,21,68,33,35,0
2023-06-02,75,0,7,17,14,28,93,43,57,0
2023-06-03,64,0,6,21,16,31,65,41,54,0
2023-06-04,50,0,8,16,20,22,63,26,45,0
2023-06-05,54,0,5,14,16,28,48,19,19,0
2023-06-06,46,0,5,11,17,20,54,26,35,0
2023-06-07,47,0,4,17,16,27,56,23,20,0
2023-06-08,52,0,5,14,16,26,53,22,31,0
2023-06-09,60,0,5,17,15,26,68,42,35,0
2023-06-10,58,0,7,18,17,28,64,40,52,0
2023-06-11,48,0,6,16,15,20,50,15,28,0
2023-06-12,42,0,4,14,19,30,53,19,24,0
2023-06-13,47,0,3,17,17,20,41,17,28,0
2023-06-14,45,0,7,15,19,25,49,24,22,0
2023-06-15,66,0,6,19,16,33,72,27,33,0
2023-06-16,65,0,8,21,19,24,50,36,50,0
2023-06-17,54,0,6,18,19,24,66,38,46,0
2023-06-18,46,0,6,19,17,25,58,32,33,0
2023-06-19,43,0,6,14,16,28,45,23,18,0
2023-06-20,46,0,4,13,15,23,59,27,32,0
2023-06-21,45,0,5,15,17,32,51,25,22,0
2023-06-22,52,2,6,16,17,29,55,29,26,0
2023-06-23,78,0,8,20,14,25,85,46,51,0
2023-06-24,70,0,9,22,17,28,71,52,56,0
2023-06-25,61,0,8,16,23,33,71,36,39,0
2023-06-26,58,0,6,17,17,36,48,33,23,0
2023-06-27,55,0,6,16,17,18,65,32,33,0
2023-06-28,54,0,8,17,20,32,65,27,37,0
2023-06-29,57,0,8,19,19,27,56,32,46,0
2023-06-30,82,0,9,21,19,30,93,39,62,0
2023-07-01,77,0,11,21,19,37,78,54,58,0
2023-07-02,60,0,8,16,20,25,65,48,41,0
2023-07-03,52,0,5,16,18,28,49,24,35,0
2023-07-04,50,0,5,16,17,23,53,25,29,0
2023-07-05,45,0,4,16,15,20,55,39,36,0
2023-07-06,55,0,6,17,15,22,64,30,33,0
2023-07-07,68,0,8,17,15,29,84,43,42,0
2023-07-08,58,0,8,20,15,21,58,48,40,0
