date,PS5 games,Powerball,Xbox games,video games,Mobile app,Genshin Impact,Lotto,Game,Betfred
2022-07-07,0,34,0,0,0,1,80,15,0
2022-07-08,0,81,1,0,0,1,59,15,0
2022-07-09,0,97,2,0,0,0,91,17,0
2022-07-10,0,36,1,0,0,1,94,18,0
2022-07-11,0,31,1,0,0,1,61,15,0
2022-07-12,0,62,1,0,0,1,61,15,0
2022-07-13,0,86,1,0,0,1,74,14,0
2022-07-14,0,31,1,0,0,1,76,14,0
2022-07-15,0,80,1,0,0,1,56,17,0
2022-07-16,0,96,1,0,0,0,87,18,0
2022-07-17,0,38,1,0,0,1,99,20,0
2022-07-18,0,31,1,0,0,1,61,15,0
2022-07-19,0,74,1,0,0,1,64,14,0
2022-07-20,0,100,1,0,0,1,82,15,0
2022-07-21,0,35,0,0,0,1,86,14,0
2022-07-22,0,75,1,0,0,1,62,14,1
2022-07-23,0,80,1,0,0,1,97,16,0
2022-07-24,0,33,1,0,0,0,92,20,0
2022-07-25,0,28,1,0,0,1,62,14,0
2022-07-26,0,68,1,0,0,0,62,13,0
2022-07-27,0,79,1,0,0,1,82,14,0
2022-07-28,0,31,0,0,0,1,85,15,0
2022-07-29,0,72,1,0,0,0,59,15,0
2022-07-30,0,80,1,0,0,1,97,19,1
2022-07-31,0,29,1,0,0,1,100,17,0
2022-08-01,0,27,1,0,0,0,66,13,0
2022-08-02,0,66,0,0,0,0,63,14,0
2022-08-03,0,76,1,0,0,1,78,14,0
2022-08-04,0,32,1,0,0,1,90,14,0
2022-08-05,0,67,0,0,0,0,56,15,0
2022-08-06,0,76,1,0,0,1,92,19,0
2022-08-07,0,29,1,0,0,1,89,18,1
2022-08-08,0,27,1,0,0,1,64,18,0
2022-08-09,0,59,1,1,0,1,60,16,0
2022-08-10,0,60,1,0,0,1,71,14,0
2022-08-11,0,29,0,0,0,1,76,13,0
2022-08-12,0,68,0,0,0,1,56,17,0
2022-08-13,0,73,1,0,0,1,87,17,1
2022-08-14,0,27,1,0,0,1,89,22,0
2022-08-15,0,24,1,0,0,1,59,13,0
2022-08-16,0,57,0,0,0,0,60,13,0
2022-08-17,0,68,0,0,0,0,73,15,0
2022-08-18,0,26,0,0,0,0,80,13,1
2022-08-19,0,62,0,0,1,0,53,15,1
2022-08-20,0,70,2,0,1,0,78,16,0
