date,Medicine,Tablets,Pharmaceutical drugs,COVID-19 vaccine,Insurance plan,Vitamins online,Immune booster,Physician,Netcare,mediclinic
2022-01-06,20,82,0,4,0,0,0,0,60,69
2022-01-07,23,94,0,0,0,0,0,0,60,67
2022-01-08,21,83,0,0,0,0,0,0,49,38
2022-01-09,20,69,0,0,0,0,0,21,26,38
2022-01-10,24,73,0,0,0,0,0,0,60,100
2022-01-11,25,87,0,0,0,0,0,0,60,89
2022-01-12,25,81,0,0,0,0,0,15,54,80
2022-01-13,24,79,0,0,0,0,0,0,62,87
2022-01-14,28,79,0,0,0,0,0,0,55,66
2022-01-15,14,73,0,0,0,0,0,0,51,53
2022-01-16,27,66,0,0,0,0,0,0,31,50
2022-01-17,26,74,0,0,0,0,0,0,68,98
2022-01-18,20,90,0,0,0,0,0,0,50,73
2022-01-19,23,79,0,0,0,0,0,0,55,87
2022-01-20,22,76,0,0,0,0,0,0,45,69
2022-01-21,32,62,0,0,0,0,0,0,60,59
2022-01-22,29,65,0,0,0,0,0,0,28,51
2022-01-23,34,68,0,0,0,0,0,0,28,66
2022-01-24,30,79,0,0,0,0,0,13,89,88
2022-01-25,29,76,0,0,0,0,0,13,72,69
2022-01-26,31,85,0,0,0,0,0,0,64,78
2022-01-27,29,74,0,0,0,0,0,0,61,79
2022-01-28,30,79,0,0,0,0,0,0,65,69
2022-01-29,21,82,0,0,0,0,0,0,28,43
2022-01-30,24,71,0,0,0,0,0,0,39,52
2022-01-31,25,81,0,0,0,0,0,0,61,78
2022-02-01,27,77,0,0,0,0,0,23,77,68
2022-02-02,28,72,0,0,0,0,0,0,67,89
2022-02-03,26,65,0,0,0,0,0,0,63,75
2022-02-04,27,74,0,0,0,0,0,0,49,54
2022-02-05,29,73,0,0,0,0,0,0,36,36
2022-02-06,23,65,0,0,0,0,0,0,35,41
2022-02-07,26,80,0,0,0,0,0,16,54,75
2022-02-08,23,78,0,0,0,0,0,0,56,70
2022-02-09,30,81,0,0,0,0,0,0,56,74
2022-02-10,20,79,0,0,0,0,0,0,69,71
2022-02-11,25,74,0,0,0,0,0,14,65,68
2022-02-12,21,78,0,0,0,0,0,0,39,44
2022-02-13,26,69,0,0,0,0,0,0,33,43
2022-02-14,25,84,0,3,0,0,0,15,52,67
2022-02-15,28,75,0,0,0,0,0,11,55,77
