date,Lottostar (Pty) Ltd,Daily Lotto,DIY kits,art supplies
2024-07-11,0,81,0,0
2024-07-12,0,82,0,0
2024-07-13,0,94,0,0
2024-07-14,0,78,0,0
2024-07-15,0,71,0,0
2024-07-16,0,77,0,0
2024-07-17,0,81,0,0
2024-07-18,0,74,0,0
2024-07-19,0,77,0,0
2024-07-20,0,86,0,0
2024-07-21,0,80,0,0
2024-07-22,0,67,0,0
2024-07-23,0,72,0,0
2024-07-24,0,69,0,0
2024-07-25,0,76,0,0
2024-07-26,0,86,0,0
2024-07-27,0,99,0,0
2024-07-28,0,89,0,0
2024-07-29,0,78,0,0
2024-07-30,0,76,0,0
2024-07-31,0,82,0,0
2024-08-01,0,84,0,0
2024-08-02,0,81,0,0
2024-08-03,0,93,0,0
2024-08-04,0,84,0,0
2024-08-05,0,74,0,0
2024-08-06,0,74,0,0
2024-08-07,0,84,0,0
2024-08-08,0,83,0,0
2024-08-09,0,86,0,0
2024-08-10,0,80,0,0
2024-08-11,0,73,0,0
2024-08-12,0,74,0,0
2024-08-13,0,76,0,0
2024-08-14,0,76,0,0
2024-08-15,0,75,0,0
2024-08-16,0,83,0,0
2024-08-17,0,85,0,0
2024-08-18,0,77,0,0
2024-08-19,0,74,0,0
2024-08-20,0,82,0,0
2024-08-21,0,81,0,0
2024-08-22,0,71,0,0
2024-08-23,0,66,0,0
2024-08-24,0,74,0,0
2024-08-25,0,72,0,0
2024-08-26,0,71,0,0
2024-08-27,0,77,0,0
2024-08-28,0,81,0,0
2024-08-29,0,78,0,0
2024-08-30,0,81,0,0
2024-08-31,0,86,0,0
2024-09-01,0,82,0,0
2024-09-02,0,80,0,0
2024-09-03,0,79,0,0
2024-09-04,0,81,0,0
2024-09-05,0,89,0,0
2024-09-06,0,88,0,0
2024-09-07,0,94,0,0
2024-09-08,0,91,0,0
2024-09-09,0,84,0,0
2024-09-10,0,77,0,0
2024-09-11,0,86,0,0
2024-09-12,0,91,0,0
2024-09-13,0,80,0,0
2024-09-14,0,87,0,0
2024-09-15,0,82,0,0
2024-09-16,0,74,0,0
2024-09-17,0,68,0,0
2024-09-18,0,71,0,0
2024-09-19,0,77,0,0
2024-09-20,0,79,0,0
2024-09-21,0,79,0,0
