date,Takealot.com,Mr Price Home,Decofurn,furniture,Makro,Builders,paints,Defy Appliances,Pep Home,plant
2022-07-07,0,15,4,64,20,65,10,0,25,31
2022-07-08,0,14,9,62,19,63,12,0,14,21
2022-07-09,0,13,8,80,19,74,0,0,16,38
2022-07-10,0,16,8,71,23,65,10,0,20,26
2022-07-11,0,15,7,64,21,73,13,0,23,28
2022-07-12,0,15,6,65,21,74,8,0,15,30
2022-07-13,0,14,6,67,17,70,10,0,19,34
2022-07-14,0,11,7,70,21,58,11,0,21,38
2022-07-15,0,12,7,60,19,56,13,0,18,38
2022-07-16,0,15,7,78,18,80,0,0,24,36
2022-07-17,0,16,7,72,18,80,0,0,22,40
2022-07-18,0,15,6,61,20,60,15,0,18,38
2022-07-19,0,14,6,64,20,61,12,0,13,31
2022-07-20,0,14,5,70,21,66,12,0,20,32
2022-07-21,0,13,7,64,17,66,12,0,25,41
2022-07-22,0,10,8,69,19,54,16,0,17,42
2022-07-23,0,17,8,78,19,65,11,0,24,44
2022-07-24,0,15,8,75,26,71,0,0,20,38
2022-07-25,0,12,6,69,21,69,12,0,19,37
2022-07-26,0,12,5,69,19,71,14,0,19,37
2022-07-27,0,15,6,72,19,54,14,0,17,34
2022-07-28,0,16,5,68,21,69,17,0,25,28
2022-07-29,0,13,6,65,21,57,9,0,19,20
2022-07-30,0,17,7,72,18,69,14,0,27,33
2022-07-31,0,20,5,60,22,58,11,0,22,40
2022-08-01,0,15,5,61,17,61,10,0,24,34
2022-08-02,0,12,5,62,18,60,16,0,13,25
2022-08-03,0,14,6,66,19,57,7,0,22,32
2022-08-04,0,13,5,69,17,62,11,0,21,44
2022-08-05,0,12,7,57,20,54,15,0,16,22
2022-08-06,0,11,8,64,21,56,14,0,18,40
2022-08-07,0,13,6,65,24,70,9,0,20,45
2022-08-08,0,13,5,75,19,56,17,0,12,42
2022-08-09,0,16,5,68,23,55,0,0,15,43
2022-08-10,0,12,6,67,17,59,9,0,13,41
2022-08-11,0,12,4,58,19,54,10,0,13,48
2022-08-12,0,12,5,65,19,60,12,0,17,37
2022-08-13,0,14,6,62,20,54,0,0,14,38
2022-08-14,0,14,8,62,18,58,0,0,18,40
2022-08-15,0,10,4,58,18,70,0,0,13,38
2022-08-16,0,11,7,63,17,57,13,0,21,43
2022-08-17,0,12,6,61,17,53,8,0,20,32
2022-08-18,0,11,6,59,17,63,12,0,16,31
2022-08-19,0,12,5,65,18,54,11,0,13,29
2022-08-20,0,14,7,65,22,63,11,0,23,39
2022-08-21,4,17,8,64,22,66,9,0,17,49
2022-08-22,0,11,5,61,19,53,8,0,20,38
2022-08-23,0,10,6,55,17,55,16,0,13,34
2022-08-24,0,10,4,63,17,67,12,0,17,32
2022-08-25,0,13,6,58,20,58,9,0,20,43
2022-08-26,0,12,6,57,20,57,11,0,21,39
2022-08-27,0,13,5,68,17,69,10,0,17,44
2022-08-28,0,12,7,61,15,48,0,0,19,51
2022-08-29,0,9,4,60,21,48,17,0,16,42
2022-08-30,0,15,6,62,20,68,14,0,19,35
2022-08-31,0,11,6,58,20,59,12,0,13,36
2022-09-01,0,11,7,59,16,49,13,0,21,33
2022-09-02,0,9,4,59,16,54,16,0,20,37
2022-09-03,0,15,6,59,17,57,0,0,11,56
2022-09-04,0,9,6,57,22,67,8,0,14,48
2022-09-05,0,11,7,65,17,61,11,0,16,43
2022-09-06,0,10,6,62,19,58,11,0,15,43
2022-09-07,0,11,5,67,14,66,18,0,15,39
2022-09-08,0,7,5,64,17,60,13,0,15,42
2022-09-09,0,9,6,63,16,55,15,0,8,45
2022-09-10,0,11,6,66,21,77,10,0,15,48
2022-09-11,0,16,8,65,23,57,0,0,16,54
2022-09-12,0,12,6,61,18,59,11,0,21,48
2022-09-13,0,14,4,60,16,59,10,0,20,31
2022-09-14,0,10,6,57,18,56,15,0,17,41
2022-09-15,0,10,6,51,19,56,16,0,18,45
2022-09-16,0,10,6,56,19,60,12,0,9,44
2022-09-17,0,13,6,60,18,72,0,0,17,48
2022-09-18,0,10,4,64,21,60,10,0,18,48
2022-09-19,0,9,7,58,19,45,13,0,11,35
2022-09-20,0,12,5,55,21,63,15,0,19,52
2022-09-21,0,14,5,57,19,67,12,0,19,37
2022-09-22,0,12,6,56,18,58,14,0,20,41
2022-09-23,0,11,4,57,18,52,18,0,16,39
2022-09-24,0,16,5,64,18,71,0,0,0,47
2022-09-25,0,14,7,64,21,76,0,0,16,79
2022-09-26,0,11,7,63,22,68,15,0,19,38
2022-09-27,0,14,6,61,22,70,13,0,20,39
2022-09-28,0,11,6,65,18,64,13,0,18,37
2022-09-29,0,12,6,62,20,53,12,0,20,37
