date,Facebook,Online Marketplace
2021-07-05,61,0
2021-07-06,59,0
2021-07-07,58,0
2021-07-08,58,0
2021-07-09,59,0
2021-07-10,61,0
2021-07-11,56,0
2021-07-12,69,0
2021-07-13,71,0
2021-07-14,66,0
2021-07-15,66,0
2021-07-16,64,0
2021-07-17,59,0
2021-07-18,59,0
2021-07-19,63,0
2021-07-20,62,0
2021-07-21,60,0
2021-07-22,56,0
2021-07-23,55,0
2021-07-24,56,0
2021-07-25,55,0
2021-07-26,58,0
2021-07-27,57,0
2021-07-28,56,0
2021-07-29,59,0
2021-07-30,57,0
2021-07-31,54,0
2021-08-01,49,0
2021-08-02,58,0
2021-08-03,57,0
2021-08-04,53,0
2021-08-05,57,0
2021-08-06,54,0
2021-08-07,50,0
2021-08-08,51,0
2021-08-09,54,0
2021-08-10,56,0
2021-08-11,51,0
2021-08-12,56,0
2021-08-13,58,0
2021-08-14,47,0
2021-08-15,47,0
2021-08-16,55,0
2021-08-17,53,0
2021-08-18,56,0
2021-08-19,58,0
2021-08-20,54,0
2021-08-21,46,0
2021-08-22,47,0
2021-08-23,52,0
2021-08-24,49,0
2021-08-25,50,0
2021-08-26,56,0
2021-08-27,53,0
2021-08-28,46,0
2021-08-29,46,0
2021-08-30,52,0
2021-08-31,54,0
2021-09-01,55,0
2021-09-02,54,0
2021-09-03,57,0
2021-09-04,52,0
2021-09-05,53,0
2021-09-06,56,0
2021-09-07,55,0
2021-09-08,60,0
2021-09-09,56,0
2021-09-10,60,0
2021-09-11,50,0
2021-09-12,49,0
2021-09-13,56,0
2021-09-14,54,0
2021-09-15,57,0
2021-09-16,55,0
2021-09-17,61,0
2021-09-18,50,0
2021-09-19,51,0
2021-09-20,57,0
2021-09-21,56,0
2021-09-22,55,0
2021-09-23,58,0
2021-09-24,59,0
2021-09-25,48,0
2021-09-26,52,0
2021-09-27,57,0
2021-09-28,53,0
2021-09-29,53,0
2021-09-30,56,0
2021-10-01,57,0
2021-10-02,53,0
2021-10-03,51,0
2021-10-04,100,0
2021-10-05,69,0
2021-10-06,61,0
2021-10-07,57,0
2021-10-08,60,0
2021-10-09,55,0
2021-10-10,54,0
2021-10-11,57,0
2021-10-12,53,0
2021-10-13,58,0
2021-10-14,59,0
2021-10-15,59,0
2021-10-16,50,0
2021-10-17,55,0
2021-10-18,59,0
2021-10-19,56,0
2021-10-20,55,0
2021-10-21,60,0
2021-10-22,55,0
2021-10-23,45,0
2021-10-24,46,0
2021-10-25,56,0
2021-10-26,52,0
2021-10-27,50,0
2021-10-28,54,0
2021-10-29,56,0
2021-10-30,46,0
2021-10-31,52,0
2021-11-01,57,0
2021-11-02,53,0
2021-11-03,55,0
2021-11-04,63,0
2021-11-05,55,0
2021-11-06,48,0
2021-11-07,45,0
2021-11-08,58,0
2021-11-09,54,0
2021-11-10,60,0
2021-11-11,54,0
2021-11-12,57,0
2021-11-13,52,0
2021-11-14,50,0
2021-11-15,56,0
2021-11-16,60,0
2021-11-17,55,0
2021-11-18,55,0
2021-11-19,55,0
2021-11-20,49,0
2021-11-21,50,0
2021-11-22,58,0
2021-11-23,53,0
2021-11-24,49,0
2021-11-25,49,0
2021-11-26,47,0
2021-11-27,46,0
2021-11-28,47,0
2021-11-29,53,0
2021-11-30,58,0
2021-12-01,54,0
2021-12-02,53,0
2021-12-03,50,0
2021-12-04,49,0
2021-12-05,49,0
2021-12-06,57,0
2021-12-07,56,0
2021-12-08,52,0
2021-12-09,57,0
2021-12-10,59,0
2021-12-11,52,0
2021-12-12,50,0
2021-12-13,55,0
2021-12-14,53,0
2021-12-15,52,0
2021-12-16,54,0
2021-12-17,53,0
2021-12-18,51,0
2021-12-19,49,0
2021-12-20,54,0
2021-12-21,56,0
2021-12-22,51,0
2021-12-23,54,0
2021-12-24,52,0
2021-12-25,59,0
2021-12-26,55,0
2021-12-27,56,0
2021-12-28,59,0
2021-12-29,56,0
2021-12-30,53,0
2021-12-31,59,0
2022-01-01,54,0
2022-01-02,51,0
2022-01-03,47,0
2022-01-04,48,0
2022-01-05,48,0
