date,Dog Food,Puppies for Sale,Pet shop
2022-01-06,48,76,0
2022-01-07,48,76,0
2022-01-08,54,70,0
2022-01-09,40,96,43
2022-01-10,47,34,0
2022-01-11,51,46,0
2022-01-12,64,54,0
2022-01-13,56,78,0
2022-01-14,0,82,0
2022-01-15,58,68,0
2022-01-16,57,80,0
2022-01-17,70,72,0
2022-01-18,45,58,0
2022-01-19,53,59,0
2022-01-20,55,74,0
2022-01-21,51,73,0
2022-01-22,60,69,0
2022-01-23,59,84,0
2022-01-24,72,51,0
2022-01-25,71,51,0
2022-01-26,61,60,0
2022-01-27,66,45,0
2022-01-28,55,48,0
2022-01-29,54,83,0
2022-01-30,32,100,29
2022-01-31,53,56,0
2022-02-01,49,55,0
2022-02-02,42,43,0
2022-02-03,51,47,0
2022-02-04,53,45,0
2022-02-05,65,77,0
2022-02-06,53,68,0
2022-02-07,38,56,0
2022-02-08,50,32,0
2022-02-09,42,53,0
2022-02-10,38,42,0
2022-02-11,40,47,0
2022-02-12,56,57,34
2022-02-13,54,77,23
2022-02-14,49,43,0
2022-02-15,56,41,0
2022-02-16,57,51,0
2022-02-17,43,56,0
2022-02-18,68,68,0
2022-02-19,57,62,0
2022-02-20,49,62,23
2022-02-21,63,60,0
2022-02-22,61,73,21
2022-02-23,56,45,0
2022-02-24,43,56,0
2022-02-25,52,46,0
2022-02-26,62,60,0
2022-02-27,70,65,0
2022-02-28,65,54,0
2022-03-01,43,46,0
2022-03-02,59,37,0
2022-03-03,47,40,16
2022-03-04,52,28,18
2022-03-05,51,54,0
2022-03-06,60,80,18
2022-03-07,51,59,0
2022-03-08,46,55,0
2022-03-09,47,61,0
2022-03-10,40,47,22
2022-03-11,61,39,0
2022-03-12,47,52,0
2022-03-13,53,79,0
2022-03-14,43,40,0
2022-03-15,50,42,0
2022-03-16,39,48,0
2022-03-17,62,53,0
2022-03-18,59,51,0
2022-03-19,42,69,19
2022-03-20,44,72,20
2022-03-21,56,55,0
2022-03-22,58,57,0
2022-03-23,53,57,0
2022-03-24,69,57,0
2022-03-25,64,56,0
2022-03-26,84,85,0
2022-03-27,42,92,24
2022-03-28,61,55,0
2022-03-29,53,44,17
2022-03-30,63,58,0
2022-03-31,73,63,0
2022-04-01,49,79,21
2022-04-02,56,58,17
2022-04-03,62,59,0
2022-04-04,76,60,0
2022-04-05,50,53,0
2022-04-06,56,45,16
2022-04-07,35,52,0
2022-04-08,53,35,0
2022-04-09,45,69,0
2022-04-10,57,52,20
2022-04-11,51,47,0
2022-04-12,47,52,0
2022-04-13,36,55,0
2022-04-14,48,61,0
2022-04-15,50,83,0
2022-04-16,63,58,0
2022-04-17,54,73,0
2022-04-18,67,66,19
2022-04-19,53,36,0
2022-04-20,68,47,0
2022-04-21,47,55,0
2022-04-22,56,67,0
2022-04-23,61,75,19
2022-04-24,67,67,0
2022-04-25,72,20,0
2022-04-26,65,50,0
2022-04-27,55,49,0
2022-04-28,60,39,0
2022-04-29,68,29,0
2022-04-30,66,72,0
2022-05-01,55,80,0
2022-05-02,67,81,0
2022-05-03,68,54,0
2022-05-04,49,61,0
2022-05-05,50,46,0
2022-05-06,52,44,0
2022-05-07,44,69,0
2022-05-08,47,66,0
2022-05-09,62,49,0
2022-05-10,61,49,0
2022-05-11,59,42,15
2022-05-12,54,48,0
2022-05-13,55,53,0
2022-05-14,39,63,0
2022-05-15,41,48,0
2022-05-16,43,63,0
2022-05-17,32,45,0
2022-05-18,54,35,0
2022-05-19,56,37,0
2022-05-20,44,39,0
2022-05-21,64,76,0
2022-05-22,46,43,27
2022-05-23,64,52,0
2022-05-24,58,58,0
2022-05-25,52,46,0
2022-05-26,73,48,0
2022-05-27,52,66,0
2022-05-28,79,57,0
2022-05-29,50,79,0
2022-05-30,66,41,0
2022-05-31,47,49,0
2022-06-01,60,39,0
2022-06-02,68,44,0
2022-06-03,57,50,0
2022-06-04,67,71,23
2022-06-05,58,74,22
2022-06-06,63,45,0
2022-06-07,52,53,0
2022-06-08,64,53,0
2022-06-09,54,39,0
2022-06-10,60,32,0
2022-06-11,43,82,0
2022-06-12,58,83,0
2022-06-13,72,49,0
2022-06-14,41,53,0
2022-06-15,50,58,0
2022-06-16,76,67,0
2022-06-17,42,57,0
2022-06-18,68,79,0
2022-06-19,56,57,0
2022-06-20,54,66,0
2022-06-21,64,54,0
2022-06-22,59,59,0
2022-06-23,51,51,0
2022-06-24,83,49,0
2022-06-25,84,72,0
2022-06-26,49,78,0
2022-06-27,70,62,0
2022-06-28,55,51,20
2022-06-29,76,69,0
2022-06-30,37,50,0
2022-07-01,59,42,0
2022-07-02,71,65,0
2022-07-03,57,75,27
2022-07-04,35,45,22
2022-07-05,48,60,0
2022-07-06,42,45,0
