date,Property24,Private Property,Remax Hub,Houses for Sale,Flats to rent,Room to rent,The Parks Lifestyle Apartments,Eazi Real Estate,Property sales,Real Estate
2022-07-07,77,25,0,72,20,73,0,0,0,67
2022-07-08,73,25,0,77,19,69,0,0,0,61
2022-07-09,69,22,0,89,20,32,0,0,0,46
2022-07-10,87,32,0,98,19,51,0,0,0,40
2022-07-11,98,39,0,82,29,55,0,0,0,77
2022-07-12,81,35,0,84,24,50,0,0,0,68
2022-07-13,79,32,0,83,24,40,0,0,0,59
2022-07-14,82,33,0,78,23,60,0,0,0,61
2022-07-15,73,28,0,85,19,46,0,0,0,58
2022-07-16,73,28,0,82,21,60,0,0,0,55
2022-07-17,83,31,0,98,21,66,28,0,0,59
2022-07-18,87,29,0,79,24,59,0,0,0,91
2022-07-19,89,31,0,83,26,55,0,0,0,80
2022-07-20,88,33,0,85,23,69,0,0,25,61
2022-07-21,82,31,0,75,23,84,0,0,0,78
2022-07-22,80,24,0,72,19,77,34,0,0,51
2022-07-23,76,32,0,88,23,67,0,0,0,55
2022-07-24,82,29,0,92,23,85,0,0,0,51
2022-07-25,83,29,0,75,25,81,0,0,0,69
2022-07-26,76,30,0,78,25,72,0,0,0,62
2022-07-27,75,29,0,73,21,43,0,0,0,68
2022-07-28,79,25,0,74,22,72,0,0,0,63
2022-07-29,75,22,0,68,22,86,0,0,0,61
2022-07-30,65,23,0,79,16,67,0,0,0,47
2022-07-31,77,30,0,86,21,50,0,0,0,41
2022-08-01,77,26,0,71,23,56,0,0,0,66
2022-08-02,74,28,0,72,22,54,0,0,0,49
2022-08-03,77,25,0,71,21,67,0,0,0,58
2022-08-04,76,29,0,70,19,51,0,0,0,39
2022-08-05,73,24,0,68,17,48,0,0,0,47
2022-08-06,73,23,0,81,18,40,0,0,0,39
2022-08-07,76,28,0,85,25,43,0,0,0,39
2022-08-08,82,31,0,78,22,29,0,0,0,63
2022-08-09,76,24,0,84,22,51,0,0,0,67
2022-08-10,83,27,0,71,22,58,0,0,0,53
2022-08-11,77,25,0,78,21,64,0,0,0,56
2022-08-12,82,24,0,72,21,36,0,0,0,66
2022-08-13,63,24,0,72,17,45,0,0,0,47
2022-08-14,77,27,0,87,22,48,0,0,0,38
2022-08-15,81,30,0,71,23,66,0,0,0,63
2022-08-16,85,30,0,78,23,82,0,0,0,78
2022-08-17,89,29,0,81,23,47,0,0,0,61
2022-08-18,80,25,0,72,23,62,0,0,0,60
2022-08-19,73,24,0,73,19,58,0,0,0,67
2022-08-20,72,23,0,76,16,63,0,0,0,46
2022-08-21,78,25,0,85,19,74,0,0,0,72
2022-08-22,81,31,0,76,21,56,0,0,0,68
2022-08-23,82,27,0,74,23,52,0,0,0,74
2022-08-24,76,27,0,74,23,56,0,0,0,57
2022-08-25,68,24,0,67,18,60,0,0,0,52
2022-08-26,76,25,0,70,18,73,0,0,0,46
2022-08-27,58,22,0,73,15,47,0,0,0,47
2022-08-28,69,25,0,74,19,62,0,0,0,48
2022-08-29,77,29,0,63,21,57,0,0,0,62
2022-08-30,68,22,0,67,22,67,0,0,0,66
2022-08-31,67,25,0,64,19,49,0,0,0,44
2022-09-01,64,25,0,67,19,66,0,0,0,64
2022-09-02,63,23,0,67,18,47,0,0,0,72
2022-09-03,59,24,0,75,16,64,0,0,0,48
2022-09-04,66,23,0,79,17,44,0,0,0,25
2022-09-05,74,28,0,74,22,67,0,0,0,75
2022-09-06,69,26,0,67,22,42,0,0,0,48
2022-09-07,67,24,0,66,20,36,0,0,0,53
2022-09-08,69,28,0,67,18,61,0,0,0,63
2022-09-09,65,24,0,73,18,31,0,0,0,57
2022-09-10,58,24,0,75,14,59,0,0,0,47
2022-09-11,67,25,0,80,18,38,0,0,0,0
2022-09-12,73,27,0,78,22,37,0,0,0,66
2022-09-13,76,28,0,77,18,71,36,0,0,58
2022-09-14,70,25,0,73,24,43,0,0,0,70
2022-09-15,71,28,0,71,22,55,0,0,0,100
2022-09-16,70,23,0,68,20,47,0,0,0,45
2022-09-17,55,22,0,71,18,47,0,0,0,44
2022-09-18,65,28,0,78,17,44,0,0,0,43
2022-09-19,75,29,0,70,19,47,0,0,0,57
2022-09-20,77,32,0,82,23,51,0,0,0,52
2022-09-21,68,28,0,74,19,55,0,0,0,83
2022-09-22,70,24,0,70,18,57,0,23,0,58
2022-09-23,65,24,0,67,18,45,0,0,0,37
2022-09-24,60,19,0,77,21,70,27,0,0,32
2022-09-25,65,27,0,83,22,62,0,0,0,55
2022-09-26,74,29,0,75,21,51,0,0,0,64
2022-09-27,77,27,0,71,21,56,0,21,0,71
2022-09-28,63,27,0,72,21,70,0,0,0,74
2022-09-29,71,26,0,69,24,80,0,0,0,63
2022-09-30,66,23,0,69,15,38,0,0,0,72
2022-10-01,59,20,0,65,19,35,0,0,0,41
2022-10-02,60,24,0,76,21,41,0,0,0,45
2022-10-03,73,29,0,70,21,49,0,0,0,56
2022-10-04,62,28,0,70,23,56,0,0,0,55
2022-10-05,57,24,0,72,18,48,0,0,0,57
2022-10-06,62,28,0,77,16,47,0,0,0,39
2022-10-07,58,27,0,70,18,31,0,0,0,52
2022-10-08,50,24,0,71,18,40,0,0,0,40
2022-10-09,60,22,0,80,16,53,0,0,0,41
2022-10-10,69,34,0,76,23,56,0,0,0,73
2022-10-11,61,31,0,71,19,48,0,0,0,74
2022-10-12,60,28,0,71,23,57,0,0,0,58
2022-10-13,60,28,0,70,21,50,0,0,0,67
2022-10-14,57,24,0,73,21,0,0,0,0,65
2022-10-15,54,26,0,84,17,65,0,0,0,42
2022-10-16,57,25,0,80,18,76,0,0,0,31
2022-10-17,73,29,0,72,18,49,0,0,0,59
2022-10-18,62,28,0,78,25,55,0,0,0,69
2022-10-19,58,26,0,74,19,45,0,0,0,69
2022-10-20,64,28,0,78,22,62,0,0,0,57
2022-10-21,60,23,0,73,20,56,0,0,22,37
2022-10-22,58,27,0,77,18,59,0,0,0,33
2022-10-23,58,26,0,82,21,66,0,0,0,47
2022-10-24,64,33,0,74,25,58,0,0,0,67
2022-10-25,61,29,0,68,22,68,0,0,0,68
2022-10-26,60,24,0,64,23,82,0,0,0,43
2022-10-27,55,27,0,64,18,34,0,0,0,76
2022-10-28,54,23,0,68,18,24,0,0,0,68
2022-10-29,41,21,0,68,16,38,0,0,0,0
2022-10-30,56,26,0,77,19,38,0,0,0,57
2022-10-31,64,27,0,72,25,51,0,0,0,39
2022-11-01,53,22,0,63,22,51,0,0,0,56
2022-11-02,53,24,0,66,20,32,0,0,0,54
2022-11-03,54,27,0,68,16,57,0,0,0,66
2022-11-04,57,22,0,71,19,39,0,0,0,56
2022-11-05,48,21,0,66,15,0,0,0,0,51
2022-11-06,49,21,0,80,19,30,0,0,0,44
2022-11-07,61,25,0,70,22,34,0,0,0,50
2022-11-08,57,27,0,76,23,56,0,0,0,51
2022-11-09,57,29,0,67,22,52,0,0,0,57
2022-11-10,61,24,0,71,23,58,0,0,0,62
2022-11-11,54,30,0,71,16,33,0,0,0,65
2022-11-12,47,23,0,74,18,50,0,0,0,48
2022-11-13,52,29,0,86,21,65,0,0,0,58
2022-11-14,62,31,0,70,22,53,0,0,0,58
2022-11-15,60,28,0,74,20,74,0,0,0,55
2022-11-16,59,25,0,76,22,49,0,0,0,50
2022-11-17,57,25,0,69,21,54,0,0,0,42
2022-11-18,61,24,0,69,18,45,0,0,0,54
2022-11-19,52,23,0,81,22,55,0,0,0,38
2022-11-20,53,23,0,79,20,37,0,0,0,55
2022-11-21,55,27,0,64,22,50,0,0,0,71
2022-11-22,56,26,0,65,21,33,0,0,0,41
2022-11-23,54,25,0,60,21,60,0,0,0,53
2022-11-24,49,21,0,55,17,34,0,0,0,38
2022-11-25,42,21,0,49,16,49,0,0,0,45
2022-11-26,41,16,0,56,19,54,0,0,0,47
2022-11-27,53,22,0,66,21,54,0,0,0,53
2022-11-28,56,20,0,59,19,73,0,0,0,59
2022-11-29,54,21,0,64,21,61,0,21,0,49
2022-11-30,52,21,0,62,22,50,0,0,0,37
2022-12-01,51,20,0,58,19,49,0,0,0,38
2022-12-02,51,21,0,55,18,61,24,0,0,31
2022-12-03,49,22,0,63,18,65,0,0,0,48
2022-12-04,54,23,0,73,26,54,0,0,0,36
2022-12-05,59,27,0,62,22,50,0,0,0,66
2022-12-06,53,25,0,66,21,58,0,0,0,58
2022-12-07,53,20,0,66,22,65,0,0,0,54
2022-12-08,56,27,0,62,20,59,0,0,0,51
2022-12-09,45,19,0,56,17,30,0,0,0,28
2022-12-10,37,19,0,64,16,38,0,0,0,29
2022-12-11,55,28,0,77,19,43,0,0,0,57
2022-12-12,56,27,0,64,24,45,0,0,0,28
2022-12-13,55,26,0,68,20,43,0,0,0,53
2022-12-14,47,22,0,58,20,53,0,0,0,37
2022-12-15,41,20,0,58,15,32,0,0,0,31
2022-12-16,49,19,0,63,16,52,0,0,0,28
2022-12-17,49,17,0,67,19,0,0,0,0,0
2022-12-18,49,16,0,59,20,51,0,0,0,0
2022-12-19,60,22,0,63,21,61,0,0,0,56
2022-12-20,58,21,0,60,21,74,0,0,0,29
2022-12-21,53,19,0,60,19,65,0,0,0,43
2022-12-22,42,24,0,64,18,73,0,0,0,29
2022-12-23,40,19,0,54,16,58,0,0,0,30
2022-12-24,31,14,0,53,9,39,0,0,0,0
2022-12-25,30,16,0,61,13,0,0,0,0,0
2022-12-26,49,23,0,83,18,50,0,0,0,43
2022-12-27,53,29,0,83,23,50,0,0,0,61
2022-12-28,48,25,0,77,27,67,0,0,0,38
2022-12-29,54,27,0,77,20,43,0,0,0,80
2022-12-30,47,19,0,74,22,71,0,0,0,41
2022-12-31,37,17,0,57,14,27,0,0,0,34
