date,Sales,Black friday,Sneakers,Online Shopping,Shein,Adidas,Puma,Nike,sportscene,clothing
2023-07-09,0,0,5,1,2,24,14,43,14,42
2023-07-10,0,0,4,1,1,20,11,37,17,40
2023-07-11,0,0,4,1,2,18,12,35,14,39
2023-07-12,0,0,4,1,2,19,12,33,15,43
2023-07-13,0,0,4,1,1,20,12,35,16,39
2023-07-14,0,0,5,1,1,19,11,35,15,40
2023-07-15,0,0,4,1,1,22,14,39,14,45
2023-07-16,0,0,5,2,2,22,14,41,16,41
2023-07-17,0,0,4,1,1,19,11,39,14,35
2023-07-18,0,0,4,1,1,19,11,34,13,39
2023-07-19,0,0,4,1,1,16,12,33,15,33
2023-07-20,0,0,4,1,1,19,10,33,13,36
2023-07-21,0,0,4,1,1,19,13,36,13,39
2023-07-22,0,0,5,2,2,26,14,46,18,44
2023-07-23,0,0,5,2,2,24,14,46,17,41
2023-07-24,0,0,5,2,1,23,13,37,15,38
2023-07-25,0,0,5,2,1,22,15,39,16,38
2023-07-26,0,0,5,2,2,21,13,37,18,43
2023-07-27,0,0,4,2,2,21,13,35,17,36
2023-07-28,0,0,5,1,1,20,12,37,18,36
2023-07-29,0,0,5,2,1,22,15,43,21,38
2023-07-30,0,0,4,2,2,23,15,42,19,42
2023-07-31,0,0,4,2,1,18,12,33,17,35
2023-08-01,0,0,4,2,2,19,12,34,14,38
2023-08-02,0,0,4,1,1,18,11,30,15,35
2023-08-03,0,0,4,2,1,17,12,34,14,34
2023-08-04,0,0,4,1,1,17,12,34,13,35
2023-08-05,0,0,5,1,2,21,14,42,14,38
2023-08-06,0,0,4,1,1,21,14,39,15,35
2023-08-07,0,0,4,1,1,18,10,36,12,31
2023-08-08,0,0,4,1,1,19,12,33,12,34
2023-08-09,0,0,4,1,1,19,11,39,13,35
2023-08-10,0,0,4,1,1,17,12,31,11,36
2023-08-11,0,0,4,1,2,20,10,33,12,33
2023-08-12,0,0,4,1,2,22,12,38,12,35
2023-08-13,0,0,5,2,2,21,14,43,11,33
2023-08-14,0,0,4,1,2,17,11,33,12,35
2023-08-15,0,0,4,1,1,17,9,34,13,31
2023-08-16,0,0,4,1,1,17,10,31,11,37
2023-08-17,0,0,4,2,1,17,10,32,12,37
2023-08-18,0,0,4,1,2,18,11,34,13,41
2023-08-19,0,0,4,1,2,21,13,41,16,38
2023-08-20,0,0,4,1,2,20,12,41,16,40
2023-08-21,0,0,4,1,1,17,12,36,12,40
2023-08-22,0,0,4,1,2,17,10,32,13,42
2023-08-23,0,0,4,1,1,16,9,31,13,41
2023-08-24,0,0,4,1,1,16,11,35,13,40
2023-08-25,0,0,4,1,1,17,8,35,12,40
2023-08-26,0,0,4,1,2,19,13,43,15,42
2023-08-27,0,0,5,2,1,19,11,43,17,43
2023-08-28,0,0,4,1,1,18,11,34,13,39
2023-08-29,0,0,4,2,1,17,9,34,14,39
2023-08-30,0,0,4,2,1,17,10,34,14,39
2023-08-31,0,0,4,2,1,19,11,34,15,41
2023-09-01,0,0,4,1,1,18,12,34,14,40
2023-09-02,0,0,5,2,1,22,12,39,17,40
2023-09-03,0,0,4,1,1,20,11,40,16,38
2023-09-04,0,0,4,1,1,17,12,32,14,37
2023-09-05,0,0,3,1,1,16,10,32,12,37
2023-09-06,0,0,4,1,1,16,10,31,12,43
2023-09-07,0,0,4,1,1,17,10,35,13,50
2023-09-08,0,0,4,1,2,18,11,33,12,42
2023-09-09,0,0,4,1,2,19,12,39,14,38
2023-09-10,0,0,4,1,2,17,12,37,12,42
2023-09-11,0,0,4,1,1,16,10,33,12,37
2023-09-12,0,0,4,1,2,18,9,32,12,39
2023-09-13,0,0,4,1,1,15,10,35,11,41
2023-09-14,0,0,4,1,1,19,9,35,10,44
2023-09-15,0,0,4,1,1,18,11,36,12,46
2023-09-16,0,0,4,1,1,21,13,41,12,39
2023-09-17,0,0,4,1,1,17,9,40,13,36
2023-09-18,0,0,4,1,1,18,10,37,13,36
2023-09-19,0,0,4,2,2,17,10,35,12,40
2023-09-20,0,0,4,1,1,18,11,29,14,37
2023-09-21,0,0,4,1,1,19,11,34,15,49
2023-09-22,0,0,4,1,1,21,14,39,16,43
2023-09-23,0,0,4,1,1,19,12,41,15,42
2023-09-24,0,0,5,2,2,21,15,45,17,41
2023-09-25,0,0,5,1,2,20,16,45,16,40
2023-09-26,0,0,4,1,1,23,13,37,14,36
2023-09-27,0,0,4,1,1,18,12,36,13,36
2023-09-28,0,0,4,1,1,18,14,39,16,39
2023-09-29,0,0,4,1,1,20,13,37,14,38
2023-09-30,0,0,4,1,2,22,12,44,15,42
2023-10-01,0,0,5,1,2,20,14,44,17,41
2023-10-02,0,0,5,1,2,19,12,38,13,39
2023-10-03,0,1,4,1,2,20,12,40,12,35
2023-10-04,0,0,5,1,2,20,11,36,15,39
2023-10-05,0,0,4,1,2,18,11,37,13,38
2023-10-06,0,0,4,1,1,21,12,37,13,41
2023-10-07,0,0,4,1,2,21,11,38,14,39
2023-10-08,0,0,4,1,2,20,13,39,12,37
2023-10-09,0,1,4,1,2,18,12,36,12,39
2023-10-10,0,1,4,2,2,19,11,35,11,34
2023-10-11,0,1,4,1,2,17,11,35,13,38
2023-10-12,0,1,4,1,2,18,11,32,12,37
2023-10-13,0,1,4,1,2,20,11,37,14,37
2023-10-14,0,1,5,2,2,22,14,46,17,37
2023-10-15,0,1,5,1,2,21,14,45,14,38
2023-10-16,0,1,4,1,2,18,10,39,11,37
2023-10-17,0,1,4,1,2,19,12,35,11,38
2023-10-18,0,1,4,1,2,17,11,37,13,39
2023-10-19,0,1,5,1,2,20,11,38,14,43
2023-10-20,0,1,4,1,2,19,11,35,12,38
2023-10-21,0,1,4,1,1,19,11,37,14,37
2023-10-22,0,1,5,1,2,21,16,43,17,45
2023-10-23,0,2,4,1,2,19,12,38,15,42
2023-10-24,0,3,4,1,2,17,11,36,13,46
2023-10-25,0,2,4,2,2,18,13,38,16,56
2023-10-26,0,2,5,2,2,20,12,43,15,71
2023-10-27,0,2,4,1,2,18,12,42,15,52
2023-10-28,0,1,4,1,2,18,12,40,15,39
2023-10-29,0,2,4,1,1,18,11,40,11,32
2023-10-30,0,3,4,1,2,17,13,35,13,37
2023-10-31,0,4,4,2,2,20,13,41,16,38
2023-11-01,0,6,4,2,2,17,10,36,14,37
2023-11-02,1,7,5,1,2,21,13,40,16,39
2023-11-03,0,6,4,2,2,21,14,45,14,38
2023-11-04,0,5,5,2,2,22,14,46,17,39
2023-11-05,0,5,5,1,2,22,14,49,17,41
2023-11-06,0,7,4,1,2,20,13,43,12,36
2023-11-07,0,8,5,2,2,20,11,42,15,37
2023-11-08,0,8,5,1,2,18,13,42,14,37
2023-11-09,0,9,5,1,2,19,13,42,13,39
2023-11-10,0,9,5,2,2,21,13,42,15,43
2023-11-11,0,7,6,1,2,23,15,54,15,42
2023-11-12,0,7,5,1,2,24,15,48,16,43
2023-11-13,0,11,5,1,2,21,14,44,15,41
2023-11-14,0,12,5,2,2,21,13,42,17,42
2023-11-15,1,14,5,2,2,22,14,48,18,41
2023-11-16,0,17,5,2,2,20,13,47,17,42
2023-11-17,1,19,5,2,2,26,16,47,18,46
2023-11-18,0,16,7,2,2,29,21,64,24,46
2023-11-19,1,17,7,2,2,28,20,63,22,44
2023-11-20,1,26,6,2,2,27,20,60,22,52
2023-11-21,1,39,7,2,2,29,17,57,27,51
2023-11-22,1,59,7,2,2,31,20,67,32,53
2023-11-23,1,90,9,3,2,40,27,84,54,57
2023-11-24,1,100,8,3,2,47,29,100,52,57
2023-11-25,0,29,7,2,2,37,23,70,32,51
2023-11-26,0,17,7,2,2,33,23,69,25,51
2023-11-27,1,6,7,2,2,32,21,62,23,50
2023-11-28,0,3,6,2,2,24,16,53,20,51
2023-11-29,0,2,6,2,1,24,18,49,18,48
2023-11-30,0,2,6,2,1,26,17,58,23,47
2023-12-01,0,2,6,2,1,27,17,56,20,46
2023-12-02,0,1,6,2,1,27,18,65,20,50
2023-12-03,0,1,6,2,1,27,17,58,20,46
2023-12-04,0,1,6,2,1,24,16,57,20,47
2023-12-05,0,1,6,2,1,23,14,54,19,50
2023-12-06,0,0,6,2,1,23,14,54,19,48
2023-12-07,0,0,6,2,1,22,16,54,19,47
2023-12-08,0,0,6,2,1,25,16,57,20,47
2023-12-09,0,0,6,2,1,27,19,58,21,48
2023-12-10,0,0,7,2,1,27,19,62,21,45
2023-12-11,0,0,7,2,1,25,16,58,20,42
2023-12-12,0,0,6,2,1,23,17,53,20,45
2023-12-13,0,0,6,2,1,24,17,59,23,49
2023-12-14,0,0,7,2,1,28,20,62,23,47
2023-12-15,0,0,7,2,1,30,24,73,25,53
2023-12-16,0,0,6,2,1,26,22,59,23,50
2023-12-17,0,0,6,2,1,26,17,65,25,47
2023-12-18,0,0,7,2,1,29,17,65,22,49
2023-12-19,0,0,7,2,1,26,19,67,23,48
2023-12-20,0,0,6,2,1,28,16,63,25,51
2023-12-21,0,0,7,2,1,28,20,69,29,54
2023-12-22,0,0,6,2,1,31,19,65,23,46
2023-12-23,0,0,6,1,1,26,18,61,27,45
2023-12-24,0,0,5,1,1,23,13,49,23,49
2023-12-25,0,0,5,1,1,24,13,51,18,35
2023-12-26,0,0,5,1,1,22,13,45,17,38
2023-12-27,0,0,5,1,1,25,13,46,13,36
2023-12-28,0,0,5,2,1,20,13,43,15,38
2023-12-29,0,0,5,1,1,22,12,43,12,37
2023-12-30,0,0,4,1,1,19,12,37,11,33
2023-12-31,0,0,3,1,1,16,12,36,9,29
2024-01-01,0,0,4,1,1,16,9,38,9,28
2024-01-02,0,0,4,1,1,17,11,35,10,31
2024-01-03,0,0,4,1,1,20,10,36,10,35
2024-01-04,0,0,4,1,1,19,10,38,10,33
2024-01-05,0,0,4,1,1,18,10,34,9,33
2024-01-06,0,0,4,1,1,23,12,38,9,37
2024-01-07,0,0,4,1,1,20,10,39,11,34
2024-01-08,0,0,4,1,1,20,9,36,11,32
2024-01-09,0,0,3,1,1,17,11,35,10,34
