date,Kaizer Chiefs,Orlando Pirates,Sundowns,Premier League,Soccer Laduma,FIFA World Cup,Gambling,Tickets,Arsenal Store,Football
2021-07-05,12,3,2,2,3,0,0,3,0,33
2021-07-06,12,3,2,2,4,2,0,2,0,54
2021-07-07,10,3,2,2,3,2,0,3,0,56
2021-07-08,9,2,2,2,3,0,0,0,0,37
2021-07-09,10,3,2,2,3,0,0,3,0,32
2021-07-10,11,3,2,2,3,0,0,5,0,48
2021-07-11,9,2,2,3,2,6,0,5,0,100
2021-07-12,9,2,2,2,2,0,0,0,0,45
2021-07-13,9,2,2,2,3,0,0,0,0,33
2021-07-14,10,2,2,1,3,2,0,3,0,28
2021-07-15,11,3,2,2,3,0,0,3,0,29
2021-07-16,21,2,2,2,3,0,0,0,0,32
2021-07-17,96,4,4,3,3,2,0,3,0,44
2021-07-18,26,3,2,3,3,3,0,4,0,42
2021-07-19,11,3,2,2,3,0,0,3,0,34
2021-07-20,10,3,2,2,3,0,0,2,0,35
2021-07-21,9,3,2,2,3,0,0,2,0,50
2021-07-22,11,5,2,2,3,0,0,0,0,87
2021-07-23,11,4,2,3,3,0,0,2,0,48
2021-07-24,10,3,2,2,3,0,0,3,0,61
2021-07-25,10,3,2,3,3,0,0,0,0,88
2021-07-26,11,3,2,3,3,0,0,4,0,43
2021-07-27,17,4,3,2,4,0,0,2,0,47
2021-07-28,13,4,2,2,3,0,0,4,0,67
2021-07-29,12,4,2,2,3,0,0,3,0,41
2021-07-30,11,4,2,2,3,2,0,3,0,44
2021-07-31,15,8,2,3,3,0,0,4,0,59
2021-08-01,57,35,3,3,3,0,0,3,0,44
2021-08-02,15,6,2,3,3,0,0,3,0,38
2021-08-03,11,3,3,2,3,0,0,3,0,42
2021-08-04,11,3,3,3,4,0,0,2,0,35
2021-08-05,11,4,2,4,4,2,0,3,0,45
2021-08-06,10,3,3,3,4,0,0,0,0,47
2021-08-07,8,3,2,5,2,0,0,3,0,66
2021-08-08,8,3,2,5,2,0,0,3,0,49
2021-08-09,9,3,2,4,3,0,0,3,0,39
2021-08-10,9,3,3,4,3,0,0,2,0,45
2021-08-11,8,3,3,5,3,0,0,0,0,39
2021-08-12,9,3,3,6,3,2,0,3,0,38
2021-08-13,9,4,3,18,3,0,0,3,0,49
2021-08-14,12,36,7,36,3,0,0,2,0,60
2021-08-15,92,8,100,27,2,0,0,3,0,53
2021-08-16,9,5,6,8,3,0,0,3,0,33
2021-08-17,7,6,3,6,3,0,0,0,0,32
2021-08-18,7,4,3,5,3,0,0,2,0,33
2021-08-19,6,4,3,5,3,2,0,4,0,37
2021-08-20,7,4,27,10,3,0,0,2,0,36
2021-08-21,8,31,6,32,3,2,0,0,0,52
2021-08-22,51,6,3,29,3,0,0,2,0,58
2021-08-23,8,4,3,10,2,0,0,3,0,31
2021-08-24,8,30,36,10,3,0,0,3,0,40
2021-08-25,27,4,5,9,3,0,0,3,0,37
2021-08-26,8,3,2,6,2,2,0,2,0,41
2021-08-27,6,3,2,9,2,0,0,3,0,50
2021-08-28,7,3,31,36,2,0,0,2,0,65
2021-08-29,6,2,6,34,2,0,0,3,0,54
2021-08-30,7,2,2,8,2,0,0,2,0,42
2021-08-31,9,3,3,5,3,4,0,3,0,53
2021-09-01,7,3,2,4,3,4,0,4,0,50
2021-09-02,6,2,2,3,2,7,0,2,0,52
2021-09-03,5,3,2,3,2,9,0,3,0,45
2021-09-04,5,2,2,6,2,9,0,2,0,55
2021-09-05,4,2,2,3,2,10,0,3,0,62
2021-09-06,5,2,2,3,3,10,0,3,0,37
2021-09-07,5,2,2,2,2,10,0,3,0,40
2021-09-08,5,2,2,3,2,7,0,2,0,40
2021-09-09,5,2,2,4,3,5,0,3,0,32
2021-09-10,5,3,2,7,2,3,0,2,0,38
2021-09-11,9,31,6,46,2,0,0,4,0,60
2021-09-12,56,6,55,30,2,0,0,3,0,50
2021-09-13,8,3,7,10,2,2,0,4,0,33
2021-09-14,5,2,2,8,2,3,0,4,0,38
2021-09-15,5,2,2,4,2,4,0,3,0,41
2021-09-16,5,2,2,4,2,2,0,3,0,34
2021-09-17,5,2,2,9,2,0,0,4,0,30
2021-09-18,47,25,4,38,2,0,0,4,0,55
2021-09-19,16,5,27,42,2,3,0,4,0,48
2021-09-20,7,3,6,10,2,3,0,3,0,31
2021-09-21,6,2,2,6,2,0,0,4,0,33
2021-09-22,5,3,3,7,2,0,0,4,0,41
2021-09-23,5,3,2,6,2,0,0,4,0,30
2021-09-24,5,6,6,12,2,2,0,5,0,35
2021-09-25,8,34,46,46,2,0,0,6,0,60
2021-09-26,50,5,8,27,2,0,0,5,0,46
2021-09-27,9,2,3,10,2,2,0,4,0,30
2021-09-28,5,2,29,6,2,0,0,4,0,39
2021-09-29,4,2,7,4,2,0,0,4,0,38
2021-09-30,4,2,2,5,2,3,0,3,0,30
2021-10-01,4,3,2,8,2,0,0,3,0,32
2021-10-02,49,25,4,36,2,0,0,5,0,50
2021-10-03,8,7,34,36,2,3,0,5,0,56
2021-10-04,6,3,8,8,2,3,0,4,0,34
2021-10-05,5,2,2,4,2,0,0,5,0,37
2021-10-06,5,2,3,3,2,4,0,4,0,40
2021-10-07,4,2,2,3,2,3,0,5,0,49
2021-10-08,4,2,2,3,2,6,0,4,0,45
2021-10-09,5,2,2,6,2,16,0,6,0,67
2021-10-10,4,2,2,4,2,13,0,3,0,67
2021-10-11,4,2,2,3,2,6,0,7,0,39
2021-10-12,4,2,2,3,2,17,0,4,0,45
2021-10-13,3,2,2,3,2,8,0,4,0,38
2021-10-14,4,2,2,4,2,5,0,5,0,27
2021-10-15,4,9,2,7,2,2,0,2,0,34
2021-10-16,49,6,5,39,2,2,0,5,0,54
2021-10-17,15,3,17,24,2,0,0,4,0,50
2021-10-18,6,3,4,10,2,0,0,5,0,30
2021-10-19,5,3,3,7,2,0,0,4,0,39
2021-10-20,4,19,25,6,2,2,0,3,0,38
2021-10-21,4,5,6,5,1,2,0,4,0,36
2021-10-22,4,3,2,11,2,0,0,5,0,38
