date,Lodging,Flight,Hotel,Guest House,Booking,FlySafair,Lift Airline,Car Rental
2018-12-30,0,63,100,37,22,7,0,9
2018-12-31,0,57,98,36,23,8,0,12
2019-01-01,0,73,92,27,31,8,0,8
2019-01-02,0,64,89,28,27,9,0,8
2019-01-03,0,56,94,25,28,8,0,11
2019-01-04,0,60,91,28,23,9,0,13
2019-01-05,0,61,84,24,22,6,0,9
2019-01-06,0,61,83,22,20,7,0,8
2019-01-07,0,61,82,24,25,7,0,13
2019-01-08,0,62,85,24,23,7,0,11
2019-01-09,0,66,85,25,28,10,0,11
2019-01-10,0,67,86,26,27,12,0,11
2019-01-11,0,64,89,29,27,8,0,10
2019-01-12,0,59,82,29,21,4,0,7
2019-01-13,0,60,78,24,22,7,0,9
2019-01-14,0,53,79,29,24,6,0,12
2019-01-15,0,52,91,30,24,6,0,11
2019-01-16,0,57,83,33,24,6,0,12
2019-01-17,0,56,83,32,25,7,0,12
2019-01-18,0,60,88,28,23,5,0,10
2019-01-19,0,51,73,24,21,5,0,11
2019-01-20,0,65,76,24,21,7,0,10
2019-01-21,0,59,86,34,28,7,0,13
2019-01-22,0,54,89,35,23,8,0,13
2019-01-23,0,55,85,38,21,7,0,12
2019-01-24,0,50,87,33,18,6,0,11
2019-01-25,0,47,88,28,15,5,0,13
2019-01-26,0,42,75,27,11,5,0,7
2019-01-27,0,54,74,24,20,8,0,9
2019-01-28,0,50,80,30,17,9,0,12
2019-01-29,0,48,86,31,20,8,0,11
2019-01-30,0,42,83,35,19,8,0,14
2019-01-31,0,50,81,28,20,9,0,13
2019-02-01,0,47,74,27,18,8,0,9
2019-02-02,0,45,72,26,14,5,0,9
2019-02-03,0,45,70,21,13,6,0,10
2019-02-04,0,49,89,27,18,6,0,13
2019-02-05,0,45,86,34,17,6,0,13
2019-02-06,0,47,84,36,20,7,0,11
2019-02-07,0,47,80,29,16,6,0,12
2019-02-08,0,49,89,32,17,6,0,13
2019-02-09,0,51,76,24,14,6,0,8
2019-02-10,0,62,79,23,16,7,0,11
2019-02-11,0,49,91,34,18,6,0,12
2019-02-12,0,47,89,28,18,8,0,12
2019-02-13,0,43,83,29,15,7,0,11
2019-02-14,0,47,90,26,11,6,0,9
2019-02-15,0,45,92,35,15,8,0,9
2019-02-16,0,41,71,31,13,5,0,7
2019-02-17,0,61,76,21,17,7,0,9
2019-02-18,0,54,90,32,24,6,0,12
2019-02-19,0,53,92,30,20,9,0,15
2019-02-20,0,53,90,34,21,9,0,10
2019-02-21,0,54,86,28,22,8,0,13
2019-02-22,0,50,85,33,24,8,0,13
2019-02-23,0,48,78,26,18,6,0,10
2019-02-24,0,57,81,18,17,7,0,11
2019-02-25,0,56,85,32,25,10,0,13
2019-02-26,0,52,91,33,25,9,0,12
2019-02-27,0,44,86,33,23,8,0,8
2019-02-28,0,55,82,37,25,6,0,14
2019-03-01,0,56,85,35,19,6,0,12
2019-03-02,0,50,73,34,19,4,0,7
2019-03-03,0,53,70,25,21,9,0,9
2019-03-04,0,57,78,30,24,11,0,11
2019-03-05,0,56,83,24,23,8,0,9
2019-03-06,0,48,78,33,22,8,0,13
2019-03-07,0,53,91,28,28,9,0,11
2019-03-08,0,53,87,34,18,7,0,11
2019-03-09,0,47,86,25,16,6,0,8
2019-03-10,0,63,73,19,19,8,0,10
2019-03-11,0,66,93,28,24,10,0,13
2019-03-12,0,57,96,33,24,12,0,12
2019-03-13,0,53,84,33,21,9,0,12
