date,iPhone,Vodacom,MTN,Telkom,Samsung,Huawei,Mobile app,Download,Gmail,Cell C
2022-01-06,79,72,52,62,52,39,0,41,70,16
2022-01-07,80,74,51,59,49,38,4,39,64,17
2022-01-08,83,63,41,45,49,32,3,44,45,13
2022-01-09,84,54,39,49,49,33,3,42,39,13
2022-01-10,85,77,53,67,48,38,2,38,80,18
2022-01-11,80,79,57,61,45,35,0,39,81,17
2022-01-12,71,71,54,56,48,35,2,37,83,15
2022-01-13,79,67,52,56,53,39,2,37,85,19
2022-01-14,84,64,47,63,49,37,0,38,79,16
2022-01-15,86,61,50,51,50,38,0,49,43,15
2022-01-16,95,60,45,48,47,36,0,45,42,13
2022-01-17,82,68,51,68,43,36,0,40,87,15
2022-01-18,77,67,47,65,45,39,0,33,85,16
2022-01-19,71,64,47,56,47,37,0,35,94,13
2022-01-20,73,65,53,58,40,36,2,35,85,14
2022-01-21,69,59,56,56,44,33,2,37,78,13
2022-01-22,80,61,45,51,49,34,0,41,45,15
2022-01-23,84,54,43,48,47,36,0,40,39,12
2022-01-24,73,65,53,68,44,39,1,36,82,16
2022-01-25,73,70,53,62,48,38,0,32,88,18
2022-01-26,77,72,55,61,49,38,2,34,87,18
2022-01-27,76,75,56,63,51,41,3,33,88,16
2022-01-28,76,65,52,68,45,42,2,37,87,14
2022-01-29,88,62,40,52,51,43,2,42,46,16
2022-01-30,84,59,45,48,45,36,0,33,46,13
2022-01-31,68,71,54,67,45,41,2,31,100,20
2022-02-01,73,77,58,67,40,46,2,36,87,20
2022-02-02,72,74,56,69,44,41,0,34,85,18
2022-02-03,66,70,50,59,44,36,2,37,93,16
2022-02-04,68,69,49,60,48,39,2,40,84,14
2022-02-05,86,56,48,55,47,46,0,42,41,15
2022-02-06,85,58,40,47,51,37,0,36,39,15
2022-02-07,64,75,49,62,46,36,2,35,88,17
2022-02-08,78,79,49,53,46,38,2,38,75,17
2022-02-09,68,74,48,56,48,39,0,39,90,16
2022-02-10,71,69,58,62,51,40,0,30,90,17
2022-02-11,69,64,47,57,48,43,0,40,81,17
2022-02-12,78,65,48,54,49,42,0,38,44,14
2022-02-13,83,56,40,47,51,42,3,39,35,14
2022-02-14,71,68,47,56,47,39,2,35,82,15
2022-02-15,70,71,47,58,48,39,2,35,77,14
2022-02-16,71,65,50,57,48,40,2,39,79,15
2022-02-17,63,61,51,54,47,39,0,36,77,15
2022-02-18,76,64,50,57,50,42,1,41,67,13
2022-02-19,79,56,44,50,51,40,1,45,39,13
2022-02-20,90,55,37,49,50,43,0,37,37,12
2022-02-21,71,61,52,60,48,43,1,32,78,15
2022-02-22,76,72,49,59,44,38,1,32,80,13
2022-02-23,59,68,45,52,43,36,1,32,75,17
2022-02-24,67,54,45,52,41,38,1,30,72,14
2022-02-25,69,61,44,56,45,37,1,38,68,17
2022-02-26,79,62,45,50,51,40,2,37,34,16
2022-02-27,85,51,40,47,49,40,1,35,33,16
2022-02-28,71,78,56,70,48,41,2,33,82,20
2022-03-01,66,76,54,61,47,41,3,32,75,19
2022-03-02,71,71,54,59,48,38,1,32,76,18
2022-03-03,68,62,53,59,45,40,1,33,75,16
2022-03-04,77,60,53,57,49,40,2,39,70,13
2022-03-05,79,56,43,54,50,41,2,39,36,15
2022-03-06,80,54,44,52,51,36,2,38,33,14
2022-03-07,76,63,51,60,50,40,2,33,73,15
2022-03-08,76,74,50,58,41,36,1,29,71,19
2022-03-09,78,70,54,56,48,37,2,30,75,18
2022-03-10,70,66,51,60,45,38,2,33,76,16
2022-03-11,80,67,52,54,50,39,1,36,67,18
2022-03-12,90,58,51,50,53,42,0,41,34,15
2022-03-13,85,53,41,50,48,38,1,36,33,13
2022-03-14,76,69,47,57,48,35,2,31,71,16
2022-03-15,77,68,49,56,46,37,2,33,64,18
2022-03-16,73,67,46,58,50,36,2,33,76,18
2022-03-17,81,63,55,58,53,37,2,36,71,17
2022-03-18,86,61,54,60,53,44,2,40,64,18
2022-03-19,93,57,49,54,58,42,2,42,37,14
2022-03-20,95,56,43,47,51,38,2,39,30,15
2022-03-21,97,58,48,56,55,44,2,43,42,16
2022-03-22,87,76,56,73,56,45,2,41,79,18
2022-03-23,88,73,54,63,52,43,2,38,84,16
2022-03-24,86,66,50,59,55,43,0,37,78,19
2022-03-25,83,72,53,56,55,44,2,44,72,16
2022-03-26,94,62,50,60,57,44,2,41,42,17
2022-03-27,100,61,46,52,57,46,2,40,40,16
2022-03-28,80,73,55,69,53,44,2,36,78,20
2022-03-29,82,74,50,62,52,44,1,37,76,18
2022-03-30,83,73,55,62,54,47,2,36,70,19
2022-03-31,82,73,57,63,51,44,2,40,75,19
2022-04-01,77,76,55,69,50,45,2,39,67,18
2022-04-02,81,57,44,49,49,39,1,37,37,16
2022-04-03,85,56,44,50,54,42,0,37,35,16
2022-04-04,76,76,57,71,54,42,2,36,72,16
2022-04-05,77,68,54,57,47,40,2,32,80,15
2022-04-06,69,66,49,55,47,40,1,30,68,18
2022-04-07,76,64,50,54,45,38,1,31,79,15
2022-04-08,71,63,46,49,49,38,0,35,68,16
2022-04-09,91,55,41,49,50,35,0,40,34,15
2022-04-10,83,52,37,48,45,38,0,34,34,13
2022-04-11,72,63,48,56,47,37,0,27,79,16
